week_ending_date,location,location_name,value
2026-03-14,32,Nevada,0.0123
2026-03-14,33,New Hampshire,0.017
2026-03-14,34,New Jersey,0.0208
2026-03-14,35,New Mexico,0.0278
2026-03-14,36,New York,0.01
2026-03-14,37,North Carolina,0.0217
2026-03-14,38,North Dakota,0.0338
2026-03-14,39,Ohio,0.0262
2026-03-14,40,Oklahoma,0.0191
2026-03-14,41,Oregon,0.0167
2026-03-14,42,Pennsylvania,0.0198
2026-03-14,44,Rhode Island,0.008
2026-03-14,45,South Carolina,0.0156
2026-03-14,46,South Dakota,0.016
2026-03-14,47,Tennessee,0.0202
2026-03-14,48,Texas,0.0155
2026-03-14,US,US,0.0192
2026-03-14,01,Alabama,0.024
2026-03-14,02,Alaska,0.0187
2026-03-14,04,Arizona,0.021
2026-03-14,05,Arkansas,0.0295
2026-03-14,06,California,0.0163
2026-03-14,08,Colorado,0.0241
2026-03-14,56,Wyoming,0.019
2026-03-14,09,Connecticut,0.0217
2026-03-14,10,Delaware,0.029
2026-03-14,11,District of Columbia,0.0096
2026-03-14,12,Florida,0.0215
2026-03-14,13,Georgia,0.013
2026-03-14,15,Hawaii,0.0253
2026-03-14,16,Idaho,0.021
2026-03-14,17,Illinois,0.02
2026-03-14,18,Indiana,0.0334
2026-03-14,19,Iowa,0.0211
2026-03-14,20,Kansas,0.0203
2026-03-14,21,Kentucky,0.0325
2026-03-14,22,Louisiana,0.013
2026-03-14,23,Maine,0.0119
2026-03-14,24,Maryland,0.0113
2026-03-14,25,Massachusetts,0.0139
2026-03-14,26,Michigan,0.0157
2026-03-14,27,Minnesota,0.0254
2026-03-14,28,Mississippi,0.0179
2026-03-14,30,Montana,0.0193
2026-03-14,31,Nebraska,0.0189
2026-03-14,49,Utah,0.0108
2026-03-14,50,Vermont,0.0118
2026-03-14,51,Virginia,0.0203
2026-03-14,53,Washington,0.0166
2026-03-14,54,West Virginia,0.0269
2026-03-14,55,Wisconsin,0.0251
2026-03-07,32,Nevada,0.0135
2026-03-07,33,New Hampshire,0.0195
2026-03-07,34,New Jersey,0.0207
2026-03-07,35,New Mexico,0.0309
2026-03-07,36,New York,0.0093
2026-03-07,37,North Carolina,0.0304
2026-03-07,38,North Dakota,0.0226
2026-03-07,39,Ohio,0.0347
2026-03-07,40,Oklahoma,0.027
2026-03-07,41,Oregon,0.0255
2026-03-07,42,Pennsylvania,0.0208
2026-03-07,44,Rhode Island,0.0086
2026-03-07,45,South Carolina,0.0226
2026-03-07,46,South Dakota,0.0262
2026-03-07,47,Tennessee,0.0312
2026-03-07,48,Texas,0.0229
2026-03-07,US,US,0.0247
2026-03-07,01,Alabama,0.0412
2026-03-07,02,Alaska,0.016
2026-03-07,04,Arizona,0.0247
2026-03-07,05,Arkansas,0.0461
2026-03-07,06,California,0.0197
2026-03-07,08,Colorado,0.0241
2026-03-07,56,Wyoming,0.0194
2026-03-07,09,Connecticut,0.0189
2026-03-07,10,Delaware,0.0326
2026-03-07,11,District of Columbia,0.0121
2026-03-07,12,Florida,0.0304
2026-03-07,13,Georgia,0.0171
2026-03-07,15,Hawaii,0.0207
2026-03-07,16,Idaho,0.0242
2026-03-07,17,Illinois,0.0244
2026-03-07,18,Indiana,0.0388
2026-03-07,19,Iowa,0.0299
2026-03-07,20,Kansas,0.027
2026-03-07,21,Kentucky,0.046
2026-03-07,22,Louisiana,0.0179
2026-03-07,23,Maine,0.0144
2026-03-07,24,Maryland,0.0119
2026-03-07,25,Massachusetts,0.0121
2026-03-07,26,Michigan,0.0204
2026-03-07,27,Minnesota,0.0277
2026-03-07,28,Mississippi,0.0321
2026-03-07,30,Montana,0.0194
2026-03-07,31,Nebraska,0.0244
2026-03-07,49,Utah,0.015
2026-03-07,50,Vermont,0.0212
2026-03-07,51,Virginia,0.0253
2026-03-07,53,Washington,0.0221
2026-03-07,54,West Virginia,0.0326
2026-03-07,55,Wisconsin,0.0302
2026-02-28,32,Nevada,0.0154
2026-02-28,33,New Hampshire,0.0229
2026-02-28,34,New Jersey,0.0224
2026-02-28,35,New Mexico,0.0321
2026-02-28,36,New York,0.0092
2026-02-28,37,North Carolina,0.0283
2026-02-28,38,North Dakota,0.017
2026-02-28,39,Ohio,0.0349
2026-02-28,40,Oklahoma,0.0275
2026-02-28,41,Oregon,0.0316
2026-02-28,42,Pennsylvania,0.0203
2026-02-28,44,Rhode Island,0.0104
2026-02-28,45,South Carolina,0.0243
2026-02-28,46,South Dakota,0.0281
2026-02-28,47,Tennessee,0.0305
2026-02-28,48,Texas,0.0261
2026-02-28,US,US,0.026
2026-02-28,01,Alabama,0.045
2026-02-28,02,Alaska,0.0219
2026-02-28,04,Arizona,0.0289
2026-02-28,05,Arkansas,0.047
2026-02-28,06,California,0.0268
2026-02-28,08,Colorado,0.0215
2026-02-28,56,Wyoming,0.0189
2026-02-28,09,Connecticut,0.0193
2026-02-28,10,Delaware,0.0317
2026-02-28,11,District of Columbia,0.0077
2026-02-28,12,Florida,0.0318
2026-02-28,13,Georgia,0.0186
2026-02-28,15,Hawaii,0.0196
2026-02-28,16,Idaho,0.0293
2026-02-28,17,Illinois,0.023
2026-02-28,18,Indiana,0.0354
2026-02-28,19,Iowa,0.0289
2026-02-28,20,Kansas,0.0317
2026-02-28,21,Kentucky,0.0376
2026-02-28,22,Louisiana,0.0251
2026-02-28,23,Maine,0.0163
2026-02-28,24,Maryland,0.0108
2026-02-28,25,Massachusetts,0.0147
2026-02-28,26,Michigan,0.0225
2026-02-28,27,Minnesota,0.0239
2026-02-28,28,Mississippi,0.031
2026-02-28,30,Montana,0.0275
2026-02-28,31,Nebraska,0.0261
2026-02-28,49,Utah,0.0201
2026-02-28,50,Vermont,0.0349
2026-02-28,51,Virginia,0.0235
2026-02-28,53,Washington,0.0253
2026-02-28,54,West Virginia,0.0343
2026-02-28,55,Wisconsin,0.029
2026-02-21,32,Nevada,0.0197
2026-02-21,33,New Hampshire,0.0269
2026-02-21,34,New Jersey,0.0235
2026-02-21,35,New Mexico,0.0359
2026-02-21,36,New York,0.0107
2026-02-21,37,North Carolina,0.0317
2026-02-21,38,North Dakota,0.0179
2026-02-21,39,Ohio,0.0419
2026-02-21,40,Oklahoma,0.0361
2026-02-21,41,Oregon,0.0438
2026-02-21,42,Pennsylvania,0.0216
