reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2025-11-29,wk inc flu hosp,-1,US,quantile,0.01,2757.79,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.025,2814.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.05,2849.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.1,2912.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.15,2961.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.2,2989.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.25,3017.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.3,3038.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.35,3066.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.4,3087.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.45,3115.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.5,3136.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.55,3171.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.6,3192.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.65,3220.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.7,3255.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.75,3283.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.8,3318.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.85,3360.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.9,3409.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.95,3479.0,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.975,3542.1749999999997,2025-11-22
2025-11-29,wk inc flu hosp,-1,US,quantile,0.99,3619.07,2025-11-22
2025-11-29,wk inc flu hosp,0,US,quantile,0.01,3430.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.025,3506.8250000000003,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.05,3583.65,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.1,3709.3,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.15,3792.95,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.2,3885.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.25,3941.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.3,3997.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.35,4053.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.4,4116.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.45,4165.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.5,4214.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.55,4263.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.6,4305.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.65,4368.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.7,4431.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.75,4487.0,2025-11-29
2025-11-29,wk inc flu hosp,0,US,quantile,0.8,4536.0,2025-11-29
