reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-03-07,wk inc flu hosp,-1,US,quantile,0.01,8063.51,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.025,8379.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.05,8840.300000000001,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.1,9492.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.15,9943.85,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.2,10255.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.25,10535.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.3,10822.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.35,11064.550000000001,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.4,11274.199999999999,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.45,11480.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.5,11658.5,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.55,11903.15,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.6,12145.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.65,12383.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.7,12712.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.75,13062.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.8,13384.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.85,13778.1,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.9,14462.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.95,15261.049999999997,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.975,16429.0,2026-02-28
2026-03-07,wk inc flu hosp,-1,US,quantile,0.99,17353.91,2026-02-28
2026-03-07,wk inc flu hosp,0,US,quantile,0.01,4590.88,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.025,5305.650000000001,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.05,5725.650000000001,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.1,6335.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.15,6634.95,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.2,6935.599999999999,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.25,7217.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.3,7508.900000000001,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.35,7732.550000000001,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.4,7928.199999999999,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.45,8145.550000000001,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.5,8424.5,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.55,8666.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.6,8932.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.65,9186.449999999999,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.7,9422.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.75,9766.75,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.8,10179.4,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.85,10724.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.9,11158.0,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.95,11991.699999999999,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.975,12706.224999999999,2026-03-07
2026-03-07,wk inc flu hosp,0,US,quantile,0.99,13839.49,2026-03-07
2026-03-07,wk inc flu hosp,1,US,quantile,0.01,2786.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.025,3163.475,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.05,3513.2999999999997,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.1,3913.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.15,4245.849999999999,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.2,4491.2,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.25,4774.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.3,5075.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.35,5215.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.4,5467.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.45,5771.849999999999,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.5,6104.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.55,6377.0,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.6,6690.599999999999,2026-03-14
2026-03-07,wk inc flu hosp,1,US,quantile,0.65,7014.0,2026-03-14
