location_name,abbreviation,horizon,reference_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,model_full_name,forecast_due_date,forecast_due_date_formatted
US,US,0,2025-03-22,2025-03-22,CEPH-Rtrend_fluH,8844,11901,14018,16479,21908,8844,11901,14018,16479,21908,CEPH Lab at Indiana University,Rtrend FluH,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,CEPH-Rtrend_fluH,3601,6792,9564,13297,23516,3601,6792,9564,13297,23516,CEPH Lab at Indiana University,Rtrend FluH,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,CEPH-Rtrend_fluH,1441,3850,6414,10420,23831,1441,3850,6414,10420,23831,CEPH Lab at Indiana University,Rtrend FluH,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,CFA_Pyrenew-Pyrenew_HE_Flu,11724.9,12941,13471.5,14064.75,15248.025,11725,12941,13472,14065,15248,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,Pyrenew_Hospital_Admissions_ED_Visits_Influenza,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,CFA_Pyrenew-Pyrenew_HE_Flu,6435.2750000000005,8214.75,9385.5,10674,14199.099999999988,6435,8215,9386,10674,14199,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,Pyrenew_Hospital_Admissions_ED_Visits_Influenza,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,CMU-TimeSeries,3421.1493239179617,8195.367483217311,12007.77868511454,15284.597127790319,31276.92024706414,3421,8195,12008,15285,31277,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,CMU-TimeSeries,1693.2785461346887,4231.032573264473,6943.501975755926,11569.872589035353,33131.38736797944,1693,4231,6944,11570,33131,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,CMU-TimeSeries,874.4067839419235,2991.615853275495,4618.890560116105,8706.498568154371,35074.40028717234,874,2992,4619,8706,35074,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,CU-ensemble,7453,11909,13370,14647,19506,7453,11909,13370,14647,19506,Columbia University,Ensemble,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,CU-ensemble,4164,9278,11131,12974,18315,4164,9278,11131,12974,18315,Columbia University,Ensemble,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,CU-ensemble,2244,7054,9142,11283,16740,2244,7054,9142,11283,16740,Columbia University,Ensemble,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,FluSight-baseline,8974,16623,17051,17479,25128,8974,16623,17051,17479,25128,FluSight-baseline,Baseline model using reported weekly admissions,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,FluSight-baseline,6895,15362,17051,18744,27203,6895,15362,17051,18744,27203,FluSight-baseline,Baseline model using reported weekly admissions,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,FluSight-baseline,5447,14478,17051,19599,28631,5447,14478,17051,19599,28631,FluSight-baseline,Baseline model using reported weekly admissions,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,FluSight-ensemble,7856,11909,14018,15787,20887,7856,11909,14018,15787,20887,FluSight-ensemble,Ensemble models using FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,FluSight-ensemble,5182,8460,11058,14184,20711,5182,8460,11058,14184,20711,FluSight-ensemble,Ensemble models using FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,FluSight-ensemble,3631,7002,9409,12120,20207,3631,7002,9409,12120,20207,FluSight-ensemble,Ensemble models using FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,FluSight-lop_norm,5998,11320,13729,16129,27091,5998,11320,13729,16129,27091,FluSight-lop_norm,Linear opinion pool ensemble of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,FluSight-lop_norm,3087,7748,10750,14221,28649,3087,7748,10750,14221,28649,FluSight-lop_norm,Linear opinion pool ensemble of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,FluSight-lop_norm,1812,5248,8744,13038,30210,1812,5248,8744,13038,30210,FluSight-lop_norm,Linear opinion pool ensemble of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,FluSight-trained_mean,8394.623322489462,11852.678634460048,13793.76667416519,15134.417998502642,20417.793593369133,8395,11853,13794,15134,20418,FluSight-trained_mean,Ensemble models using 6 weeks of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,FluSight-trained_mean,5605.125486748884,9022.749314427616,11167.033021251244,12969.769925018716,20216.04174731585,5605,9023,11167,12970,20216,FluSight-trained_mean,Ensemble models using 6 weeks of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,FluSight-trained_mean,3756.2006103543667,7083.299437442659,9252.254268771927,11253.678122365161,20246.5827593108,3756,7083,9252,11254,20247,FluSight-trained_mean,Ensemble models using 6 weeks of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,FluSight-trained_med,6822.375,11806.149785,14042.645,16589.345,22389.23,6822,11806,14043,16589,22389,FluSight-trained_med,Ensemble models using 6 weeks of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,FluSight-trained_med,4273.735000000001,8920,11223.779999999999,14432.425,21882.855000000003,4274,8920,11224,14432,21883,FluSight-trained_med,Ensemble models using 6 weeks of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,FluSight-trained_med,2677.35,7002,9641.96,12794.32,22496.82,2677,7002,9642,12794,22497,FluSight-trained_med,Ensemble models using 6 weeks of FluSight forecast submissions,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,ISU_NiemiLab-GPE,10780.0085662229,13195.7190501617,14463.9162224973,15731.1458703939,18147.4479183333,10780,13196,14464,15731,18147,ISU_NiemiLab,Gibbs posterior optimal linear pool ensemble,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,ISU_NiemiLab-GPE,7266.9226812811,11045.2235367454,13027.3497806295,15010.6575420219,18790.3801518886,7267,11045,13027,15011,18790,ISU_NiemiLab,Gibbs posterior optimal linear pool ensemble,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,ISU_NiemiLab-GPE,4701.21726871478,9603.87270646785,12175.795104811,14748.9944455375,19653.8671148035,4701,9604,12176,14749,19654,ISU_NiemiLab,Gibbs posterior optimal linear pool ensemble,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,JHUAPL-DMD,6339.58156,11703.29957,13199.01084,14777.88982,20085.10956,6340,11703,13199,14778,20085,Johns Hopkins University Applied Physics Laboratory,Dynamic mode decomposition,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,JHUAPL-DMD,0,6830.012611,9154.001917,10992.02962,14056.13966,0,6830,9154,10992,14056,Johns Hopkins University Applied Physics Laboratory,Dynamic mode decomposition,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,JHUAPL-DMD,0,4808.523392,6794.603203,8982.256323,19941.25584,0,4809,6795,8982,19941,Johns Hopkins University Applied Physics Laboratory,Dynamic mode decomposition,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,JHU_CSSE-CSSE_Ensemble,7910.799999999999,11738,14042,15532.55,17675.7,7911,11738,14042,15533,17676,The Center for Systems Science and Engineering at Johns Hopkins University,CSSE Ensemble,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,JHU_CSSE-CSSE_Ensemble,4897.799999999999,9433,12345,14321,17355.475,4898,9433,12345,14321,17355,The Center for Systems Science and Engineering at Johns Hopkins University,CSSE Ensemble,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,JHU_CSSE-CSSE_Ensemble,3119.5999999999995,7666.799999999999,10874,13119.8,16761.725,3120,7667,10874,13120,16762,The Center for Systems Science and Engineering at Johns Hopkins University,CSSE Ensemble,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,LUcompUncertLab-chimera,5389,9463,13102,19363,46568,5389,9463,13102,19363,46568,LUcompUncertLab,chimera,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,LUcompUncertLab-chimera,3648,6799,9798,15032,40320,3648,6799,9798,15032,40320,LUcompUncertLab,chimera,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,LUcompUncertLab-chimera,2416,4843,7209,11495,33362,2416,4843,7209,11495,33362,LUcompUncertLab,chimera,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,LosAlamos_NAU-CModel_Flu,7729.9,14433,19556,26368,47312.14999999999,7730,14433,19556,26368,47312,Los Alamos National Lab and Northern Arizona University,Compartmental Model with Bayesian Inference,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,LosAlamos_NAU-CModel_Flu,6472,12275.75,16807,22921.5,42370.27499999998,6472,12276,16807,22922,42370,Los Alamos National Lab and Northern Arizona University,Compartmental Model with Bayesian Inference,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,LosAlamos_NAU-CModel_Flu,5411.95,10398,14381,19914.25,37938.274999999965,5412,10398,14381,19914,37938,Los Alamos National Lab and Northern Arizona University,Compartmental Model with Bayesian Inference,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,MDPredict-SIRS,12455.76688,13569.70837,14184.75623,14702.77522,15643.06452,12456,13570,14185,14703,15643,Maryland Predict,modified susceptible-infectious-recovered-susceptible model,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,MDPredict-SIRS,9807.022346,10581.84806,10984.81445,11394.9074,11982.14503,9807,10582,10985,11395,11982,Maryland Predict,modified susceptible-infectious-recovered-susceptible model,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,MDPredict-SIRS,7952.682586,8400.218399,8687.067603,8998.675158,9375.773942,7953,8400,8687,8999,9376,Maryland Predict,modified susceptible-infectious-recovered-susceptible model,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,MIGHTE-Joint,9699,13152,15322,17769,23296,9699,13152,15322,17769,23296,MIGHTE,Joint time series ensemble,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,MIGHTE-Joint,9516,12416,14197,16178,20562,9516,12416,14197,16178,20562,MIGHTE,Joint time series ensemble,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,MIGHTE-Joint,8942,11296,12716,14275,17669,8942,11296,12716,14275,17669,MIGHTE,Joint time series ensemble,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,MIGHTE-Nsemble,9557,12972,15118,17540,23010,9557,12972,15118,17540,23010,MIGHTE,Time series ensemble,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,MIGHTE-Nsemble,9897,12887,14721,16759,21266,9897,12887,14721,16759,21266,MIGHTE,Time series ensemble,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,MIGHTE-Nsemble,9634,12129,13632,15279,18858,9634,12129,13632,15279,18858,MIGHTE,Time series ensemble,2025-03-19,"March 19, 2025"
US,US,0,2025-03-22,2025-03-22,MOBS-GLEAM_FLUH,7074.514,8919.956,10239.412,11813.918,14891.071,7075,8920,10239,11814,14891,MOBS Lab at Northeastern University,GLEAM Flu Forecasting Model,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,MOBS-GLEAM_FLUH,4157.213,5713.213,6798.358,8079.674,10831.377,4157,5713,6798,8080,10831,MOBS Lab at Northeastern University,GLEAM Flu Forecasting Model,2025-03-19,"March 19, 2025"
US,US,2,2025-03-22,2025-04-05,MOBS-GLEAM_FLUH,2316.88,3443.062,4274.571,5273.552,7588.041,2317,3443,4275,5274,7588,MOBS Lab at Northeastern University,GLEAM Flu Forecasting Model,2025-03-19,"March 19, 2025"
US,US,1,2025-03-22,2025-03-29,Metaculus-cp,300,5092.4918196686585,9088.1422125066,14130.372926155913,35000,300,5092,9088,14130,35000,Metaculus,Metaculus Community Prediction,2025-03-19,"March 19, 2025"
