"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.01,0.12
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.025,0.3
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.05,0.6
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.1,1.2
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.15,1.8
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.2,2.4
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.25,3
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.3,3.6
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.35,4.2
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.4,4.8
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.45,5.4
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.5,6
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.55,6.6
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.6,7.2
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.65,7.8
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.7,8.4
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.75,9
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.8,9.6
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.85,10.2
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.9,10.8
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.95,11.4
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alaska","quantile",0.975,11.7
2023-10-14,"wk inc flu hosp	",1,"2023-10-31","Alaska","quantile",0.99,11.88
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.01,0.02
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.025,0.05
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.05,0.1
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.1,0.2
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.15,0.3
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.2,0.4
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.25,0.5
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.3,0.6
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.35,0.7
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.4,0.8
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.45,0.9
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.5,1
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.55,1.1
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.6,1.2
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.65,1.3
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.7,1.4
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.75,1.5
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.8,1.6
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.85,1.7
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.9,1.8
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.95,1.9
2023-10-14,"wk inc flu hosp	",2,"2023-10-31","Alaska","quantile",0.975,1.95
2023-10-14,"wk inc flu hosp	",2,"2023-11-07","Alaska","quantile",0.99,1.98
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.01,0.03
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.025,0.075
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.05,0.15
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.1,0.3
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.15,0.45
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.2,0.6
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.25,0.75
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.3,0.9
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.35,1.05
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.4,1.2
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.45,1.35
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.5,1.5
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.55,1.65
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.6,1.8
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.65,1.95
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.7,2.1
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.75,2.25
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.8,2.4
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.85,2.55
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.9,2.7
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.95,2.85
2023-10-14,"wk inc flu hosp	",3,"2023-11-07","Alaska","quantile",0.975,2.925
2023-10-14,"wk inc flu hosp	",3,"2023-11-14","Alaska","quantile",0.99,2.97
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.01,0.03
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.025,0.075
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.05,0.15
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.1,0.3
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.15,0.45
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.2,0.6
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.25,0.75
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.3,0.9
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.35,1.05
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.4,1.2
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.45,1.35
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.5,1.5
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.55,1.65
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.6,1.8
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.65,1.95
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.7,2.1
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.75,2.25
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.8,2.4
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.85,2.55
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.9,2.7
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.95,2.85
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.975,2.925
2023-10-14,"wk inc flu hosp	",4,"2023-11-14","Alaska","quantile",0.99,2.97
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.01,0.27
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.025,0.675
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.05,1.35
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.1,2.7
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.15,4.05
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.2,5.4
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.25,6.75
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.3,8.1
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.35,9.45
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.4,10.8
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.45,12.15
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.5,13.5
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.55,14.85
2023-10-14,"wk inc flu hosp	",1,"2023-10-24","Alabama","quantile",0.6,16.2
