"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.01,0.0299835652513687
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.025,0.0351022254465534
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.05,0.0401982006310941
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.1,0.0450632567813193
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.15,0.0482933556382192
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.2,0.0511258292956461
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.25,0.0539224069909885
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.3,0.0567426129833997
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.35,0.0595010584375439
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.4,0.0622456088293994
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.45,0.0650219461590309
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.5,0.0678809676518705
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.55,0.0708415183274243
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.6,0.0738709535047277
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.65,0.0769538352570361
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.7,0.0800717543299308
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.75,0.0832042399991349
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.8,0.0862284264573617
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.85,0.0892747225544605
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.9,0.0928151947696542
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.95,0.0986584051866461
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.975,0.110840992167903
"2025-12-27","08",0,"wk inc flu prop ed visits","2025-12-27","quantile",0.99,0.126909657587021
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.01,0.0269919898378445
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.025,0.0316202820956325
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.05,0.0362308107774554
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.1,0.0404028302084884
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.15,0.0438835211268124
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.2,0.0471196771396097
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.25,0.0502490777936311
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.3,0.0532587449625324
"2025-12-27","08",1,"wk inc flu prop ed visits","2026-01-03","quantile",0.35,0.0561496409896591
