location,output_type_id,reference_date,target,horizon,target_end_date,output_type,value
01,0.01,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,8
01,0.025,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,11
01,0.05,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,15
01,0.1,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,21
01,0.15,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,25
01,0.2,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,29
01,0.25,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,33
01,0.3,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,36
01,0.35,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,39
01,0.4,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,43
01,0.45,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,46
01,0.5,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,52
01,0.55,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,53
01,0.6,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,56
01,0.65,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,60
01,0.7,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,65
01,0.75,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,69
01,0.8,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,75
01,0.85,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,82
01,0.9,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,91
01,0.95,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,105
01,0.975,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,118
01,0.99,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,134
02,0.01,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,0
02,0.025,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,0
02,0.05,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,0
02,0.1,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,1
02,0.15,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,1
02,0.2,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,2
02,0.25,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,2
02,0.3,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,3
02,0.35,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,3
02,0.4,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,3
02,0.45,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,4
02,0.5,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,4
02,0.55,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,5
02,0.6,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,5
02,0.65,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,6
02,0.7,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,6
02,0.75,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,7
02,0.8,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,8
02,0.85,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,9
02,0.9,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,10
02,0.95,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,12
02,0.975,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,14
02,0.99,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,17
04,0.01,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,284
04,0.025,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,320
04,0.05,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,353
04,0.1,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,393
04,0.15,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,422
04,0.2,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,445
04,0.25,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,465
04,0.3,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,484
04,0.35,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,502
04,0.4,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,519
04,0.45,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,536
04,0.5,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,551
04,0.55,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,571
04,0.6,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,588
04,0.65,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,607
04,0.7,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,627
04,0.75,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,649
04,0.8,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,675
04,0.85,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,704
04,0.9,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,743
04,0.95,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,802
04,0.975,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,855
04,0.99,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,919
05,0.01,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,0
05,0.025,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,0
05,0.05,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,1
05,0.1,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,1
05,0.15,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,2
05,0.2,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,2
05,0.25,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,3
05,0.3,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,3
05,0.35,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,4
05,0.4,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,4
05,0.45,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,5
05,0.5,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,8
05,0.55,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,7
05,0.6,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,8
05,0.65,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,9
05,0.7,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,10
05,0.75,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,12
05,0.8,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,14
05,0.85,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,16
05,0.9,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,19
05,0.95,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,25
05,0.975,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,31
05,0.99,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,38
06,0.01,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,113
06,0.025,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,145
06,0.05,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,179
06,0.1,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,223
06,0.15,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,256
06,0.2,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,285
06,0.25,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,311
06,0.3,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,335
06,0.35,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,359
06,0.4,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,382
06,0.45,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,405
06,0.5,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,441
06,0.55,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,454
06,0.6,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,479
06,0.65,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,507
06,0.7,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,536
06,0.75,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,569
06,0.8,2024-11-30,wk inc flu hosp,0,2024-11-30,quantile,608
