location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.00568304439930043,0.00973990946316969,0.0161772872158432,0.0057,0.0097,0.0162,2025-11-29,2025-11-29,"November 29, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
US,1,0.00598605528666219,0.01299740261520417,0.02303305284610422,0.006,0.013,0.023,2025-12-06,2025-11-29,"December 06, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
US,2,0.0061,0.0168539968959948,0.03521462801595219,0.0061,0.0169,0.0352,2025-12-13,2025-11-29,"December 13, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Alabama,0,0.00464266883291609,0.011134919838377621,0.01926199892356323,0.0046,0.0111,0.0193,2025-11-29,2025-11-29,"November 29, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Alabama,1,0.0047,0.01507796470263979,0.03006404085506213,0.0047,0.0151,0.0301,2025-12-06,2025-11-29,"December 06, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Alabama,2,0.00443749677509602,0.01794303081973603,0.04451341793928792,0.0044,0.0179,0.0445,2025-12-13,2025-11-29,"December 13, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Alaska,0,0.00293569687967666,0.0055,0.0130561549617556,0.0029,0.0055,0.0131,2025-11-29,2025-11-29,"November 29, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Alaska,1,0.0028123882663897,0.0068,0.0178751195540534,0.0028,0.0068,0.0179,2025-12-06,2025-11-29,"December 06, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Alaska,2,0.00183548202694763,0.00747587069307099,0.02282437765076617,0.0018,0.0075,0.0228,2025-12-13,2025-11-29,"December 13, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Arizona,0,0.00248329939555114,0.00617904872912408,0.01088194863985009,0.0025,0.0062,0.0109,2025-11-29,2025-11-29,"November 29, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Arizona,1,0.00292965102593084,0.00814997810740374,0.01675656679226547,0.0029,0.0081,0.0168,2025-12-06,2025-11-29,"December 06, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Arizona,2,0.00424393883449698,0.01281767573590861,0.0281664087264496,0.0042,0.0128,0.0282,2025-12-13,2025-11-29,"December 13, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Arkansas,0,0.00209683897615898,0.00649015345249208,0.01356567734763397,0.0021,0.0065,0.0136,2025-11-29,2025-11-29,"November 29, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Arkansas,1,0.00275068456757166,0.00916991967639702,0.02075336731459906,0.0028,0.0092,0.0208,2025-12-06,2025-11-29,"December 06, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
Arkansas,2,0.00303393203043748,0.01222029203941029,0.03222227632606557,0.003,0.0122,0.0322,2025-12-13,2025-11-29,"December 13, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
California,0,0.00171547180676396,0.00376859629375228,0.00778106329507217,0.0017,0.0038,0.0078,2025-11-29,2025-11-29,"November 29, 2025","November 29, 2025",2025-11-26,"November 26, 2025",FluSight-ensemble
