week_ending_date,location,location_name,value
2020-08-08,02,Alaska,NA
2020-08-15,02,Alaska,NA
2020-08-22,02,Alaska,NA
2020-08-29,02,Alaska,NA
2020-09-05,02,Alaska,NA
2020-09-12,02,Alaska,NA
2020-09-19,02,Alaska,NA
2020-09-26,02,Alaska,NA
2020-10-03,02,Alaska,NA
2020-10-10,02,Alaska,NA
2020-10-17,02,Alaska,0
2020-10-24,02,Alaska,0
2020-10-31,02,Alaska,0
2020-11-07,02,Alaska,0
2020-11-14,02,Alaska,0
2020-11-21,02,Alaska,0
2020-11-28,02,Alaska,0
2020-12-05,02,Alaska,2
2020-12-12,02,Alaska,4
2020-12-19,02,Alaska,7
2020-12-26,02,Alaska,1
2021-01-02,02,Alaska,0
2021-01-09,02,Alaska,0
2021-01-16,02,Alaska,0
2021-01-23,02,Alaska,0
2021-01-30,02,Alaska,0
2021-02-06,02,Alaska,0
2021-02-13,02,Alaska,0
2021-02-20,02,Alaska,0
2021-02-27,02,Alaska,0
2021-03-06,02,Alaska,0
2021-03-13,02,Alaska,0
2021-03-20,02,Alaska,0
2021-03-27,02,Alaska,0
2021-04-03,02,Alaska,0
2021-04-10,02,Alaska,0
2021-04-17,02,Alaska,3
2021-04-24,02,Alaska,7
2021-05-01,02,Alaska,7
2021-05-08,02,Alaska,7
2021-05-15,02,Alaska,7
2021-05-22,02,Alaska,7
2021-05-29,02,Alaska,8
2021-06-05,02,Alaska,7
2021-06-12,02,Alaska,7
2021-06-19,02,Alaska,7
2021-06-26,02,Alaska,7
2021-07-03,02,Alaska,7
2021-07-10,02,Alaska,7
2021-07-17,02,Alaska,7
2021-07-24,02,Alaska,8
2021-07-31,02,Alaska,7
2021-08-07,02,Alaska,7
2021-08-14,02,Alaska,7
2021-08-21,02,Alaska,7
2021-08-28,02,Alaska,7
2021-09-04,02,Alaska,7
2021-09-11,02,Alaska,7
2021-09-18,02,Alaska,7
2021-09-25,02,Alaska,7
2021-10-02,02,Alaska,5
2021-10-09,02,Alaska,0
2021-10-16,02,Alaska,0
2021-10-23,02,Alaska,1
2021-10-30,02,Alaska,0
2021-11-06,02,Alaska,0
2021-11-13,02,Alaska,0
2021-11-20,02,Alaska,0
