location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,7.968281224715974,12.205133460727826,16.408761248254645,27101,41511,55808,7.97,12.21,16.41,27101,41511,55808,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
US,1,7.0565200322196,12.049890020018994,19.628004491286827,24000,40983,66757,7.06,12.05,19.63,24000,40983,66757,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
US,2,5.588469843849914,11.945806349543755,20.83437539512837,19007,40629,70860,5.59,11.95,20.83,19007,40629,70860,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Alabama,0,6.863525769921821,11.45859810741185,16.615936680290957,354,591,857,6.86,11.46,16.62,354,591,857,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Alabama,1,5.855324244396581,11.245324707781513,19.931368619998956,302,580,1028,5.86,11.25,19.93,302,580,1028,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Alabama,2,5.041007627626195,10.489173563637584,24.56521793923996,260,541,1267,5.04,10.49,24.57,260,541,1267,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Alaska,0,5.809766623025862,10.808868135862067,19.18574094115517,43,80,142,5.81,10.81,19.19,43,80,142,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Alaska,1,3.7831038475517236,10.40353558076724,22.293290530215515,28,77,165,3.78,10.4,22.29,28,77,165,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Alaska,2,2.7022170339655167,9.592870470577585,21.48262542002586,20,71,159,2.7,9.59,21.48,20,71,159,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Arizona,0,2.7563890196012233,5.209443362404225,9.231924946032803,209,395,700,2.76,5.21,9.23,209,395,700,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Arizona,1,2.4134889501771473,5.631474217080011,13.069768030740727,183,427,991,2.41,5.63,13.07,183,427,991,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Arizona,2,1.7672542039548513,6.198578178050597,16.49876872498148,134,470,1251,1.77,6.2,16.5,134,470,1251,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Arkansas,0,5.9902459368323715,10.652923855231622,16.96696686973061,185,329,524,5.99,10.65,16.97,185,329,524,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Arkansas,1,5.439790904799126,11.52717596493148,21.370607125996568,168,356,660,5.44,11.53,21.37,168,356,660,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Arkansas,2,4.824576457232558,12.466187490164662,25.159032934695958,149,385,777,4.82,12.47,25.16,149,385,777,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
California,0,2.1683302409055476,3.760975142997575,5.589473509889856,855,1483,2204,2.17,3.76,5.59,855,1483,2204,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
California,1,1.8690753070729689,4.351876834378853,8.150892858795824,737,1716,3214,1.87,4.35,8.15,737,1716,3214,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
California,2,1.5089549629693575,4.602946651746864,10.970990201353683,595,1815,4326,1.51,4.6,10.97,595,1815,4326,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Colorado,0,8.527076741844262,13.932034834115626,19.588776688449318,508,830,1167,8.53,13.93,19.59,508,830,1167,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Colorado,1,6.747804823270459,13.059184458966213,20.74698199393604,402,778,1236,6.75,13.06,20.75,402,778,1236,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Colorado,2,5.052460825384101,11.984907074166935,20.310556806361333,301,714,1210,5.05,11.98,20.31,301,714,1210,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Connecticut,0,11.727670963456742,18.88399918477721,29.006258113793237,431,694,1066,11.73,18.88,29.01,431,694,1066,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Connecticut,1,8.816161002691377,18.36700208894037,29.740938197350854,324,675,1093,8.82,18.37,29.74,324,675,1093,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Connecticut,2,6.312806643902468,16.435065572918493,30.149093799327307,232,604,1108,6.31,16.44,30.15,232,604,1108,2026-01-17,2026-01-03,"January 17, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Delaware,0,13.30903483829998,22.625359225109968,37.36036208179923,140,238,393,13.31,22.63,37.36,140,238,393,2026-01-03,2026-01-03,"January 03, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
Delaware,1,10.742292405199269,21.769778414076395,43.254363224474936,113,229,455,10.74,21.77,43.25,113,229,455,2026-01-10,2026-01-03,"January 10, 2026","January 03, 2026",2026-01-04,"January 04, 2026",FluSight-ensemble
