reference_date,horizon,target,location,output_type,output_type_id,value,target_end_date
2023-09-30,-1,wk flu hosp rate change,01,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,01,category,large_increase,1.0550449403012863e-12,2023-09-30
2023-09-30,1,wk flu hosp rate change,01,category,large_increase,9.992007221626409e-16,2023-10-07
2023-09-30,2,wk flu hosp rate change,01,category,large_increase,2.220446049250313e-16,2023-10-14
2023-09-30,3,wk flu hosp rate change,01,category,large_increase,2.5135449277513544e-13,2023-10-21
2023-09-30,-1,wk flu hosp rate change,02,category,large_increase,0.007426359230928048,2023-09-23
2023-09-30,0,wk flu hosp rate change,02,category,large_increase,0.00684437172905672,2023-09-30
2023-09-30,1,wk flu hosp rate change,02,category,large_increase,0.004335329923808806,2023-10-07
2023-09-30,2,wk flu hosp rate change,02,category,large_increase,0.0032226745062532425,2023-10-14
2023-09-30,3,wk flu hosp rate change,02,category,large_increase,0.006930217931564897,2023-10-21
2023-09-30,-1,wk flu hosp rate change,04,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,04,category,large_increase,0,2023-09-30
2023-09-30,1,wk flu hosp rate change,04,category,large_increase,0,2023-10-07
2023-09-30,2,wk flu hosp rate change,04,category,large_increase,0,2023-10-14
2023-09-30,3,wk flu hosp rate change,04,category,large_increase,0,2023-10-21
2023-09-30,-1,wk flu hosp rate change,05,category,large_increase,1.5049673429690102e-7,2023-09-23
2023-09-30,0,wk flu hosp rate change,05,category,large_increase,5.202841898421795e-7,2023-09-30
2023-09-30,1,wk flu hosp rate change,05,category,large_increase,8.768816339710384e-8,2023-10-07
2023-09-30,2,wk flu hosp rate change,05,category,large_increase,5.124028290559579e-8,2023-10-14
2023-09-30,3,wk flu hosp rate change,05,category,large_increase,2.7796681956182567e-7,2023-10-21
2023-09-30,-1,wk flu hosp rate change,06,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,06,category,large_increase,0,2023-09-30
2023-09-30,1,wk flu hosp rate change,06,category,large_increase,0,2023-10-07
2023-09-30,2,wk flu hosp rate change,06,category,large_increase,0,2023-10-14
2023-09-30,3,wk flu hosp rate change,06,category,large_increase,0,2023-10-21
2023-09-30,-1,wk flu hosp rate change,08,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,08,category,large_increase,0,2023-09-30
2023-09-30,1,wk flu hosp rate change,08,category,large_increase,0,2023-10-07
2023-09-30,2,wk flu hosp rate change,08,category,large_increase,0,2023-10-14
2023-09-30,3,wk flu hosp rate change,08,category,large_increase,0,2023-10-21
2023-09-30,-1,wk flu hosp rate change,09,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,09,category,large_increase,3.3306690738754696e-16,2023-09-30
2023-09-30,1,wk flu hosp rate change,09,category,large_increase,1.1102230246251565e-16,2023-10-07
2023-09-30,2,wk flu hosp rate change,09,category,large_increase,4.773959005888173e-14,2023-10-14
2023-09-30,3,wk flu hosp rate change,09,category,large_increase,6.197586888134765e-11,2023-10-21
2023-09-30,-1,wk flu hosp rate change,10,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,10,category,large_increase,0,2023-09-30
2023-09-30,1,wk flu hosp rate change,10,category,large_increase,0,2023-10-07
2023-09-30,2,wk flu hosp rate change,10,category,large_increase,0,2023-10-14
2023-09-30,3,wk flu hosp rate change,10,category,large_increase,0,2023-10-21
2023-09-30,-1,wk flu hosp rate change,11,category,large_increase,8.881784197001252e-16,2023-09-23
2023-09-30,0,wk flu hosp rate change,11,category,large_increase,4.593744062919569e-8,2023-09-30
2023-09-30,1,wk flu hosp rate change,11,category,large_increase,5.0755652236667004e-8,2023-10-07
2023-09-30,2,wk flu hosp rate change,11,category,large_increase,2.6758359161771494e-7,2023-10-14
2023-09-30,3,wk flu hosp rate change,11,category,large_increase,4.647425622894552e-6,2023-10-21
2023-09-30,-1,wk flu hosp rate change,12,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,12,category,large_increase,0,2023-09-30
2023-09-30,1,wk flu hosp rate change,12,category,large_increase,0,2023-10-07
2023-09-30,2,wk flu hosp rate change,12,category,large_increase,0,2023-10-14
2023-09-30,3,wk flu hosp rate change,12,category,large_increase,0,2023-10-21
2023-09-30,-1,wk flu hosp rate change,13,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,13,category,large_increase,0,2023-09-30
2023-09-30,1,wk flu hosp rate change,13,category,large_increase,0,2023-10-07
2023-09-30,2,wk flu hosp rate change,13,category,large_increase,0,2023-10-14
2023-09-30,3,wk flu hosp rate change,13,category,large_increase,0,2023-10-21
2023-09-30,-1,wk flu hosp rate change,15,category,large_increase,7.55410709907256e-6,2023-09-23
2023-09-30,0,wk flu hosp rate change,15,category,large_increase,1.3693952358728723e-6,2023-09-30
2023-09-30,1,wk flu hosp rate change,15,category,large_increase,8.744081686495875e-7,2023-10-07
2023-09-30,2,wk flu hosp rate change,15,category,large_increase,1.2648779335044935e-7,2023-10-14
2023-09-30,3,wk flu hosp rate change,15,category,large_increase,4.992777926315917e-6,2023-10-21
2023-09-30,-1,wk flu hosp rate change,16,category,large_increase,0,2023-09-23
2023-09-30,0,wk flu hosp rate change,16,category,large_increase,1.4432899320127035e-15,2023-09-30
2023-09-30,1,wk flu hosp rate change,16,category,large_increase,6.146838593679149e-11,2023-10-07
