reference_date,horizon,target,location,output_type,output_type_id,value,target_end_date
2023-09-23,-1,wk flu hosp rate change,01,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,01,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,01,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,01,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,01,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,02,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,02,category,large_increase,1.3408163468398016e-12,2023-09-23
2023-09-23,1,wk flu hosp rate change,02,category,large_increase,3.838058783234288e-6,2023-09-30
2023-09-23,2,wk flu hosp rate change,02,category,large_increase,8.658205263856189e-10,2023-10-07
2023-09-23,3,wk flu hosp rate change,02,category,large_increase,1.154356850774363e-6,2023-10-14
2023-09-23,-1,wk flu hosp rate change,04,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,04,category,large_increase,5.551115123125783e-16,2023-09-23
2023-09-23,1,wk flu hosp rate change,04,category,large_increase,5.551115123125783e-16,2023-09-30
2023-09-23,2,wk flu hosp rate change,04,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,04,category,large_increase,7.771561172376096e-16,2023-10-14
2023-09-23,-1,wk flu hosp rate change,05,category,large_increase,8.862730549452635e-10,2023-09-16
2023-09-23,0,wk flu hosp rate change,05,category,large_increase,4.755695504066182e-9,2023-09-23
2023-09-23,1,wk flu hosp rate change,05,category,large_increase,6.770987104331994e-10,2023-09-30
2023-09-23,2,wk flu hosp rate change,05,category,large_increase,2.6455504453792855e-12,2023-10-07
2023-09-23,3,wk flu hosp rate change,05,category,large_increase,3.90864007826508e-10,2023-10-14
2023-09-23,-1,wk flu hosp rate change,06,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,06,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,06,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,06,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,06,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,08,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,08,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,08,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,08,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,08,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,09,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,09,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,09,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,09,category,large_increase,2.4424906541753444e-15,2023-10-07
2023-09-23,3,wk flu hosp rate change,09,category,large_increase,9.181522209189552e-11,2023-10-14
2023-09-23,-1,wk flu hosp rate change,10,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,10,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,10,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,10,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,10,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,11,category,large_increase,4.617113025240371e-9,2023-09-16
2023-09-23,0,wk flu hosp rate change,11,category,large_increase,9.936682388023144e-8,2023-09-23
2023-09-23,1,wk flu hosp rate change,11,category,large_increase,2.655921256256022e-7,2023-09-30
2023-09-23,2,wk flu hosp rate change,11,category,large_increase,7.4678738748446e-9,2023-10-07
2023-09-23,3,wk flu hosp rate change,11,category,large_increase,1.5159471955517034e-7,2023-10-14
2023-09-23,-1,wk flu hosp rate change,12,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,12,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,12,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,12,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,12,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,13,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,13,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,13,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,13,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,13,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,15,category,large_increase,0.006118287457632876,2023-09-16
2023-09-23,0,wk flu hosp rate change,15,category,large_increase,0.011635405639686236,2023-09-23
2023-09-23,1,wk flu hosp rate change,15,category,large_increase,0.009404202701275066,2023-09-30
2023-09-23,2,wk flu hosp rate change,15,category,large_increase,0.005647006883664041,2023-10-07
2023-09-23,3,wk flu hosp rate change,15,category,large_increase,0.013061884315831218,2023-10-14
2023-09-23,-1,wk flu hosp rate change,16,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,16,category,large_increase,5.6066262743570405e-14,2023-09-23
2023-09-23,1,wk flu hosp rate change,16,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,16,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,16,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,17,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,17,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,17,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,17,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,17,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,18,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,18,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,18,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,18,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,18,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,19,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,19,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,19,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,19,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,19,category,large_increase,9.2148511043888e-15,2023-10-14
2023-09-23,-1,wk flu hosp rate change,20,category,large_increase,0,2023-09-16
2023-09-23,0,wk flu hosp rate change,20,category,large_increase,0,2023-09-23
2023-09-23,1,wk flu hosp rate change,20,category,large_increase,0,2023-09-30
2023-09-23,2,wk flu hosp rate change,20,category,large_increase,0,2023-10-07
2023-09-23,3,wk flu hosp rate change,20,category,large_increase,0,2023-10-14
2023-09-23,-1,wk flu hosp rate change,21,category,large_increase,3.3602458593406936e-9,2023-09-16
2023-09-23,0,wk flu hosp rate change,21,category,large_increase,4.0189283123659436e-8,2023-09-23
2023-09-23,1,wk flu hosp rate change,21,category,large_increase,4.375907414200242e-8,2023-09-30
2023-09-23,2,wk flu hosp rate change,21,category,large_increase,3.4091198419794466e-8,2023-10-07
2023-09-23,3,wk flu hosp rate change,21,category,large_increase,1.1316475979183949e-5,2023-10-14
2023-09-23,-1,wk flu hosp rate change,22,category,large_increase,1.2257727055597911e-9,2023-09-16
2023-09-23,0,wk flu hosp rate change,22,category,large_increase,1.6239123701300429e-7,2023-09-23
2023-09-23,1,wk flu hosp rate change,22,category,large_increase,1.0696217922490092e-7,2023-09-30
2023-09-23,2,wk flu hosp rate change,22,category,large_increase,2.7418972647907935e-9,2023-10-07
