location,target,reference_date,target_end_date,horizon,output_type,output_type_id,value
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.01,26
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.025,43
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.05,56
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.1,69
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.15,77
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.2,84
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.25,89
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.3,93
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.35,97
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.4,100
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.45,105
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.5,110
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.55,114
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.6,120
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.65,126
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.7,134
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.75,145
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.8,155
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.85,171
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.9,194
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.95,248
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.975,321
01,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.99,458
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.01,14
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.025,27
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.05,46
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.1,66
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.15,77
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.2,84
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.25,91
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.3,97
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.35,104
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.4,111
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.45,120
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.5,126
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.55,133
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.6,141
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.65,150
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.7,160
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.75,176
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.8,198
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.85,239
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.9,301
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.95,435
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.975,618
01,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.99,908
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.01,7
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.025,19
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.05,36
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.1,62
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.15,75
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.2,84
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.25,92
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.3,99
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.35,107
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.4,115
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.45,124
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.5,133
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.55,142
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.6,151
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.65,161
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.7,173
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.75,192
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.8,228
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.85,290
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.9,385
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.95,600
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.975,875
01,wk inc flu hosp,2025-12-20,2026-01-03,2,quantile,0.99,1322
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.01,4
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.025,10
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.05,26
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.1,49
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.15,64
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.2,75
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.25,83
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.3,92
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.35,100
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.4,109
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.45,118
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.5,127
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.55,137
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.6,149
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.65,162
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.7,177
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.75,193
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.8,221
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.85,287
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.9,410
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.95,693
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.975,1044
01,wk inc flu hosp,2025-12-20,2026-01-10,3,quantile,0.99,1496
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.01,0
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.025,1
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.05,2
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.1,3
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.15,5
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.2,7
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.25,8
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.3,9
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.35,10
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.4,11
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.45,12
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.5,13
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.55,15
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.6,16
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.65,17
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.7,18
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.75,20
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.8,22
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.85,25
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.9,28
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.95,34
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.975,41
02,wk inc flu hosp,2025-12-20,2025-12-20,0,quantile,0.99,53
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.01,0
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.025,0
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.05,1
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.1,3
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.15,5
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.2,7
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.25,9
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.3,10
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.35,11
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.4,13
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.45,14
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.5,16
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.55,17
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.6,19
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.65,20
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.7,22
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.75,25
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.8,28
02,wk inc flu hosp,2025-12-20,2025-12-27,1,quantile,0.85,32
