,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.01,0.0
1,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.025,0.0
2,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.05,74.0
3,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.1,82.0
4,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.15,86.0
5,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.2,90.0
6,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.25,92.0
7,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.3,94.0
8,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.35,96.0
9,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.4,98.0
10,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.45,100.0
11,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.5,102.0
12,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.55,104.0
13,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.6,106.0
14,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.65,108.0
15,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.7,110.0
16,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.75,112.0
17,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.8,114.0
18,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.85,117.0
19,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.9,121.0
20,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.95,127.0
21,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.975,133.0
22,2023-12-16,wk inc flu hosp,-1,2023-12-09,01,quantile,0.99,139.0
