reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.01,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.025,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.05,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.1,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.15,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.2,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.25,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.3,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.35,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.4,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.45,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.5,0.9334215477302563,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.55,4.021374141556785,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.6,7.765087962196226,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.65,11.33625708625912,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.7,15.165775722463634,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.75,18.6707848763183,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.8,22.733794046886473,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.85,27.835560325546464,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.9,34.62100075403122,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.95,44.009018505616794,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.975,52.2994497872775,-1
2023-10-21,wk inc flu hosp,2023-10-14,01,quantile,0.99,59.574148103876034,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.01,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.025,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.05,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.1,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.15,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.2,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.25,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.3,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.35,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.4,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.45,0.0,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.5,0.051492600398840335,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.55,0.8057556707428745,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.6,1.5371555685085554,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.65,2.252717209325716,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.7,3.0954473175278254,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.75,3.9027191942548884,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.8,4.822420638194685,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.85,5.871781757027921,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.9,7.426640681375746,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.95,9.205251633393628,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.975,11.044999269022775,-1
2023-10-21,wk inc flu hosp,2023-10-14,02,quantile,0.99,13.21173843873788,-1
2023-10-21,wk inc flu hosp,2023-10-14,04,quantile,0.01,0.0,-1
