location,target,reference_date,target_end_date,horizon,output_type,output_type_id,value
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.01,15
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.025,17
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.05,19
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.1,22
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.15,23
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.2,25
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.25,26
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.3,27
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.35,29
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.4,30
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.45,31
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.5,32
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.55,33
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.6,35
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.65,36
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.7,37
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.75,39
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.8,41
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.85,43
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.9,46
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.95,50
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.975,55
01,wk inc flu hosp,2025-11-29,2025-11-29,0,quantile,0.99,60
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.01,14
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.025,17
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.05,19
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.1,23
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.15,25
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.2,27
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.25,29
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.3,31
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.35,33
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.4,35
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.45,37
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.5,39
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.55,41
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.6,42
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.65,45
01,wk inc flu hosp,2025-11-29,2025-12-06,1,quantile,0.7,47
