target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2025-11-29,0.01,16.87101448663491,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.025,19.708368868388884,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.05,22.530673301917368,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.1,26.32127382621705,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.15,29.207516592853125,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.2,31.712200270003848,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.25,34.040980302497914,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.3,36.25097126638022,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.35,38.43812116983929,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.4,40.62401985342279,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.45,42.85578239089143,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.5,45.17517160155647,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.55,47.59927865468837,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.6,50.21674117303742,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.65,53.04698181345214,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.7,56.204758693092096,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.75,59.84900690788718,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.8,64.14769497141648,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.85,69.55774521756763,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.9,76.96533463913906,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.95,89.50991649398341,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.975,102.10114263448622,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.99,118.48602945482045,2025-11-29,0,wk inc flu hosp,quantile,01
2025-11-29,0.01,-0.11242951322334276,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.025,0.07240478659661878,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.05,0.2635492765053149,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.1,0.5306109509573286,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.15,0.7412233775160542,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.2,0.9287038955392667,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.25,1.1067195901781393,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.3,1.2787932890856044,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.35,1.4519665255665049,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.4,1.627786229808621,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.45,1.8100185333765901,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.5,2.0022142691427405,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.55,2.2060355665038447,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.6,2.4293746444596724,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.65,2.674538059297841,2025-11-29,0,wk inc flu hosp,quantile,02
2025-11-29,0.7,2.9524009483501295,2025-11-29,0,wk inc flu hosp,quantile,02
