target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2026-01-24,0.01,49.31033370193998,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.025,57.34375302152875,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.05,65.36116650025963,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.1,76.16561615936202,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.15,84.41709141214642,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.2,91.59332102841053,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.25,98.2775581624346,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.3,104.63082354434549,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.35,110.92743566293419,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.4,117.22891407252304,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.45,123.67089123695915,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.5,130.3742277348372,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.55,137.38893916281992,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.6,144.9726910982822,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.65,153.18350949365603,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.7,162.3568370441093,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.75,172.9585973061682,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.8,185.48398512591518,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.85,201.27599384730584,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.9,222.9461326822891,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.95,259.75588210611363,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.975,296.8274624250244,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.99,345.23164509211483,2026-01-24,0,wk inc flu hosp,quantile,01
2026-01-24,0.01,7.798996723185492,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.025,9.420652891365782,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.05,11.097264100431243,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.1,13.43919896160432,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.15,15.285710127702854,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.2,16.929154351147794,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.25,18.4894253102687,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.3,19.997442228280757,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.35,21.514936134593675,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.4,23.055468973114735,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.45,24.652038590182794,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.5,26.335744525395903,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.55,28.121131916616193,2026-01-24,0,wk inc flu hosp,quantile,02
2026-01-24,0.6,30.077306706293694,2026-01-24,0,wk inc flu hosp,quantile,02
