target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2026-03-14,0.01,38.75696911464298,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.025,45.31465024380594,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.05,51.892164060270645,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.1,60.80137741635523,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.15,67.63632630908127,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.2,73.6001536996422,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.25,79.17017916051608,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.3,84.47698107409676,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.35,89.7478354969867,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.4,95.0334760070286,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.45,100.44746463101889,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.5,106.09180490544102,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.55,112.00943197215639,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.6,118.41924080470048,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.65,125.37254782533098,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.7,133.1566849500218,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.75,142.17247599525558,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.8,152.84951511871782,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.85,166.3476912851936,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.9,184.93133351610953,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.95,216.6435615547825,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.975,248.74445182625405,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.99,290.87249657303346,2026-03-14,0,wk inc flu hosp,quantile,01
2026-03-14,0.01,3.0873504882263156,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.025,3.7236121455750406,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.05,4.380501587351835,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.1,5.296738349014263,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.15,6.01822470472166,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.2,6.659770054907657,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.25,7.268379800098834,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.3,7.856211408817457,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.35,8.447374982019895,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.4,9.047168601677242,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.45,9.66843762990212,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.5,10.323261376509777,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.55,11.017261187831956,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.6,11.777239325466091,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.65,12.610942997644788,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.7,13.555209873030869,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.75,14.662647403553478,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.8,15.992259636602194,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.85,17.69967937528693,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.9,20.095470996945508,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.95,24.293570351025075,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.975,28.669665390795288,2026-03-14,0,wk inc flu hosp,quantile,02
2026-03-14,0.99,34.58386803713404,2026-03-14,0,wk inc flu hosp,quantile,02
