target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2025-11-22,0.010,16.87101448663491,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.025,19.708368868388884,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.050,22.530673301917368,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.100,26.32127382621705,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.150,29.207516592853125,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.200,31.712200270003848,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.250,34.040980302497914,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.300,36.25097126638022,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.350,38.43812116983929,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.400,40.62401985342279,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.450,42.85578239089143,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.500,45.17517160155647,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.550,47.59927865468837,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.600,50.21674117303742,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.650,53.04698181345214,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.700,56.204758693092096,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.750,59.84900690788718,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.800,64.14769497141648,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.850,69.55774521756763,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.900,76.96533463913906,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.950,89.50991649398341,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.975,102.10114263448622,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.990,118.48602945482045,2025-11-22,0,wk inc flu hosp,quantile,01
2025-11-22,0.010,-0.11242951322334276,2025-11-22,0,wk inc flu hosp,quantile,02
2025-11-22,0.025,0.07240478659661878,2025-11-22,0,wk inc flu hosp,quantile,02
2025-11-22,0.050,0.2635492765053149,2025-11-22,0,wk inc flu hosp,quantile,02
2025-11-22,0.100,0.5306109509573286,2025-11-22,0,wk inc flu hosp,quantile,02
2025-11-22,0.150,0.7412233775160542,2025-11-22,0,wk inc flu hosp,quantile,02
2025-11-22,0.200,0.9287038955392667,2025-11-22,0,wk inc flu hosp,quantile,02
