"date","location","location_name","value","weekly_rate"
2023-09-30,"02","Alaska",6,0.843376542324852
2023-09-30,"01","Alabama",23,0.454206325790744
2023-09-30,"05","Arkansas",10,0.32874428231507
2023-09-30,"04","Arizona",21,0.286063867436369
2023-09-30,"06","California",47,0.120864408880078
2023-09-30,"08","Colorado",12,0.206762940086303
2023-09-30,"09","Connecticut",8,0.220928013644514
2023-09-30,"11","District of Columbia",0,0
2023-09-30,"10","Delaware",0,0
2023-09-30,"12","Florida",177,0.797877663446366
2023-09-30,"13","Georgia",35,0.322418574110304
2023-09-30,"15","Hawaii",10,0.714808034728234
2023-09-30,"19","Iowa",4,0.124991250612457
2023-09-30,"16","Idaho",2,0.103331351093582
2023-09-30,"17","Illinois",17,0.135316963270837
2023-09-30,"18","Indiana",13,0.19028267369405
2023-09-30,"20","Kansas",5,0.171441248284302
2023-09-30,"21","Kentucky",14,0.311500209483891
2023-09-30,"22","Louisiana",16,0.349721119264956
2023-09-30,"25","Massachusetts",16,0.229270309982057
2023-09-30,"24","Maryland",4,0.0652195534743271
2023-09-30,"23","Maine",0,0
2023-09-30,"26","Michigan",12,0.119616330619538
2023-09-30,"27","Minnesota",2,0.0349861489836174
2023-09-30,"29","Missouri",12,0.194661821317643
2023-09-30,"28","Mississippi",20,0.683222281245036
2023-09-30,"30","Montana",4,0.357282261025061
2023-09-30,"37","North Carolina",14,0.132118322905108
2023-09-30,"38","North Dakota",3,0.388570333173156
2023-09-30,"31","Nebraska",1,0.0509812618372117
2023-09-30,"33","New Hampshire",1,0.071700418443642
2023-09-30,"34","New Jersey",11,0.118865757012242
2023-09-30,"35","New Mexico",6,0.285703537819292
2023-09-30,"32","Nevada",7,0.221131377626369
2023-09-30,"36","New York",48,0.244185460892427
2023-09-30,"39","Ohio",15,0.127667147574626
2023-09-30,"40","Oklahoma",26,0.649794340091361
2023-09-30,"41","Oregon",6,0.141554003442122
2023-09-30,"42","Pennsylvania",60,0.462631838508179
2023-09-30,"72","Puerto Rico",100,3.10386558523851
2023-09-30,"44","Rhode Island",0,0
2023-09-30,"45","South Carolina",29,0.552798025329206
2023-09-30,"46","South Dakota",2,0.220639014714416
2023-09-30,"47","Tennessee",45,0.640058532641634
2023-09-30,"48","Texas",134,0.447941822653214
2023-09-30,"US","US",1125,0.338651347528631
2023-09-30,"49","Utah",4,0.118475060111284
2023-09-30,"51","Virginia",59,0.687335985906583
2023-09-30,"50","Vermont",1,0.154581008177335
2023-09-30,"53","Washington",45,0.581708449276445
2023-09-30,"55","Wisconsin",9,0.152774849593161
2023-09-30,"54","West Virginia",7,0.394371307346518
2023-09-30,"56","Wyoming",2,0.345672098903701
2023-09-23,"02","Alaska",5,0.70281378527071
2023-09-23,"01","Alabama",11,0.217229112334703
2023-09-23,"05","Arkansas",6,0.197246569389042
2023-09-23,"04","Arizona",9,0.122598800329873
2023-09-23,"06","California",51,0.131150741550723
2023-09-23,"08","Colorado",8,0.137841960057535
2023-09-23,"09","Connecticut",16,0.441856027289028
2023-09-23,"11","District of Columbia",1,0.149571626860671
2023-09-23,"10","Delaware",0,0
2023-09-23,"12","Florida",171,0.770830962990557
2023-09-23,"13","Georgia",30,0.276358777808832
2023-09-23,"15","Hawaii",5,0.357404017364117
2023-09-23,"19","Iowa",0,0
2023-09-23,"16","Idaho",3,0.154997026640372
2023-09-23,"17","Illinois",20,0.159196427377455
2023-09-23,"18","Indiana",13,0.19028267369405
2023-09-23,"20","Kansas",4,0.137152998627441
2023-09-23,"21","Kentucky",13,0.289250194520756
2023-09-23,"22","Louisiana",18,0.393436259173076
2023-09-23,"25","Massachusetts",10,0.143293943738785
2023-09-23,"24","Maryland",6,0.0978293302114907
2023-09-23,"23","Maine",1,0.0722259980368974
2023-09-23,"26","Michigan",17,0.169456468377679
2023-09-23,"27","Minnesota",4,0.0699722979672348
2023-09-23,"29","Missouri",16,0.259549095090191
2023-09-23,"28","Mississippi",20,0.683222281245036
2023-09-23,"30","Montana",3,0.267961695768796
2023-09-23,"37","North Carolina",13,0.122681299840458
2023-09-23,"38","North Dakota",1,0.129523444391052
2023-09-23,"31","Nebraska",6,0.30588757102327
