"date","location","location_name","value","weekly_rate"
"2026-01-03","02","Alaska",55,7.43109684340517
"2026-01-03","01","Alabama",463,8.97687127534972
"2026-01-03","05","Arkansas",235,7.60923132516544
"2026-01-03","04","Arizona",357,4.70828172247673
"2026-01-03","06","California",1416,3.59105920599094
"2026-01-03","08","Colorado",791,13.2773970527536
"2026-01-03","09","Connecticut",753,20.4894112192179
"2026-01-03","11","District of Columbia",82,11.6767532929868
"2026-01-03","10","Delaware",173,16.4461644787564
"2026-01-03","12","Florida",2329,9.96482361641804
"2026-01-03","13","Georgia",1202,10.7504974117417
"2026-01-03","15","Hawaii",104,7.19152837956887
"2026-01-03","19","Iowa",331,10.2113597212145
"2026-01-03","16","Idaho",229,11.4407387220045
"2026-01-03","17","Illinois",1613,12.6906368905878
"2026-01-03","18","Indiana",797,11.5102303129208
"2026-01-03","20","Kansas",332,11.176170788048
"2026-01-03","21","Kentucky",480,10.461226770628
"2026-01-03","22","Louisiana",646,14.0503812742782
"2026-01-03","25","Massachusetts",1092,15.3023238933036
"2026-01-03","24","Maryland",727,11.6074479261466
"2026-01-03","23","Maine",232,16.5123144855702
"2026-01-03","26","Michigan",1138,11.2223716894866
"2026-01-03","27","Minnesota",1063,18.3492541451103
"2026-01-03","29","Missouri",692,11.0800379026961
"2026-01-03","28","Mississippi",213,7.23740207845955
"2026-01-03","30","Montana",150,13.1899091918719
"2026-01-03","37","North Carolina",2163,19.5817065036252
"2026-01-03","38","North Dakota",148,18.5797069427845
"2026-01-03","31","Nebraska",190,9.47411198899009
"2026-01-03","33","New Hampshire",212,15.0457903014268
"2026-01-03","34","New Jersey",1686,17.7457787728699
"2026-01-03","35","New Mexico",361,16.9463200666962
"2026-01-03","32","Nevada",238,7.28392972293217
"2026-01-03","36","New York",3468,17.4558650498549
"2026-01-03","39","Ohio",1903,16.0140647752511
"2026-01-03","40","Oklahoma",208,5.07887765594169
"2026-01-03","41","Oregon",161,3.76839932674386
"2026-01-03","42","Pennsylvania",3250,24.8494676594118
"2026-01-03","72","Puerto Rico",323,10.083367282751
"2026-01-03","44","Rhode Island",267,24.0041427374432
"2026-01-03","45","South Carolina",866,15.8062915245971
"2026-01-03","46","South Dakota",88,9.5169190272411
"2026-01-03","47","Tennessee",845,11.6910518487773
"2026-01-03","48","Texas",2137,6.82947666043129
"2026-01-03","US","US",39067,11.4865445041135
"2026-01-03","49","Utah",260,7.42091092823323
"2026-01-03","51","Virginia",1077,12.223086652832
"2026-01-03","50","Vermont",48,7.40177611786095
"2026-01-03","53","Washington",260,3.26707865366202
"2026-01-03","55","Wisconsin",1047,17.5642407492063
"2026-01-03","54","West Virginia",114,6.44075438183165
"2026-01-03","56","Wyoming",51,8.67910785578386
"2025-12-27","02","Alaska",69,9.32264876718103
"2025-12-27","01","Alabama",498,9.65546845599171
"2025-12-27","05","Arkansas",260,8.41872401933198
"2025-12-27","04","Arizona",319,4.20712008254923
"2025-12-27","06","California",1205,3.05595080735811
"2025-12-27","08","Colorado",817,13.7138222403283
"2025-12-27","09","Connecticut",652,17.7411634992431
"2025-12-27","11","District of Columbia",91,12.9583481666073
"2025-12-27","10","Delaware",211,20.0586167920093
"2025-12-27","12","Florida",2133,9.12622102783155
"2025-12-27","13","Georgia",1374,12.288838139545
"2025-12-27","15","Hawaii",88,6.08513939809673
"2025-12-27","19","Iowa",254,7.8359074597839
"2025-12-27","16","Idaho",217,10.8412240291484
"2025-12-27","17","Illinois",1434,11.2823145078134
"2025-12-27","18","Indiana",697,10.0660357943611
"2025-12-27","20","Kansas",263,8.85341240137534
"2025-12-27","21","Kentucky",547,11.9214396740282
"2025-12-27","22","Louisiana",681,14.8116248417701
"2025-12-27","25","Massachusetts",878,12.3035168299639
"2025-12-27","24","Maryland",644,10.2822509827213
"2025-12-27","23","Maine",141,10.035501476144
"2025-12-27","26","Michigan",801,7.89905072344358
"2025-12-27","27","Minnesota",938,16.1915337611604
"2025-12-27","29","Missouri",605,9.68702735712595
"2025-12-27","28","Mississippi",233,7.91697034873745
"2025-12-27","30","Montana",121,10.6398600814433
"2025-12-27","37","North Carolina",2461,22.2795098037086
"2025-12-27","38","North Dakota",102,12.8049331632704
"2025-12-27","31","Nebraska",164,8.17765455891776
"2025-12-27","33","New Hampshire",196,13.9102589579229
"2025-12-27","34","New Jersey",1421,14.9565549443939
"2025-12-27","35","New Mexico",380,17.8382316491539
"2025-12-27","32","Nevada",260,7.95723415110237
"2025-12-27","36","New York",3859,19.4239282662601
"2025-12-27","39","Ohio",1609,13.5400053722433
"2025-12-27","40","Oklahoma",199,4.85911852659806
"2025-12-27","41","Oregon",125,2.92577587480113
"2025-12-27","42","Pennsylvania",2375,18.1592263664933
"2025-12-27","72","Puerto Rico",335,10.4579815471257
"2025-12-27","44","Rhode Island",183,16.4522776065622
"2025-12-27","45","South Carolina",842,15.3682418749547
"2025-12-27","46","South Dakota",55,5.94807439202569
"2025-12-27","47","Tennessee",861,11.9124208778666
"2025-12-27","48","Texas",2680,8.56480928870186
"2025-12-27","US","US",36539,10.7432577273863
"2025-12-27","49","Utah",234,6.6788198354099
"2025-12-27","51","Virginia",830,9.41983465352883
"2025-12-27","50","Vermont",43,6.63075777225043
