"X","date","location","location_name","value","weekly_rate"
1,"2024-04-20","02","Alaska",2,0.281125514108284
2,"2024-04-20","01","Alabama",19,0.375213921305397
3,"2024-04-20","05","Arkansas",36,1.18347941633425
4,"2024-04-20","04","Arizona",75,1.0216566694156
5,"2024-04-20","06","California",159,0.408881723658136
6,"2024-04-20","08","Colorado",26,0.44798637018699
7,"2024-04-20","09","Connecticut",57,1.57411209721716
8,"2024-04-20","11","District of Columbia",14,2.09400277604939
9,"2024-04-20","10","Delaware",8,0.788276748200758
10,"2024-04-20","12","Florida",244,1.09989915186957
11,"2024-04-20","13","Georgia",37,0.340842492630893
12,"2024-04-20","15","Hawaii",5,0.357404017364117
13,"2024-04-20","19","Iowa",55,1.71862969592129
14,"2024-04-20","16","Idaho",33,1.7049672930441
15,"2024-04-20","17","Illinois",119,0.947218742895859
16,"2024-04-20","18","Indiana",61,0.892864853487464
17,"2024-04-20","20","Kansas",42,1.44010648558813
18,"2024-04-20","21","Kentucky",47,1.04575070326735
19,"2024-04-20","22","Louisiana",25,0.546439248851494
20,"2024-04-20","25","Massachusetts",127,1.81983308548258
21,"2024-04-20","24","Maryland",38,0.619585758006108
22,"2024-04-20","23","Maine",16,1.15561596859036
23,"2024-04-20","26","Michigan",168,1.67462862867353
24,"2024-04-20","27","Minnesota",53,0.927132948065861
25,"2024-04-20","29","Missouri",76,1.23285820167841
26,"2024-04-20","28","Mississippi",24,0.819866737494043
27,"2024-04-20","30","Montana",6,0.535923391537591
28,"2024-04-20","37","North Carolina",23,0.217051530486964
29,"2024-04-20","38","North Dakota",12,1.55428133269262
30,"2024-04-20","31","Nebraska",27,1.37649406960472
31,"2024-04-20","33","New Hampshire",12,0.860405021323704
32,"2024-04-20","34","New Jersey",108,1.16704561430201
33,"2024-04-20","35","New Mexico",15,0.714258844548229
34,"2024-04-20","32","Nevada",26,0.821345116897944
35,"2024-04-20","36","New York",217,1.10392177111785
36,"2024-04-20","39","Ohio",109,0.927714605708951
37,"2024-04-20","40","Oklahoma",28,0.699778520098389
38,"2024-04-20","41","Oregon",32,0.754954685024648
39,"2024-04-20","42","Pennsylvania",151,1.16429012691225
40,"2024-04-20","72","Puerto Rico",36,1.11739161068586
41,"2024-04-20","44","Rhode Island",11,1.0088133603573
42,"2024-04-20","45","South Carolina",49,0.934038042797623
43,"2024-04-20","46","South Dakota",24,2.64766817657299
44,"2024-04-20","47","Tennessee",58,0.824964330960328
45,"2024-04-20","48","Texas",237,0.792255313200087
46,"2024-04-20","US","US",2946,0.886814995394974
47,"2024-04-20","49","Utah",3,0.0888562950834627
48,"2024-04-20","51","Virginia",79,0.920331235366442
49,"2024-04-20","50","Vermont",10,1.54581008177335
50,"2024-04-20","53","Washington",26,0.336098215137502
51,"2024-04-20","55","Wisconsin",66,1.12034889701651
52,"2024-04-20","54","West Virginia",13,0.732403856500676
53,"2024-04-20","56","Wyoming",2,0.345672098903701
54,"2024-04-13","02","Alaska",8,1.12450205643314
55,"2024-04-13","01","Alabama",19,0.375213921305397
56,"2024-04-13","05","Arkansas",49,1.61084698334384
57,"2024-04-13","04","Arizona",88,1.19874382544764
58,"2024-04-13","06","California",177,0.455170220676038
59,"2024-04-13","08","Colorado",55,0.947663475395555
60,"2024-04-13","09","Connecticut",62,1.71219210574498
61,"2024-04-13","11","District of Columbia",17,2.54271765663141
62,"2024-04-13","10","Delaware",7,0.689742154675664
63,"2024-04-13","12","Florida",327,1.47404517484159
64,"2024-04-13","13","Georgia",54,0.497445800055898
65,"2024-04-13","15","Hawaii",12,0.85776964167388
66,"2024-04-13","19","Iowa",60,1.87486875918686
67,"2024-04-13","16","Idaho",12,0.619988106561489
68,"2024-04-13","17","Illinois",186,1.48052677461033
69,"2024-04-13","18","Indiana",104,1.5222613895524
70,"2024-04-13","20","Kansas",27,0.925782740735229
71,"2024-04-13","21","Kentucky",67,1.49075100253005
72,"2024-04-13","22","Louisiana",30,0.655727098621793
73,"2024-04-13","25","Massachusetts",168,2.4073382548116
74,"2024-04-13","24","Maryland",55,0.896768860271998
75,"2024-04-13","23","Maine",15,1.08338997055346
76,"2024-04-13","26","Michigan",297,2.96050418283356
77,"2024-04-13","27","Minnesota",79,1.38195288485289
78,"2024-04-13","29","Missouri",106,1.71951275497251
79,"2024-04-13","28","Mississippi",38,1.29812233436557
80,"2024-04-13","30","Montana",9,0.803885087306387
81,"2024-04-13","37","North Carolina",55,0.519036268555783
82,"2024-04-13","38","North Dakota",16,2.07237511025683
83,"2024-04-13","31","Nebraska",46,2.34513804451174
84,"2024-04-13","33","New Hampshire",14,1.00380585821099
85,"2024-04-13","34","New Jersey",134,1.44800103996731
86,"2024-04-13","35","New Mexico",19,0.90472786976109
87,"2024-04-13","32","Nevada",24,0.75816472329041
88,"2024-04-13","36","New York",366,1.86191413930475
89,"2024-04-13","39","Ohio",189,1.60860605944029
90,"2024-04-13","40","Oklahoma",36,0.8997152401265
91,"2024-04-13","41","Oregon",33,0.778547018931668
92,"2024-04-13","42","Pennsylvania",198,1.52668506707699
93,"2024-04-13","72","Puerto Rico",43,1.33466220165256
94,"2024-04-13","44","Rhode Island",14,1.28394427681839
95,"2024-04-13","45","South Carolina",64,1.21996805589894
96,"2024-04-13","46","South Dakota",14,1.54447310300091
97,"2024-04-13","47","Tennessee",77,1.09521126696457
98,"2024-04-13","48","Texas",218,0.728741174167168
99,"2024-04-13","US","US",3961,1.1923537667208
100,"2024-04-13","49","Utah",1,0.0296187650278209
101,"2024-04-13","51","Virginia",110,1.28147387202922
102,"2024-04-13","50","Vermont",16,2.47329613083737
103,"2024-04-13","53","Washington",42,0.542927885991349
104,"2024-04-13","55","Wisconsin",77,1.30707371318593
105,"2024-04-13","54","West Virginia",22,1.23945268023191
106,"2024-04-13","56","Wyoming",5,0.864180247259252
107,"2024-04-06","02","Alaska",7,0.983939299378994
108,"2024-04-06","01","Alabama",39,0.77017594373213
109,"2024-04-06","05","Arkansas",59,1.93959126565891
110,"2024-04-06","04","Arizona",84,1.14425546974548
111,"2024-04-06","06","California",150,0.385737475149185
112,"2024-04-06","08","Colorado",49,0.844282005352403
113,"2024-04-06","09","Connecticut",88,2.43020815008966
114,"2024-04-06","11","District of Columbia",23,3.44014741779543
115,"2024-04-06","10","Delaware",19,1.8721572769768
116,"2024-04-06","12","Florida",314,1.41544399052067
117,"2024-04-06","13","Georgia",56,0.515869718576487
118,"2024-04-06","15","Hawaii",9,0.64332723125541
119,"2024-04-06","19","Iowa",82,2.56232063755537
120,"2024-04-06","16","Idaho",31,1.60163594195051
121,"2024-04-06","17","Illinois",182,1.44868748913484
122,"2024-04-06","18","Indiana",153,2.23948069809151
123,"2024-04-06","20","Kansas",42,1.44010648558813
124,"2024-04-06","21","Kentucky",102,2.26950152623978
125,"2024-04-06","22","Louisiana",34,0.743157378438032
126,"2024-04-06","25","Massachusetts",214,3.06649039601001
