"X","date","location","location_name","value","weekly_rate"
1,"2024-03-30","02","Alaska",10,1.40562757054142
2,"2024-03-30","01","Alabama",62,1.22438226952287
3,"2024-03-30","05","Arkansas",77,2.53133097382604
4,"2024-03-30","04","Arizona",97,1.32134262577751
5,"2024-03-30","06","California",179,0.46031338701136
6,"2024-03-30","08","Colorado",68,1.17165666048905
7,"2024-03-30","09","Connecticut",89,2.45782415179522
8,"2024-03-30","11","District of Columbia",17,2.54271765663141
9,"2024-03-30","10","Delaware",15,1.47801890287642
10,"2024-03-30","12","Florida",390,1.75803552962759
11,"2024-03-30","13","Georgia",63,0.580353433398548
12,"2024-03-30","15","Hawaii",7,0.500365624309764
13,"2024-03-30","19","Iowa",86,2.68731188816783
14,"2024-03-30","16","Idaho",45,2.32495539960558
15,"2024-03-30","17","Illinois",194,1.54420534556132
16,"2024-03-30","18","Indiana",156,2.2833920843286
17,"2024-03-30","20","Kansas",62,2.12587147872534
18,"2024-03-30","21","Kentucky",118,2.62550176564994
19,"2024-03-30","22","Louisiana",48,1.04916335779487
20,"2024-03-30","25","Massachusetts",200,2.86587887477571
21,"2024-03-30","24","Maryland",76,1.23917151601222
22,"2024-03-30","23","Maine",23,1.66119795484864
23,"2024-03-30","26","Michigan",479,4.77468519722988
24,"2024-03-30","27","Minnesota",124,2.16914123698428
25,"2024-03-30","29","Missouri",194,3.14703277796856
26,"2024-03-30","28","Mississippi",51,1.74221681717484
27,"2024-03-30","30","Montana",29,2.59029639243169
28,"2024-03-30","37","North Carolina",88,0.830458029689252
29,"2024-03-30","38","North Dakota",31,4.01522677612261
30,"2024-03-30","31","Nebraska",51,2.6000443536978
31,"2024-03-30","33","New Hampshire",17,1.21890711354191
32,"2024-03-30","34","New Jersey",195,2.10716569248975
33,"2024-03-30","35","New Mexico",36,1.71422122691575
34,"2024-03-30","32","Nevada",25,0.789754920094177
35,"2024-03-30","36","New York",381,1.93822209583364
36,"2024-03-30","39","Ohio",242,2.0596966475373
37,"2024-03-30","40","Oklahoma",92,2.29927228032328
38,"2024-03-30","41","Oregon",63,1.48631703614228
39,"2024-03-30","42","Pennsylvania",265,2.04329062007779
40,"2024-03-30","72","Puerto Rico",50,1.55193279261926
41,"2024-03-30","44","Rhode Island",14,1.28394427681839
42,"2024-03-30","45","South Carolina",63,1.20090605502552
43,"2024-03-30","46","South Dakota",33,3.64054374278786
44,"2024-03-30","47","Tennessee",82,1.16632888170253
45,"2024-03-30","48","Texas",301,1.00619767625834
46,"2024-03-30","US","US",5392,1.62311828077722
47,"2024-03-30","49","Utah",11,0.32580641530603
48,"2024-03-30","51","Virginia",109,1.26982410955623
49,"2024-03-30","50","Vermont",19,2.93703915536937
50,"2024-03-30","53","Washington",56,0.723903847988465
51,"2024-03-30","55","Wisconsin",127,2.15582287759238
52,"2024-03-30","54","West Virginia",71,4.00005183165754
53,"2024-03-30","56","Wyoming",11,1.90119654397036
54,"2024-03-23","02","Alaska",11,1.54619032759556
55,"2024-03-23","01","Alabama",59,1.16513796615886
56,"2024-03-23","05","Arkansas",107,3.51756382077125
57,"2024-03-23","04","Arizona",106,1.44394142610739
58,"2024-03-23","06","California",175,0.450027054340715
59,"2024-03-23","08","Colorado",97,1.67133376569761
60,"2024-03-23","09","Connecticut",83,2.29212814156183
61,"2024-03-23","11","District of Columbia",20,2.99143253721342
62,"2024-03-23","10","Delaware",16,1.57655349640152
63,"2024-03-23","12","Florida",424,1.91130016554384
64,"2024-03-23","13","Georgia",81,0.746168700083847
65,"2024-03-23","15","Hawaii",6,0.42888482083694
66,"2024-03-23","19","Iowa",91,2.8435509514334
67,"2024-03-23","16","Idaho",55,2.84161215507349
68,"2024-03-23","17","Illinois",216,1.71932141567652
69,"2024-03-23","18","Indiana",149,2.18093218310872
70,"2024-03-23","20","Kansas",66,2.26302447735278
71,"2024-03-23","21","Kentucky",129,2.87025193024442
72,"2024-03-23","22","Louisiana",33,0.721299808483972
73,"2024-03-23","25","Massachusetts",236,3.38173707223534
74,"2024-03-23","24","Maryland",75,1.22286662764363
75,"2024-03-23","23","Maine",26,1.87787594895933
76,"2024-03-23","26","Michigan",494,4.92420561050431
77,"2024-03-23","27","Minnesota",133,2.32657890741056
78,"2024-03-23","29","Missouri",190,3.08214550419602
79,"2024-03-23","28","Mississippi",48,1.63973347498809
80,"2024-03-23","30","Montana",21,1.87573187038157
81,"2024-03-23","37","North Carolina",83,0.783272914365999
82,"2024-03-23","38","North Dakota",20,2.59046888782104
83,"2024-03-23","31","Nebraska",61,3.10985697206992
84,"2024-03-23","33","New Hampshire",25,1.79251046109105
85,"2024-03-23","34","New Jersey",181,1.95588200174689
86,"2024-03-23","35","New Mexico",57,2.71418360928327
87,"2024-03-23","32","Nevada",41,1.29519806895445
88,"2024-03-23","36","New York",357,1.81612936538742
89,"2024-03-23","39","Ohio",266,2.26396408365671
90,"2024-03-23","40","Oklahoma",95,2.37424855033382
91,"2024-03-23","41","Oregon",97,2.28845638898096
92,"2024-03-23","42","Pennsylvania",346,2.66784360206383
93,"2024-03-23","72","Puerto Rico",50,1.55193279261926
94,"2024-03-23","44","Rhode Island",14,1.28394427681839
95,"2024-03-23","45","South Carolina",67,1.2771540585192
