"X","date","location","location_name","value","weekly_rate"
1,"2023-12-02","02","Alaska",15,2.10844135581213
2,"2023-12-02","01","Alabama",85,1.67858859531362
3,"2023-12-02","05","Arkansas",19,0.624614136398633
4,"2023-12-02","04","Arizona",277,3.77331863237497
5,"2023-12-02","06","California",602,1.54809306693206
6,"2023-12-02","08","Colorado",118,2.03316891084864
7,"2023-12-02","09","Connecticut",57,1.57411209721716
8,"2023-12-02","11","District of Columbia",11,1.64528789546738
9,"2023-12-02","10","Delaware",2,0.19706918705019
10,"2023-12-02","12","Florida",745,3.35829863992962
11,"2023-12-02","13","Georgia",212,1.95293536318242
12,"2023-12-02","15","Hawaii",20,1.42961606945647
13,"2023-12-02","19","Iowa",44,1.37490375673703
14,"2023-12-02","16","Idaho",17,0.878316484295443
15,"2023-12-02","17","Illinois",156,1.24173213354415
16,"2023-12-02","18","Indiana",149,2.18093218310872
17,"2023-12-02","20","Kansas",36,1.23437698764697
18,"2023-12-02","21","Kentucky",58,1.29050086786183
19,"2023-12-02","22","Louisiana",121,2.64476596444123
20,"2023-12-02","25","Massachusetts",99,1.41861004301398
21,"2023-12-02","24","Maryland",60,0.978293302114907
22,"2023-12-02","23","Maine",9,0.650033982332076
23,"2023-12-02","26","Michigan",94,0.936994589853046
24,"2023-12-02","27","Minnesota",34,0.594764532721496
25,"2023-12-02","29","Missouri",84,1.3626327492235
26,"2023-12-02","28","Mississippi",76,2.59624466873114
27,"2023-12-02","30","Montana",18,1.60777017461277
28,"2023-12-02","37","North Carolina",213,2.01008591277058
29,"2023-12-02","38","North Dakota",13,1.68380477708368
30,"2023-12-02","31","Nebraska",6,0.30588757102327
31,"2023-12-02","33","New Hampshire",6,0.430202510661852
32,"2023-12-02","34","New Jersey",124,1.33994126086528
33,"2023-12-02","35","New Mexico",43,2.04754202103826
34,"2023-12-02","32","Nevada",50,1.57950984018835
35,"2023-12-02","36","New York",347,1.76525739436817
36,"2023-12-02","39","Ohio",129,1.09793746914179
37,"2023-12-02","40","Oklahoma",65,1.6244858502284
38,"2023-12-02","41","Oregon",17,0.401069676419344
39,"2023-12-02","42","Pennsylvania",227,1.75029045568928
40,"2023-12-02","72","Puerto Rico",91,2.82451768256705
41,"2023-12-02","44","Rhode Island",6,0.550261832922165
42,"2023-12-02","45","South Carolina",133,2.53524611616498
43,"2023-12-02","46","South Dakota",6,0.661917044143248
44,"2023-12-02","47","Tennessee",105,1.49346990949715
45,"2023-12-02","48","Texas",707,2.36339454190912
46,"2023-12-02","US","US",5844,1.75918086662873
47,"2023-12-02","49","Utah",15,0.444281475417314
48,"2023-12-02","51","Virginia",143,1.66591603363799
49,"2023-12-02","50","Vermont",3,0.463743024532006
50,"2023-12-02","53","Washington",76,0.982440936555774
51,"2023-12-02","55","Wisconsin",59,1.00152401399961
52,"2023-12-02","54","West Virginia",17,0.957758889270114
53,"2023-12-02","56","Wyoming",25,4.32090123629626
54,"2023-11-25","02","Alaska",14,1.96787859875799
55,"2023-11-25","01","Alabama",71,1.4021151796149
56,"2023-11-25","05","Arkansas",27,0.887609562250689
57,"2023-11-25","04","Arizona",211,2.87426076328923
58,"2023-11-25","06","California",429,1.10320917892667
59,"2023-11-25","08","Colorado",137,2.36054356598529
60,"2023-11-25","09","Connecticut",33,0.911328056283621
61,"2023-11-25","11","District of Columbia",8,1.19657301488537
62,"2023-11-25","10","Delaware",1,0.0985345935250948
63,"2023-11-25","12","Florida",706,3.18249508696686
64,"2023-11-25","13","Georgia",155,1.42785368534563
65,"2023-11-25","15","Hawaii",26,1.85850089029341
66,"2023-11-25","19","Iowa",27,0.843690941634086
67,"2023-11-25","16","Idaho",8,0.413325404374326
68,"2023-11-25","17","Illinois",101,0.80394195825615
69,"2023-11-25","18","Indiana",100,1.46371287456961
70,"2023-11-25","20","Kansas",25,0.857206241421509
71,"2023-11-25","21","Kentucky",37,0.823250553635997
72,"2023-11-25","22","Louisiana",119,2.60105082453311
73,"2023-11-25","25","Massachusetts",67,0.960069423049863
74,"2023-11-25","24","Maryland",22,0.358707544108799
75,"2023-11-25","23","Maine",19,1.37229396270105
76,"2023-11-25","26","Michigan",88,0.877186424543277
77,"2023-11-25","27","Minnesota",24,0.419833787803409
78,"2023-11-25","29","Missouri",56,0.908421832815668
79,"2023-11-25","28","Mississippi",46,1.57141124686358
80,"2023-11-25","30","Montana",6,0.535923391537591
81,"2023-11-25","37","North Carolina",153,1.44386452889154
82,"2023-11-25","38","North Dakota",4,0.518093777564208
83,"2023-11-25","31","Nebraska",8,0.407850094697694
84,"2023-11-25","33","New Hampshire",1,0.071700418443642
85,"2023-11-25","34","New Jersey",75,0.810448343265288
86,"2023-11-25","35","New Mexico",21,0.99996238236752
87,"2023-11-25","32","Nevada",39,1.23201767534692
88,"2023-11-25","36","New York",178,0.905521084142749
89,"2023-11-25","39","Ohio",75,0.638335737873132
90,"2023-11-25","40","Oklahoma",38,0.949699420133528
91,"2023-11-25","41","Oregon",11,0.259515672977223
92,"2023-11-25","42","Pennsylvania",125,0.963816330225373
93,"2023-11-25","72","Puerto Rico",119,3.69360004643383
94,"2023-11-25","44","Rhode Island",3,0.275130916461083
95,"2023-11-25","45","South Carolina",81,1.54402207074709
96,"2023-11-25","46","South Dakota",2,0.220639014714416
97,"2023-11-25","47","Tennessee",79,1.12365831285976
98,"2023-11-25","48","Texas",555,1.85528142964577
99,"2023-11-25","US","US",4364,1.31366620499106
100,"2023-11-25","49","Utah",10,0.296187650278209
101,"2023-11-25","51","Virginia",115,1.33972268439419
102,"2023-11-25","50","Vermont",3,0.463743024532006
103,"2023-11-25","53","Washington",36,0.465366759421156
104,"2023-11-25","55","Wisconsin",34,0.577149431796384
105,"2023-11-25","54","West Virginia",13,0.732403856500676
106,"2023-11-25","56","Wyoming",23,3.97522913739256
107,"2023-11-18","02","Alaska",17,2.38956686992041
108,"2023-11-18","01","Alabama",77,1.52060378634292
109,"2023-11-18","05","Arkansas",17,0.558865279935619
110,"2023-11-18","04","Arizona",187,2.54733062907624
111,"2023-11-18","06","California",351,0.902625691849092
112,"2023-11-18","08","Colorado",102,1.75748499073357
113,"2023-11-18","09","Connecticut",22,0.607552037522414
114,"2023-11-18","11","District of Columbia",3,0.448714880582013
115,"2023-11-18","10","Delaware",2,0.19706918705019
116,"2023-11-18","12","Florida",653,2.94358256627388
117,"2023-11-18","13","Georgia",132,1.21597862235886
118,"2023-11-18","15","Hawaii",29,2.07294330071188
119,"2023-11-18","19","Iowa",14,0.4374693771436
120,"2023-11-18","16","Idaho",11,0.568322431014698
121,"2023-11-18","17","Illinois",72,0.573107138558839
122,"2023-11-18","18","Indiana",95,1.39052723084113
123,"2023-11-18","20","Kansas",18,0.617188493823486
124,"2023-11-18","21","Kentucky",18,0.400500269336431
125,"2023-11-18","22","Louisiana",96,2.09832671558974
126,"2023-11-18","25","Massachusetts",38,0.544516986207385
127,"2023-11-18","24","Maryland",27,0.440231985951708
128,"2023-11-18","23","Maine",2,0.144451996073795
129,"2023-11-18","26","Michigan",52,0.518337432684664
130,"2023-11-18","27","Minnesota",15,0.26239611737713
131,"2023-11-18","29","Missouri",40,0.648872737725477
132,"2023-11-18","28","Mississippi",46,1.57141124686358
133,"2023-11-18","30","Montana",3,0.267961695768796
134,"2023-11-18","37","North Carolina",88,0.830458029689252
135,"2023-11-18","38","North Dakota",7,0.906664110737364
136,"2023-11-18","31","Nebraska",4,0.203925047348847
137,"2023-11-18","33","New Hampshire",2,0.143400836887284
138,"2023-11-18","34","New Jersey",33,0.356597271036727
