"X","date","location","location_name","value","weekly_rate"
1,"2024-01-06","02","Alaska",4,0.562251028216568
2,"2024-01-06","01","Alabama",350,6.91183539246784
3,"2024-01-06","05","Arkansas",236,7.75836506263565
4,"2024-01-06","04","Arizona",937,12.7638973232323
5,"2024-01-06","06","California",1404,3.61050276739637
6,"2024-01-06","08","Colorado",314,5.41029693225826
7,"2024-01-06","09","Connecticut",167,4.61187228482923
8,"2024-01-06","11","District of Columbia",54,8.07686785047624
9,"2024-01-06","10","Delaware",48,4.72966048920455
10,"2024-01-06","12","Florida",1396,6.2928656393849
11,"2024-01-06","13","Georgia",757,6.97345316004287
12,"2024-01-06","15","Hawaii",40,2.85923213891293
13,"2024-01-06","19","Iowa",94,2.93729438939274
14,"2024-01-06","16","Idaho",162,8.3698394385801
15,"2024-01-06","17","Illinois",499,3.97195086306751
16,"2024-01-06","18","Indiana",472,6.90872476796858
17,"2024-01-06","20","Kansas",95,3.25738371740173
18,"2024-01-06","21","Kentucky",296,6.58600442908798
19,"2024-01-06","22","Louisiana",313,6.8414193956207
20,"2024-01-06","25","Massachusetts",639,9.15648300490839
21,"2024-01-06","24","Maryland",322,5.25017405468333
22,"2024-01-06","23","Maine",59,4.26133388417694
23,"2024-01-06","26","Michigan",504,5.02388588602059
24,"2024-01-06","27","Minnesota",168,2.93883651462386
25,"2024-01-06","29","Missouri",331,5.36942190467832
26,"2024-01-06","28","Mississippi",278,9.496789709306
27,"2024-01-06","30","Montana",124,11.0757500917769
28,"2024-01-06","37","North Carolina",779,7.35144096736281
29,"2024-01-06","38","North Dakota",47,6.08760188637944
30,"2024-01-06","31","Nebraska",57,2.90593192472107
31,"2024-01-06","33","New Hampshire",47,3.36991966685118
32,"2024-01-06","34","New Jersey",688,7.43451280222024
33,"2024-01-06","35","New Mexico",231,10.9995862060427
34,"2024-01-06","32","Nevada",147,4.64375893015376
35,"2024-01-06","36","New York",1272,6.47091471364931
36,"2024-01-06","39","Ohio",574,4.88539618052237
37,"2024-01-06","40","Oklahoma",185,4.62353665065007
38,"2024-01-06","41","Oregon",140,3.30292674698284
39,"2024-01-06","42","Pennsylvania",762,5.87542434905387
40,"2024-01-06","72","Puerto Rico",53,1.64504876017641
41,"2024-01-06","44","Rhode Island",48,4.40209466337732
42,"2024-01-06","45","South Carolina",480,9.14976041924202
43,"2024-01-06","46","South Dakota",53,5.84693388993202
44,"2024-01-06","47","Tennessee",481,6.84151453779169
45,"2024-01-06","48","Texas",1974,6.59878476057794
46,"2024-01-06","US","US",19424,5.84707891057433
47,"2024-01-06","49","Utah",62,1.8363634317249
48,"2024-01-06","51","Virginia",552,6.4306688850921
49,"2024-01-06","50","Vermont",15,2.31871512266003
50,"2024-01-06","53","Washington",209,2.70171257552838
51,"2024-01-06","55","Wisconsin",248,4.20979585545598
