"","model_id"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CFA_Pyrenew-Pyrenew_HE_Flu"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","DMAPRIME-DLM"
"7","Cornell_JHU-hierarchSIR"
"8","DMAPRIME-QR"
"9","Epistorm-Ensemble_Flu"
"10","Gatech-ensemble_prob"
"11","Gatech-ensemble_stat"
"12","Google_SAI-FluEns"
"13","LUcompUncertLab-puca"
"14","LosAlamos-DoSiDo"
"15","LosAlamos-ThinMint"
"16","LosAlamos_NAU-CModel_Flu"
"17","MIGHTE-Joint"
"18","MIGHTE-Nsemble"
"19","MOBS-EpyStrain_Flu"
"20","MOBS-GLEAM_RL_FLUH"
"21","NAU-FourCAT"
"22","NAU-epymorph"
"23","NAU-vulPES"
"24","NEU_ISI-AdaptiveEnsemble"
"25","NEU_ISI-FluBcast"
"26","NU-PGF_FLUH"
"27","OHT_JHU-nbxd"
"28","PSI-PROF"
"29","PSI-PROF_MOA"
"30","SigSci-TSENS"
"31","UGA_CEID-Walk"
"32","UGA_CEID-auto_AVG_LB"
"33","UGA_flucast-INFLAenza"
"34","UGuelphensemble-GRYPHON"
"35","UI_CompEpi-EpiGen"
"36","UM-DeepOutbreak"
"37","UMass-flusion"
"38","UNC_IDD-InfluPaint"
"39","UVAFluX-Ensemble"
"40","VTSanghani-PRIME"
