"","model_id"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CFA_Pyrenew-Pyrenew_HE_Flu"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","Cornell_JHU-hierarchSIR"
"7","DMAPRIME-DLM"
"8","DMAPRIME-QR"
"9","Epistorm-Ensemble_Flu"
"10","Gatech-ensemble_prob"
"11","Gatech-ensemble_stat"
"12","Google_SAI-FluEns"
"13","LUcompUncertLab-puca"
"14","LosAlamos_NAU-CModel_Flu"
"15","MIGHTE-Joint"
"16","MIGHTE-Nsemble"
"17","MOBS-EpyStrain_Flu"
"18","MOBS-GLEAM_RL_FLUH"
"19","NAU-FourCAT"
"20","NAU-epymorph"
"21","NAU-vulPES"
"22","NEU_ISI-AdaptiveEnsemble"
"23","NEU_ISI-FluBcast"
"24","NU-PGF_FLUH"
"25","OHT_JHU-nbxd"
"26","PSI-PROF"
"27","PSI-PROF_MOA"
"28","SigSci-TSENS"
"29","UGA_CEID-Walk"
"30","UGA_CEID-auto_AVG_LB"
"31","UGA_flucast-INFLAenza"
"32","UMass-flusion"
"33","UNC_IDD-InfluPaint"
"34","UVAFluX-Ensemble"
"35","VTSanghani-PRIME"
