"","model_id"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CFA_Pyrenew-Pyrenew_HE_Flu"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","Cornell_JHU-hierarchSIR"
"7","Gatech-ensemble_prob"
"8","Gatech-ensemble_stat"
"9","Google_SAI-FluEns"
"10","LUcompUncertLab-puca"
"11","LosAlamos-DoSiDo"
"12","LosAlamos-ThinMint"
"13","LosAlamos_NAU-CModel_Flu"
"14","MDPredict-SIRS"
"15","MIGHTE-Joint"
"16","MIGHTE-Nsemble"
"17","MOBS-GLEAM_RL_FLUH"
"18","NAU-FourCAT"
"19","NAU-epymorph"
"20","NAU-vulPES"
"21","NEU_ISI-AdaptiveEnsemble"
"22","NEU_ISI-FluBcast"
"23","NIH-Flu_ARIMA"
"24","NU-PGF_FLUH"
"25","OHT_JHU-nbxd"
"26","PSI-PROF"
"27","PSI-PROF_MOA"
"28","SigSci-TSENS"
"29","UGA_CEID-Walk"
"30","UGA_CEID-auto_AVG_LB"
"31","UGA_flucast-INFLAenza"
"32","UI_CompEpi-EpiGen"
"33","UM-DeepOutbreak"
"34","UNC_IDD-InfluPaint"
"35","UVAFluX-Ensemble"
"36","VTSanghani-PRIME"
