"","model_id"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CFA_Pyrenew-Pyrenew_HE_Flu"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","Cornell_JHU-hierarchSIR"
"7","DMAPRIME-QR"
"8","Epistorm-Ensemble_Flu"
"9","Gatech-ensemble_prob"
"10","Gatech-ensemble_stat"
"11","Google_SAI-FluEns"
"12","LosAlamos-DoSiDo"
"13","LosAlamos-ThinMint"
"14","LosAlamos_NAU-CModel_Flu"
"15","MIGHTE-Joint"
"16","MIGHTE-Nsemble"
"17","MOBS-EpyStrain_Flu"
"18","MOBS-GLEAM_RL_FLUH"
"19","NAU-FourCAT"
"20","NAU-epymorph"
"21","NAU-vulPES"
"22","NEU_ISI-AdaptiveEnsemble"
"23","NEU_ISI-FluBcast"
"24","NIH-Flu_ARIMA"
"25","NU-PGF_FLUH"
"26","OHT_JHU-nbxd"
"27","PSI-PROF"
"28","PSI-PROF_MOA"
"29","SigSci-TSENS"
"30","UGA_flucast-INFLAenza"
"31","UI_CompEpi-EpiGen"
"32","UM-DeepOutbreak"
"33","UMass-flusion"
"34","UNC_IDD-InfluPaint"
"35","UVAFluX-Ensemble"
"36","VTSanghani-PRIME"
