"","model_id"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CFA_Pyrenew-Pyrenew_HE_Flu"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","DMAPRIME-QR"
"7","Cornell_JHU-hierarchSIR"
"8","Gatech-ensemble_prob"
"9","Gatech-ensemble_stat"
"10","Google_SAI-FluEns"
"11","LUcompUncertLab-puca"
"12","LosAlamos-DoSiDo"
"13","LosAlamos-ThinMint"
"14","LosAlamos_NAU-CModel_Flu"
"15","MDPredict-SIRS"
"16","MIGHTE-Joint"
"17","MIGHTE-Nsemble"
"18","MOBS-EpyStrain_Flu"
"19","MOBS-GLEAM_RL_FLUH"
"20","NAU-FourCAT"
"21","NAU-epymorph"
"22","NAU-vulPES"
"23","NEU_ISI-AdaptiveEnsemble"
"24","NEU_ISI-FluBcast"
"25","NIH-Flu_ARIMA"
"26","NU-PGF_FLUH"
"27","OHT_JHU-nbxd"
"28","PSI-PROF"
"29","PSI-PROF_MOA"
"30","SigSci-TSENS"
"31","UGA_CEID-Walk"
"32","UGA_CEID-auto_AVG_LB"
"33","UGA_flucast-INFLAenza"
"34","UM-DeepOutbreak"
"35","UMass-flusion"
"36","UNC_IDD-InfluPaint"
"37","UVAFluX-Ensemble"
"38","VTSanghani-PRIME"
