,reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
0,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.01,0.0
1,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.025,0.0065607531267815
2,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.05,0.1254591123780941
3,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.1,2.4515768399096176
4,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.15,8.634707805064997
5,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.2,13.38966665392177
6,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.25,18.182389694828636
7,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.3,21.90421842981636
8,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.35,25.186016723501847
9,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.4,28.051117599843547
10,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.45,30.65643612037504
11,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.5,33.44641117426904
12,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.55,36.47444069136611
13,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.6,39.65823264883836
14,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.65,43.62929546877711
15,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.7,46.791571454703394
16,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.75,51.537077045297465
17,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.8,56.55461216230192
18,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.85,62.03428567525928
19,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.9,70.4194604999475
20,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.95,81.09244135265294
21,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.975,90.81103562774864
22,2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.99,107.06904431298314
23,2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.01,0.0
24,2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.025,0.008224091365498
25,2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.05,0.0921905703937808
26,2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.1,7.073201716098367
27,2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.15,12.967573032124092
