location,target,reference_date,target_end_date,horizon,output_type,output_type_id,value
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.01,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.025,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.05,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.1,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.15,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.2,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.25,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.3,0
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.35,6
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.4,22
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.45,35
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.5,47
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.55,58
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.6,70
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.65,82
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.7,97
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.75,114
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.8,131
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.85,150
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.9,171
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.95,209
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.975,233
01,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.99,275
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.01,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.025,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.05,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.1,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.15,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.2,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.25,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.3,0
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.35,7
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.4,20
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.45,34
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.5,49
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.55,61
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.6,74
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.65,87
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.7,104
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.75,121
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.8,136
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.85,158
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.9,180
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.95,222
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.975,254
01,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.99,309
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.01,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.025,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.05,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.1,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.15,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.2,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.25,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.3,0
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.35,1
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.4,14
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.45,25
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.5,39
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.55,52
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.6,69
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.65,85
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.7,99
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.75,116
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.8,138
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.85,159
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.9,184
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.95,229
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.975,265
01,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.99,312
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.01,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.025,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.05,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.1,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.15,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.2,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.25,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.3,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.35,0
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.4,10
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.45,24
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.5,38
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.55,51
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.6,61
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.65,73
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.7,88
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.75,110
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.8,132
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.85,160
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.9,195
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.95,233
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.975,271
01,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.99,323
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.01,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.025,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.05,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.1,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.15,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.2,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.25,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.3,0
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.35,2
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.4,4
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.45,5
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.5,7
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.55,8
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.6,9
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.65,12
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.7,13
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.75,15
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.8,17
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.85,20
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.9,23
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.95,27
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.975,30
02,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.99,33
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.01,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.025,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.05,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.1,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.15,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.2,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.25,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.3,0
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.35,1
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.4,4
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.45,5
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.5,7
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.55,8
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.6,10
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.65,12
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.7,14
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.75,16
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.8,19
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.85,21
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.9,25
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.95,29
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.975,35
02,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.99,41
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.01,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.025,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.05,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.1,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.15,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.2,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.25,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.3,0
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.35,1
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.4,3
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.45,4
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.5,6
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.55,8
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.6,10
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.65,12
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.7,14
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.75,16
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.8,18
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.85,22
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.9,26
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.95,31
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.975,36
02,wk inc flu hosp,2026-02-21,2026-03-07,2,quantile,0.99,43
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.01,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.025,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.05,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.1,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.15,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.2,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.25,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.3,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.35,0
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.4,2
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.45,4
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.5,6
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.55,7
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.6,9
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.65,11
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.7,14
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.75,16
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.8,20
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.85,24
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.9,28
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.95,33
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.975,37
02,wk inc flu hosp,2026-02-21,2026-03-14,3,quantile,0.99,43
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.01,122
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.025,156
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.05,184
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.1,218
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.15,245
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.2,263
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.25,280
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.3,292
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.35,304
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.4,314
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.45,327
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.5,339
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.55,351
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.6,365
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.65,376
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.7,388
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.75,402
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.8,416
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.85,437
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.9,461
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.95,492
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.975,527
04,wk inc flu hosp,2026-02-21,2026-02-21,0,quantile,0.99,555
04,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.01,54
04,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.025,108
04,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.05,143
04,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.1,182
04,wk inc flu hosp,2026-02-21,2026-02-28,1,quantile,0.15,204
