location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
02,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
04,0,0.01,9.64349625657993,2025-05-10,2025-05-10,quantile,wk inc flu hosp
05,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
06,0,0.01,94.34654858559522,2025-05-10,2025-05-10,quantile,wk inc flu hosp
08,0,0.01,1.2354446798371437,2025-05-10,2025-05-10,quantile,wk inc flu hosp
09,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
10,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
11,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
12,0,0.01,79.85744322344155,2025-05-10,2025-05-10,quantile,wk inc flu hosp
13,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
15,0,0.01,9.782081308487957,2025-05-10,2025-05-10,quantile,wk inc flu hosp
16,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
17,0,0.01,5.790138692875061,2025-05-10,2025-05-10,quantile,wk inc flu hosp
18,0,0.01,0.5843919377705964,2025-05-10,2025-05-10,quantile,wk inc flu hosp
19,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
20,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
21,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
22,0,0.01,8.673589063683673,2025-05-10,2025-05-10,quantile,wk inc flu hosp
23,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
24,0,0.01,10.163598928912096,2025-05-10,2025-05-10,quantile,wk inc flu hosp
25,0,0.01,5.42969147661205,2025-05-10,2025-05-10,quantile,wk inc flu hosp
26,0,0.01,47.20772599216758,2025-05-10,2025-05-10,quantile,wk inc flu hosp
27,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
28,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
29,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
30,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
31,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
32,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
33,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
34,0,0.01,19.859607584162838,2025-05-10,2025-05-10,quantile,wk inc flu hosp
35,0,0.01,6.648453487473899,2025-05-10,2025-05-10,quantile,wk inc flu hosp
36,0,0.01,40.76058552669435,2025-05-10,2025-05-10,quantile,wk inc flu hosp
37,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
38,0,0.01,1.2421786650139692,2025-05-10,2025-05-10,quantile,wk inc flu hosp
39,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
40,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
41,0,0.01,4.765957456114451,2025-05-10,2025-05-10,quantile,wk inc flu hosp
42,0,0.01,83.72184042941441,2025-05-10,2025-05-10,quantile,wk inc flu hosp
44,0,0.01,0.15489757249746972,2025-05-10,2025-05-10,quantile,wk inc flu hosp
45,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
46,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
47,0,0.01,3.418648546288994,2025-05-10,2025-05-10,quantile,wk inc flu hosp
48,0,0.01,48.57500583784387,2025-05-10,2025-05-10,quantile,wk inc flu hosp
49,0,0.01,1.3985021808664178,2025-05-10,2025-05-10,quantile,wk inc flu hosp
50,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
51,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
53,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
54,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
55,0,0.01,1.2123383069547,2025-05-10,2025-05-10,quantile,wk inc flu hosp
56,0,0.01,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
72,0,0.01,36.757342012647854,2025-05-10,2025-05-10,quantile,wk inc flu hosp
US,0,0.01,721.1626624322972,2025-05-10,2025-05-10,quantile,wk inc flu hosp
01,0,0.025,2.606172359878835,2025-05-10,2025-05-10,quantile,wk inc flu hosp
02,0,0.025,0.2986929206234617,2025-05-10,2025-05-10,quantile,wk inc flu hosp
04,0,0.025,14.9976864469895,2025-05-10,2025-05-10,quantile,wk inc flu hosp
05,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
06,0,0.025,114.55011160985991,2025-05-10,2025-05-10,quantile,wk inc flu hosp
08,0,0.025,4.281138213509613,2025-05-10,2025-05-10,quantile,wk inc flu hosp
09,0,0.025,1.7413128387004526,2025-05-10,2025-05-10,quantile,wk inc flu hosp
10,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
11,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
12,0,0.025,91.46736475755695,2025-05-10,2025-05-10,quantile,wk inc flu hosp
13,0,0.025,0.5751029089592966,2025-05-10,2025-05-10,quantile,wk inc flu hosp
15,0,0.025,11.763053861681582,2025-05-10,2025-05-10,quantile,wk inc flu hosp
16,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
17,0,0.025,10.402948957437411,2025-05-10,2025-05-10,quantile,wk inc flu hosp
18,0,0.025,2.7781458830378587,2025-05-10,2025-05-10,quantile,wk inc flu hosp
19,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
20,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
21,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
22,0,0.025,13.614128526781132,2025-05-10,2025-05-10,quantile,wk inc flu hosp
23,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
24,0,0.025,13.587471127704612,2025-05-10,2025-05-10,quantile,wk inc flu hosp
25,0,0.025,8.31876761448177,2025-05-10,2025-05-10,quantile,wk inc flu hosp
26,0,0.025,54.24592539093433,2025-05-10,2025-05-10,quantile,wk inc flu hosp
27,0,0.025,2.049231839936141,2025-05-10,2025-05-10,quantile,wk inc flu hosp
28,0,0.025,0.4973653860602851,2025-05-10,2025-05-10,quantile,wk inc flu hosp
29,0,0.025,0.8374472340511677,2025-05-10,2025-05-10,quantile,wk inc flu hosp
30,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
31,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
32,0,0.025,1.3086007555744226,2025-05-10,2025-05-10,quantile,wk inc flu hosp
33,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
34,0,0.025,25.33163481974537,2025-05-10,2025-05-10,quantile,wk inc flu hosp
35,0,0.025,9.84328344013106,2025-05-10,2025-05-10,quantile,wk inc flu hosp
36,0,0.025,49.34080545002295,2025-05-10,2025-05-10,quantile,wk inc flu hosp
37,0,0.025,1.2948845123985642,2025-05-10,2025-05-10,quantile,wk inc flu hosp
38,0,0.025,1.8294285676082003,2025-05-10,2025-05-10,quantile,wk inc flu hosp
39,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
40,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
41,0,0.025,8.093828170406773,2025-05-10,2025-05-10,quantile,wk inc flu hosp
42,0,0.025,95.54894541066602,2025-05-10,2025-05-10,quantile,wk inc flu hosp
44,0,0.025,1.0260087843993462,2025-05-10,2025-05-10,quantile,wk inc flu hosp
45,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
46,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
47,0,0.025,8.020080029578747,2025-05-10,2025-05-10,quantile,wk inc flu hosp
48,0,0.025,59.497693924095266,2025-05-10,2025-05-10,quantile,wk inc flu hosp
49,0,0.025,3.2437982530472644,2025-05-10,2025-05-10,quantile,wk inc flu hosp
50,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
51,0,0.025,0.7582332070036585,2025-05-10,2025-05-10,quantile,wk inc flu hosp
53,0,0.025,0.07681155378182163,2025-05-10,2025-05-10,quantile,wk inc flu hosp
54,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
55,0,0.025,3.4062443928968733,2025-05-10,2025-05-10,quantile,wk inc flu hosp
56,0,0.025,0.0,2025-05-10,2025-05-10,quantile,wk inc flu hosp
72,0,0.025,45.36171400246202,2025-05-10,2025-05-10,quantile,wk inc flu hosp
US,0,0.025,853.0106684056242,2025-05-10,2025-05-10,quantile,wk inc flu hosp
