location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,224.0590448988592,2025-01-18,2025-01-18,quantile,wk inc flu hosp
02,0,0.01,12.287175218539733,2025-01-18,2025-01-18,quantile,wk inc flu hosp
04,0,0.01,574.8145216863863,2025-01-18,2025-01-18,quantile,wk inc flu hosp
05,0,0.01,40.69123435807301,2025-01-18,2025-01-18,quantile,wk inc flu hosp
06,0,0.01,1711.7672990876474,2025-01-18,2025-01-18,quantile,wk inc flu hosp
08,0,0.01,217.80098062952143,2025-01-18,2025-01-18,quantile,wk inc flu hosp
09,0,0.01,140.3253420486326,2025-01-18,2025-01-18,quantile,wk inc flu hosp
10,0,0.01,26.95618347550541,2025-01-18,2025-01-18,quantile,wk inc flu hosp
11,0,0.01,12.535787310512584,2025-01-18,2025-01-18,quantile,wk inc flu hosp
12,0,0.01,1499.0499478238976,2025-01-18,2025-01-18,quantile,wk inc flu hosp
13,0,0.01,399.7893114150274,2025-01-18,2025-01-18,quantile,wk inc flu hosp
15,0,0.01,24.8069031333161,2025-01-18,2025-01-18,quantile,wk inc flu hosp
16,0,0.01,48.45958918805078,2025-01-18,2025-01-18,quantile,wk inc flu hosp
17,0,0.01,707.1133290263681,2025-01-18,2025-01-18,quantile,wk inc flu hosp
18,0,0.01,198.08789804259104,2025-01-18,2025-01-18,quantile,wk inc flu hosp
19,0,0.01,173.9659973123182,2025-01-18,2025-01-18,quantile,wk inc flu hosp
20,0,0.01,98.15755181906853,2025-01-18,2025-01-18,quantile,wk inc flu hosp
21,0,0.01,145.80296928186064,2025-01-18,2025-01-18,quantile,wk inc flu hosp
22,0,0.01,254.05358260852452,2025-01-18,2025-01-18,quantile,wk inc flu hosp
23,0,0.01,37.784152731001775,2025-01-18,2025-01-18,quantile,wk inc flu hosp
24,0,0.01,197.13564511005345,2025-01-18,2025-01-18,quantile,wk inc flu hosp
25,0,0.01,304.45378257515847,2025-01-18,2025-01-18,quantile,wk inc flu hosp
26,0,0.01,213.95951482280586,2025-01-18,2025-01-18,quantile,wk inc flu hosp
27,0,0.01,801.9565865764106,2025-01-18,2025-01-18,quantile,wk inc flu hosp
28,0,0.01,106.8576677248997,2025-01-18,2025-01-18,quantile,wk inc flu hosp
29,0,0.01,159.53357558226259,2025-01-18,2025-01-18,quantile,wk inc flu hosp
30,0,0.01,21.520777969014244,2025-01-18,2025-01-18,quantile,wk inc flu hosp
31,0,0.01,83.1438064639556,2025-01-18,2025-01-18,quantile,wk inc flu hosp
32,0,0.01,96.3549757044195,2025-01-18,2025-01-18,quantile,wk inc flu hosp
33,0,0.01,17.62988699649597,2025-01-18,2025-01-18,quantile,wk inc flu hosp
34,0,0.01,564.4165599808811,2025-01-18,2025-01-18,quantile,wk inc flu hosp
35,0,0.01,91.68932371983924,2025-01-18,2025-01-18,quantile,wk inc flu hosp
36,0,0.01,1209.031738110439,2025-01-18,2025-01-18,quantile,wk inc flu hosp
37,0,0.01,370.36573910928405,2025-01-18,2025-01-18,quantile,wk inc flu hosp
38,0,0.01,12.149867928075073,2025-01-18,2025-01-18,quantile,wk inc flu hosp
39,0,0.01,416.6904505819957,2025-01-18,2025-01-18,quantile,wk inc flu hosp
40,0,0.01,32.09971414919961,2025-01-18,2025-01-18,quantile,wk inc flu hosp
41,0,0.01,109.68555853418468,2025-01-18,2025-01-18,quantile,wk inc flu hosp
42,0,0.01,955.2625753349496,2025-01-18,2025-01-18,quantile,wk inc flu hosp
44,0,0.01,28.999972512350983,2025-01-18,2025-01-18,quantile,wk inc flu hosp
45,0,0.01,207.95383373988918,2025-01-18,2025-01-18,quantile,wk inc flu hosp
46,0,0.01,17.208622098278617,2025-01-18,2025-01-18,quantile,wk inc flu hosp
47,0,0.01,286.99297565231115,2025-01-18,2025-01-18,quantile,wk inc flu hosp
48,0,0.01,1154.1948180901354,2025-01-18,2025-01-18,quantile,wk inc flu hosp
49,0,0.01,131.812571113632,2025-01-18,2025-01-18,quantile,wk inc flu hosp
50,0,0.01,10.134439239646127,2025-01-18,2025-01-18,quantile,wk inc flu hosp
51,0,0.01,195.10753723582593,2025-01-18,2025-01-18,quantile,wk inc flu hosp
53,0,0.01,309.38395165580926,2025-01-18,2025-01-18,quantile,wk inc flu hosp
54,0,0.01,59.327775252764255,2025-01-18,2025-01-18,quantile,wk inc flu hosp
55,0,0.01,230.98116696496785,2025-01-18,2025-01-18,quantile,wk inc flu hosp
56,0,0.01,21.557330054253452,2025-01-18,2025-01-18,quantile,wk inc flu hosp
72,0,0.01,548.1647689595568,2025-01-18,2025-01-18,quantile,wk inc flu hosp
US,0,0.01,16962.74685091834,2025-01-18,2025-01-18,quantile,wk inc flu hosp
01,0,0.025,241.87831060168557,2025-01-18,2025-01-18,quantile,wk inc flu hosp
02,0,0.025,14.753958070041177,2025-01-18,2025-01-18,quantile,wk inc flu hosp
04,0,0.025,621.9811343645542,2025-01-18,2025-01-18,quantile,wk inc flu hosp
05,0,0.025,47.18505389009463,2025-01-18,2025-01-18,quantile,wk inc flu hosp
06,0,0.025,1814.5718970512632,2025-01-18,2025-01-18,quantile,wk inc flu hosp
08,0,0.025,239.73729915041957,2025-01-18,2025-01-18,quantile,wk inc flu hosp
09,0,0.025,152.54160094687697,2025-01-18,2025-01-18,quantile,wk inc flu hosp
