"date","location","location_name","value","weekly_rate"
2023-08-26,"US","US",0,0
2023-08-26,"US","US",20,0.00597166632436578
2023-08-26,"US","US",1,0.000298583316218289
2023-08-26,"US","US",23,0.00686741627302064
2023-08-26,"US","US",110,0.0328441647840118
2023-08-26,"US","US",793,0.236776569761103
2023-08-26,"US","US",0,0
2023-08-26,"US","US",28,0.00836033285411209
2023-08-26,"US","US",0,0
2023-08-26,"US","US",20,0.00597166632436578
2023-08-26,"US","US",1,0.000298583316218289
2023-08-26,"US","US",2,0.000597166632436578
2023-08-26,"US","US",0,0
2023-09-02,"US","US",2,0.000597166632436578
2023-09-02,"US","US",12,0.00358299979461947
2023-09-02,"US","US",6,0.00179149989730973
2023-09-02,"US","US",13,0.00388158311083775
2023-09-02,"US","US",38,0.011346166016295
2023-09-02,"US","US",3,0.000895749948654867
2023-09-02,"US","US",6,0.00179149989730973
2023-09-02,"US","US",0,0
2023-09-02,"US","US",0,0
2023-09-02,"US","US",172,0.0513563303895457
2023-09-02,"US","US",34,0.0101518327514218
2023-09-02,"US","US",7,0.00209008321352802
2023-09-02,"US","US",4,0.00119433326487316
2023-09-02,"US","US",0,0
2023-09-02,"US","US",9,0.0026872498459646
2023-09-02,"US","US",6,0.00179149989730973
2023-09-02,"US","US",3,0.000895749948654867
2023-09-02,"US","US",10,0.00298583316218289
2023-09-02,"US","US",14,0.00418016642705604
2023-09-02,"US","US",17,0.00507591637571091
2023-09-02,"US","US",5,0.00149291658109144
2023-09-02,"US","US",0,0
2023-09-02,"US","US",12,0.00358299979461947
2023-09-02,"US","US",0,0
2023-09-02,"US","US",6,0.00179149989730973
2023-09-02,"US","US",43,0.0128390825973864
2023-09-02,"US","US",0,0
2023-09-02,"US","US",18,0.0053744996919292
2023-09-02,"US","US",0,0
2023-09-02,"US","US",2,0.000597166632436578
2023-09-02,"US","US",4,0.00119433326487316
2023-09-02,"US","US",10,0.00298583316218289
2023-09-02,"US","US",2,0.000597166632436578
2023-09-02,"US","US",3,0.000895749948654867
2023-09-02,"US","US",38,0.011346166016295
2023-09-02,"US","US",13,0.00388158311083775
2023-09-02,"US","US",16,0.00477733305949262
2023-09-02,"US","US",2,0.000597166632436578
2023-09-02,"US","US",42,0.0125404992811681
2023-09-02,"US","US",59,0.017616415656879
2023-09-02,"US","US",0,0
2023-09-02,"US","US",9,0.0026872498459646
2023-09-02,"US","US",1,0.000298583316218289
2023-09-02,"US","US",27,0.0080617495378938
2023-09-02,"US","US",126,0.0376214978435044
2023-09-02,"US","US",875,0.261260401691003
2023-09-02,"US","US",1,0.000298583316218289
2023-09-02,"US","US",30,0.00895749948654866
2023-09-02,"US","US",0,0
2023-09-02,"US","US",42,0.0125404992811681
2023-09-02,"US","US",2,0.000597166632436578
2023-09-02,"US","US",1,0.000298583316218289
2023-09-02,"US","US",0,0
2023-09-09,"US","US",2,0.000597166632436578
2023-09-09,"US","US",5,0.00149291658109144
2023-09-09,"US","US",8,0.00238866652974631
2023-09-09,"US","US",8,0.00238866652974631
2023-09-09,"US","US",42,0.0125404992811681
2023-09-09,"US","US",7,0.00209008321352802
2023-09-09,"US","US",1,0.000298583316218289
2023-09-09,"US","US",1,0.000298583316218289
2023-09-09,"US","US",0,0
2023-09-09,"US","US",150,0.0447874974327433
2023-09-09,"US","US",21,0.00627024964058407
2023-09-09,"US","US",5,0.00149291658109144
2023-09-09,"US","US",1,0.000298583316218289
2023-09-09,"US","US",2,0.000597166632436578
2023-09-09,"US","US",15,0.00447874974327433
2023-09-09,"US","US",5,0.00149291658109144
2023-09-09,"US","US",6,0.00179149989730973
2023-09-09,"US","US",19,0.00567308300814749
2023-09-09,"US","US",11,0.00328441647840118
2023-09-09,"US","US",8,0.00238866652974631
2023-09-09,"US","US",5,0.00149291658109144
2023-09-09,"US","US",0,0
2023-09-09,"US","US",2,0.000597166632436578
2023-09-09,"US","US",0,0
2023-09-09,"US","US",12,0.00358299979461947
2023-09-09,"US","US",19,0.00567308300814749
2023-09-09,"US","US",1,0.000298583316218289
2023-09-09,"US","US",7,0.00209008321352802
2023-09-09,"US","US",0,0
2023-09-09,"US","US",1,0.000298583316218289
2023-09-09,"US","US",1,0.000298583316218289
2023-09-09,"US","US",13,0.00388158311083775
2023-09-09,"US","US",4,0.00119433326487316
2023-09-09,"US","US",4,0.00119433326487316
2023-09-09,"US","US",21,0.00627024964058407
2023-09-09,"US","US",15,0.00447874974327433
2023-09-09,"US","US",16,0.00477733305949262
2023-09-09,"US","US",3,0.000895749948654867
2023-09-09,"US","US",43,0.0128390825973864
