"as_of","target","target_end_date","location","horizon","output_type","output_type_id","oracle_value"
2025-05-24,"wk flu hosp rate change",2024-11-09,"01",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"01",0,"pmf","increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"01",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"01",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"01",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"02",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"02",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"02",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"02",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"02",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"04",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"04",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"04",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"04",0,"pmf","large_increase",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"04",0,"pmf","stable",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"05",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"05",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"05",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"05",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"05",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"06",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"06",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"06",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"06",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"06",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"08",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"08",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"08",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"08",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"08",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"09",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"09",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"09",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"09",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"09",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"10",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"10",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"10",0,"pmf","large_decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"10",0,"pmf","large_increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"10",0,"pmf","stable",1
2025-05-24,"wk flu hosp rate change",2024-11-09,"11",0,"pmf","decrease",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"11",0,"pmf","increase",0
2025-05-24,"wk flu hosp rate change",2024-11-09,"11",0,"pmf","large_decrease",0
