"as_of","target","target_end_date","location","location_name","observation","weekly_rate"
2024-11-16,"wk inc flu hosp",2024-11-02,"01","Alabama",13,0.254479425142724
2024-11-16,"wk inc flu hosp",2024-11-02,"02","Alaska",7,0.954450877140356
2024-11-16,"wk inc flu hosp",2024-11-02,"04","Arizona",117,1.57441238085601
2024-11-16,"wk inc flu hosp",2024-11-02,"05","Arkansas",5,0.162986858043662
2024-11-16,"wk inc flu hosp",2024-11-02,"06","California",89,0.228408980291718
2024-11-16,"wk inc flu hosp",2024-11-02,"08","Colorado",25,0.425342954023829
2024-11-16,"wk inc flu hosp",2024-11-02,"09","Connecticut",10,0.27645876230518
2024-11-16,"wk inc flu hosp",2024-11-02,"10","Delaware",0,0
2024-11-16,"wk inc flu hosp",2024-11-02,"11","District of Columbia",1,0.147281478470393
2024-11-16,"wk inc flu hosp",2024-11-02,"12","Florida",101,0.446690654691937
2024-11-16,"wk inc flu hosp",2024-11-02,"13","Georgia",14,0.126935459756155
2024-11-16,"wk inc flu hosp",2024-11-02,"15","Hawaii",3,0.209039130731679
2024-11-16,"wk inc flu hosp",2024-11-02,"16","Idaho",6,0.305386094549571
2024-11-16,"wk inc flu hosp",2024-11-02,"17","Illinois",27,0.215144773707141
2024-11-16,"wk inc flu hosp",2024-11-02,"18","Indiana",14,0.20401623444613
2024-11-16,"wk inc flu hosp",2024-11-02,"19","Iowa",5,0.155908754713122
2024-11-16,"wk inc flu hosp",2024-11-02,"20","Kansas",10,0.340072898026421
2024-11-16,"wk inc flu hosp",2024-11-02,"21","Kentucky",7,0.154656690868229
2024-11-16,"wk inc flu hosp",2024-11-02,"22","Louisiana",27,0.590325354539569
2024-11-16,"wk inc flu hosp",2024-11-02,"23","Maine",0,0
2024-11-16,"wk inc flu hosp",2024-11-02,"24","Maryland",4,0.0647222694604897
2024-11-16,"wk inc flu hosp",2024-11-02,"25","Massachusetts",3,0.042848579262516
2024-11-16,"wk inc flu hosp",2024-11-02,"26","Michigan",14,0.139480282519305
2024-11-16,"wk inc flu hosp",2024-11-02,"27","Minnesota",3,0.0522837999517246
2024-11-16,"wk inc flu hosp",2024-11-02,"28","Mississippi",15,0.510257884334743
2024-11-16,"wk inc flu hosp",2024-11-02,"29","Missouri",13,0.209807500004842
2024-11-16,"wk inc flu hosp",2024-11-02,"30","Montana",0,0
2024-11-16,"wk inc flu hosp",2024-11-02,"31","Nebraska",1,0.050546432205356
2024-11-16,"wk inc flu hosp",2024-11-02,"32","Nevada",9,0.281762808311126
2024-11-16,"wk inc flu hosp",2024-11-02,"33","New Hampshire",4,0.285295716142174
2024-11-16,"wk inc flu hosp",2024-11-02,"34","New Jersey",28,0.30137207169943
2024-11-16,"wk inc flu hosp",2024-11-02,"35","New Mexico",2,0.0945907790070901
2024-11-16,"wk inc flu hosp",2024-11-02,"36","New York",15,0.0766431682119292
2024-11-16,"wk inc flu hosp",2024-11-02,"37","North Carolina",14,0.129205035563225
2024-11-16,"wk inc flu hosp",2024-11-02,"38","North Dakota",2,0.255126121598212
2024-11-16,"wk inc flu hosp",2024-11-02,"39","Ohio",532,4.51385486174835
2024-11-16,"wk inc flu hosp",2024-11-02,"40","Oklahoma",3,0.0740041994916405
2024-11-16,"wk inc flu hosp",2024-11-02,"41","Oregon",6,0.141731457627727
2024-11-16,"wk inc flu hosp",2024-11-02,"42","Pennsylvania",97,0.74835960731334
