location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,9.94639409387591e-4,0.00271454453114275,0.00544857958607127,0.001,0.0027,0.0054,2026-05-16,2026-05-16,"May 16, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
US,1,5e-4,0.00247929497248627,0.0057693936638175,5e-4,0.0025,0.0058,2026-05-23,2026-05-16,"May 23, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
US,2,3.2538886870475e-4,0.0021099582594809,0.00516103275146105,3e-4,0.0021,0.0052,2026-05-30,2026-05-16,"May 30, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Alabama,0,6.839810508471236e-4,0.00232467907176108,0.005,7e-4,0.0023,0.005,2026-05-16,2026-05-16,"May 16, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Alabama,1,4.450023606263495e-4,0.0020118339017569,0.00521883336583164,4e-4,0.002,0.0052,2026-05-23,2026-05-16,"May 23, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Alabama,2,2.560296802164637e-4,0.00172720255545232,0.0055727003828485,3e-4,0.0017,0.0056,2026-05-30,2026-05-16,"May 30, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Alaska,0,2.750853920649346e-4,0.00196161323959648,0.00534771562425207,3e-4,0.002,0.0053,2026-05-16,2026-05-16,"May 16, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Alaska,1,0,0.0014,0.00667803084256758,0,0.0014,0.0067,2026-05-23,2026-05-16,"May 23, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Alaska,2,1.7386871010585447e-4,0.00138879197202004,0.00680917609410667,2e-4,0.0014,0.0068,2026-05-30,2026-05-16,"May 30, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
Arizona,0,0.00320147814580954,0.00609009067328644,0.00900572216264316,0.0032,0.0061,0.009,2026-05-16,2026-05-16,"May 16, 2026","May 16, 2026",2026-05-13,"May 13, 2026",FluSight-ensemble
