horizon,model,weight
1,ARIMA,0.0594178678388122
1,LGBM_blended,0.09480233524339692
1,LGBM_bounded,0.05472101090225121
1,LGBM_bounded_wide_1,0.09257155204145268
1,LGBM_bounded_wide_2,0.08146801138185683
1,LGBM_bounded_wide_3,0.09188203292651878
1,LGBM_bounded_wide_4_ne,0.038855753709320116
1,JointTwoStagePool,0.14700213092163844
1,ARGO2_smooth_log,0.10525992269255803
1,ARGO2_smooth,0.04412317095906473
1,ARGO_smooth_log,0.11493711505576545
1,ARGO_smooth,0.07495909632736461
2,ARIMA,0.07693385871050387
2,LGBM_blended,0.07776568257477291
2,LGBM_bounded,0.03701005568682638
2,LGBM_bounded_wide_1,0.0746194550783064
2,LGBM_bounded_wide_2,0.07756062200362826
2,LGBM_bounded_wide_3,0.08698400305196508
2,LGBM_bounded_wide_4_ne,0.04456672373780564
2,JointTwoStagePool,0.11420647135979635
2,ARGO2_smooth_log,0.11296843053036724
2,ARGO2_smooth,0.08603130736024359
2,ARGO_smooth_log,0.12004247092221149
2,ARGO_smooth,0.09131091898357288
3,ARIMA,0.08488163285969946
3,LGBM_blended,0.06906768011132268
3,LGBM_bounded,0.03234963134888731
3,LGBM_bounded_wide_1,0.04823293255640595
3,LGBM_bounded_wide_2,0.0624504527260065
3,LGBM_bounded_wide_3,0.06596865421544962
3,LGBM_bounded_wide_4_ne,0.04072795012831523
3,JointTwoStagePool,0.12198160795239281
3,ARGO2_smooth_log,0.12398447132855925
3,ARGO2_smooth,0.11391443086719158
3,ARGO_smooth_log,0.12446010657819503
3,ARGO_smooth,0.1119804493275746
4,ARIMA,0.07885212256908336
4,LGBM_blended,0.06373849545678267
4,LGBM_bounded,0.02961583474785964
4,LGBM_bounded_wide_1,0.058427373061595796
4,LGBM_bounded_wide_2,0.07086772758264404
4,LGBM_bounded_wide_3,0.0712215331662984
4,LGBM_bounded_wide_4_ne,0.03372750339772345
4,JointTwoStagePool,0.1164482006131771
4,ARGO2_smooth_log,0.1231478035672081
4,ARGO2_smooth,0.11686466207147997
4,ARGO_smooth_log,0.1224962270453372
4,ARGO_smooth,0.11459251672081033
