reference_date,horizon,target_end_date,location,target,output_type,output_type_id,value
2026-03-21,0,2026-03-21,01,wk flu hosp rate change,pmf,decrease,0.389
2026-03-21,0,2026-03-21,01,wk flu hosp rate change,pmf,increase,0.19
2026-03-21,0,2026-03-21,01,wk flu hosp rate change,pmf,large_decrease,0.0
2026-03-21,0,2026-03-21,01,wk flu hosp rate change,pmf,large_increase,0.002
2026-03-21,0,2026-03-21,01,wk flu hosp rate change,pmf,stable,0.419
2026-03-21,1,2026-03-28,01,wk flu hosp rate change,pmf,decrease,0.608
2026-03-21,1,2026-03-28,01,wk flu hosp rate change,pmf,increase,0.029
2026-03-21,1,2026-03-28,01,wk flu hosp rate change,pmf,large_decrease,0.0
2026-03-21,1,2026-03-28,01,wk flu hosp rate change,pmf,large_increase,0.0
2026-03-21,1,2026-03-28,01,wk flu hosp rate change,pmf,stable,0.363
2026-03-21,2,2026-04-04,01,wk flu hosp rate change,pmf,decrease,0.75
2026-03-21,2,2026-04-04,01,wk flu hosp rate change,pmf,increase,0.001
2026-03-21,2,2026-04-04,01,wk flu hosp rate change,pmf,large_decrease,0.0
2026-03-21,2,2026-04-04,01,wk flu hosp rate change,pmf,large_increase,0.0
2026-03-21,2,2026-04-04,01,wk flu hosp rate change,pmf,stable,0.249
2026-03-21,3,2026-04-11,01,wk flu hosp rate change,pmf,decrease,0.759
2026-03-21,3,2026-04-11,01,wk flu hosp rate change,pmf,increase,0.0
2026-03-21,3,2026-04-11,01,wk flu hosp rate change,pmf,large_decrease,0.0
2026-03-21,3,2026-04-11,01,wk flu hosp rate change,pmf,large_increase,0.0
2026-03-21,3,2026-04-11,01,wk flu hosp rate change,pmf,stable,0.241
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.01,52.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.025,57.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.05,63.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.1,72.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.15,78.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.2,83.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.25,87.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.3,92.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.35,96.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.4,99.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.45,103.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.5,106.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.55,109.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.6,113.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.65,117.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.7,121.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.75,126.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.8,132.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.85,139.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.9,148.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.95,161.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.975,170.0
2026-03-21,-1,2026-03-14,01,wk inc flu hosp,quantile,0.99,179.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.01,34.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.025,38.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.05,44.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.1,50.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.15,55.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.2,58.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.25,62.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.3,66.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.35,70.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.4,73.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.45,76.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.5,79.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.55,82.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.6,85.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.65,89.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.7,93.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.75,97.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.8,103.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.85,109.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.9,117.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.95,130.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.975,138.0
2026-03-21,0,2026-03-21,01,wk inc flu hosp,quantile,0.99,151.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.01,19.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.025,23.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.05,26.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.1,31.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.15,35.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.2,38.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.25,40.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.3,43.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.35,46.0
2026-03-21,1,2026-03-28,01,wk inc flu hosp,quantile,0.4,49.0
