location,reference_date,horizon,target,output_type,output_type_id,target_end_date,value
US,2026-01-24,-1,wk inc flu hosp,quantile,0.01,2026-01-17,12242.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.01,2026-01-24,6209.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.01,2026-01-31,2631.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.01,2026-02-07,1023.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.01,2026-02-14,394.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.025,2026-01-17,12947.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.025,2026-01-24,6563.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.025,2026-01-31,2960.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.025,2026-02-07,1233.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.025,2026-02-14,454.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.05,2026-01-17,13899.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.05,2026-01-24,7084.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.05,2026-01-31,3303.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.05,2026-02-07,1413.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.05,2026-02-14,582.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.1,2026-01-17,14728.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.1,2026-01-24,7945.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.1,2026-01-31,3864.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.1,2026-02-07,1686.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.1,2026-02-14,700.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.15,2026-01-17,15322.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.15,2026-01-24,8588.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.15,2026-01-31,4323.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.15,2026-02-07,1954.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.15,2026-02-14,825.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.2,2026-01-17,15910.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.2,2026-01-24,9293.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.2,2026-01-31,4720.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.2,2026-02-07,2146.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.2,2026-02-14,917.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.25,2026-01-17,16832.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.25,2026-01-24,9967.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.25,2026-01-31,4977.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.25,2026-02-07,2373.0
US,2026-01-24,3,wk inc flu hosp,quantile,0.25,2026-02-14,1048.0
US,2026-01-24,-1,wk inc flu hosp,quantile,0.3,2026-01-17,17493.0
US,2026-01-24,0,wk inc flu hosp,quantile,0.3,2026-01-24,10491.0
US,2026-01-24,1,wk inc flu hosp,quantile,0.3,2026-01-31,5354.0
US,2026-01-24,2,wk inc flu hosp,quantile,0.3,2026-02-07,2576.0
