location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.01,0.01179342239882
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.01,0.0074660746853645
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.01,0.0037610593580395
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.01,0.0013610989031766
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.01,0.0004174816766497
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.025,0.0125235134663347
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.025,0.0078721484276523
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.025,0.0038053935170912
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.025,0.0014083762830973
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.025,0.0004376727466925
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.05,0.0133442995777444
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.05,0.0082979003677065
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.05,0.0042856150856325
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.05,0.0016844307649591
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.05,0.000557081451014
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.1,0.0146156217708794
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.1,0.00984593669477
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.1,0.0055379264818018
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.1,0.0022850894065379
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.1,0.0007571400141898
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.15,0.0164298318745622
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.15,0.0114128554531437
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.15,0.0063477561674575
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.15,0.0027066324187119
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.15,0.0009360344988768
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.2,0.018119482159101
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.2,0.0122647397675957
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.2,0.0072727855906365
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.2,0.0031931170007614
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.2,0.0012142364154855
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.25,0.0201410992366782
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.25,0.0135217763826051
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.25,0.0082379118837554
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.25,0.0038261256595407
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.25,0.001390992251587
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.3,0.0215673111706934
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.3,0.0156403198700621
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.3,0.0093852485398094
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.3,0.0042235196475703
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.3,0.0015702888551599
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.35,0.0230984637842572
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.35,0.0174350189349274
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.35,0.0103749549467018
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.35,0.0046430092319925
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.35,0.0019320127100202
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.4,0.024730781728688
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.4,0.0184274837699128
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.4,0.0117411503210135
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.4,0.0055216509404773
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.4,0.00215432522773
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.45,0.0255864980000063
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.45,0.0202761727483127
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.45,0.0131303080368064
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.45,0.0062453962941648
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.45,0.0025602258326381
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.5,0.0265300947280171
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.5,0.0214673081809401
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.5,0.0141985720836219
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.5,0.0071528590951764
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.5,0.00289082074251
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.55,0.0278836581824696
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.55,0.023102170737908
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.55,0.0159610331124037
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.55,0.0078317031766259
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.55,0.003349479172926
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.6,0.0291825332030286
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.6,0.0249613101198162
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.6,0.017132928490473
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.6,0.0087535806889079
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.6,0.0038496926926821
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.65,0.0313566925580804
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.65,0.0267088644718841
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.65,0.0187539769677265
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.65,0.0097165928907014
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.65,0.0045120603165812
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.7,0.0327852957886845
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.7,0.0281807483301584
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.7,0.0201892604729155
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.7,0.0109294152756392
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.7,0.0050042160246137
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.75,0.035118709878487
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.75,0.0301351793335498
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.75,0.0228756769698216
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.75,0.0124557430761711
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.75,0.0062297789599952
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.8,0.0365635031128983
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.8,0.0319727734476061
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.8,0.0248461919026966
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.8,0.0143149775841531
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.8,0.0072808959527809
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.85,0.0386591187168092
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.85,0.0341777608546528
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.85,0.0263685540350753
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.85,0.0157886293421931
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.85,0.0084279738393638
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.9,0.0408473199691076
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.9,0.0378480396655974
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.9,0.0300315478615204
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.9,0.0187101591251262
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.9,0.011132313873894
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.95,0.0426886161481643
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.95,0.0427289937706139
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.95,0.0358690775709403
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.95,0.0223998555621364
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.95,0.0130335998570506
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.975,0.0447835663315976
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.975,0.0466500517872091
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.975,0.0412668982261529
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.975,0.026892702727115
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.975,0.0165841911723964
US,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.99,0.0477721102935072
US,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.99,0.0481470700005268
US,2026-02-14,1,2026-02-21,wk inc flu prop ed visits,quantile,0.99,0.0444450064910683
US,2026-02-14,2,2026-02-28,wk inc flu prop ed visits,quantile,0.99,0.030987535062115
US,2026-02-14,3,2026-03-07,wk inc flu prop ed visits,quantile,0.99,0.019174564830723
02,2026-02-14,-1,2026-02-07,wk inc flu prop ed visits,quantile,0.01,0.0019306466820642
02,2026-02-14,0,2026-02-14,wk inc flu prop ed visits,quantile,0.01,0.0
