location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,-1,0.01,220.01,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.025,233.95999999999998,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.05,237.85,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.1,244.98000000000002,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.15,250.27499999999998,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.2,257.265,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.25,263.665,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.3,271.945,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.35,280.465,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.4,285.71000000000004,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.45,291.64,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.5,297.78,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.55,306.36,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.6,312.32000000000005,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.65,317.78499999999997,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.7,322.14,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.75,331.56,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.8,338.365,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.85,346.345,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.9,351.6,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.95,359.805,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.975,373.38,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,-1,0.99,379.01,2024-01-06,wk inc flu hosp,2023-12-30,quantile
01,0,0.01,230.09,2024-01-06,wk inc flu hosp,2024-01-06,quantile
01,0,0.025,232.95,2024-01-06,wk inc flu hosp,2024-01-06,quantile
01,0,0.05,239.865,2024-01-06,wk inc flu hosp,2024-01-06,quantile
01,0,0.1,251.415,2024-01-06,wk inc flu hosp,2024-01-06,quantile
