location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,-1,0.01,93.66499999999999,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.025,98.725,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.05,99.93,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.1,103.0,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.15,105.035,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.2,108.205,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.25,109.82,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.3,111.83500000000001,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.35,113.485,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.4,114.43,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.45,116.32,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.5,119.035,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.55,121.155,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.6,122.655,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.65,125.595,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.7,127.93,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.75,130.555,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.8,132.76,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.85,136.365,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.9,139.585,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.95,143.03,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.975,147.15,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,-1,0.99,147.45499999999998,2023-12-23,wk inc flu hosp,2023-12-16,quantile
01,0,0.01,123.24,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.025,125.92,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.05,129.82,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.1,137.47,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.15,140.18,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.2,145.425,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.25,148.42000000000002,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.3,149.91,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.35,152.65,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.4,155.21,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.45,156.63,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.5,160.415,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.55,163.75,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.6,166.18,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.65,168.28,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.7,170.94,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.75,176.18,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.8,178.45,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.85,184.01999999999998,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.9,190.47,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.95,201.375,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.975,210.21,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,0,0.99,218.44,2023-12-23,wk inc flu hosp,2023-12-23,quantile
01,1,0.01,112.38499999999999,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.025,127.66,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.05,132.38,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.1,138.59,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.15,140.985,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.2,147.43,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.25,152.435,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.3,155.975,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.35,159.07999999999998,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.4,162.18,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.45,164.225,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.5,168.785,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.55,173.64,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.6,177.675,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.65,181.48,2023-12-23,wk inc flu hosp,2023-12-30,quantile
01,1,0.7,185.235,2023-12-23,wk inc flu hosp,2023-12-30,quantile
