location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,-1,0.01,71.91499999999999,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.025,72.81,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.05,74.045,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.1,76.24000000000001,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.15,77.2,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.2,78.25,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.25,79.0,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.3,79.995,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.35,80.4,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.4,80.89,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.45,81.305,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.5,82.33,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.55,83.045,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.6,83.75,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.65,84.33000000000001,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.7,84.965,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.75,85.685,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.8,86.815,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.85,87.45,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.9,87.89,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.95,88.945,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.975,89.88499999999999,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,-1,0.99,91.215,2024-03-16,wk inc flu hosp,2024-03-09,quantile
01,0,0.01,61.455,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.025,62.13,2024-03-16,wk inc flu hosp,2024-03-16,quantile
