"abbreviation","location","location_name","population","count_rate0p3","count_rate0p5","count_rate0p7","count_rate1","count_rate1p7","count_rate3","count_rate4","count_rate5"
"US","US","US",340110988,1020,1701,2381,3401,5782,10203,13604,17006
"AL","01","Alabama",5157699,15,26,36,52,88,155,206,258
"AK","02","Alaska",740133,2,4,5,7,13,22,30,37
"AZ","04","Arizona",7582384,23,38,53,76,129,227,303,379
"AR","05","Arkansas",3088354,9,15,22,31,53,93,124,154
"CA","06","California",39431263,118,197,276,394,670,1183,1577,1972
"CO","08","Colorado",5957493,18,30,42,60,101,179,238,298
"CT","09","Connecticut",3675069,11,18,26,37,62,110,147,184
"DE","10","Delaware",1051917,3,5,7,11,18,32,42,53
"DC","11","District of Columbia",702250,2,4,5,7,12,21,28,35
"FL","12","Florida",23372215,70,117,164,234,397,701,935,1169
"GA","13","Georgia",11180878,34,56,78,112,190,335,447,559
"HI","15","Hawaii",1446146,4,7,10,14,25,43,58,72
"ID","16","Idaho",2001619,6,10,14,20,34,60,80,100
"IL","17","Illinois",12710158,38,64,89,127,216,381,508,636
"IN","18","Indiana",6924275,21,35,48,69,118,208,277,346
"IA","19","Iowa",3241488,10,16,23,32,55,97,130,162
"KS","20","Kansas",2970606,9,15,21,30,51,89,119,149
"KY","21","Kentucky",4588372,14,23,32,46,78,138,184,229
"LA","22","Louisiana",4597740,14,23,32,46,78,138,184,230
"ME","23","Maine",1405012,4,7,10,14,24,42,56,70
"MD","24","Maryland",6263220,19,31,44,63,106,188,251,313
"MA","25","Massachusetts",7136171,21,36,50,71,121,214,285,357
"MI","26","Michigan",10140459,30,51,71,101,172,304,406,507
"MN","27","Minnesota",5793151,17,29,41,58,98,174,232,290
"MS","28","Mississippi",2943045,9,15,21,29,50,88,118,147
"MO","29","Missouri",6245466,19,31,44,62,106,187,250,312
"MT","30","Montana",1137233,3,6,8,11,19,34,45,57
"NE","31","Nebraska",2005465,6,10,14,20,34,60,80,100
"NV","32","Nevada",3267467,10,16,23,33,56,98,131,163
"NH","33","New Hampshire",1409032,4,7,10,14,24,42,56,70
"NJ","34","New Jersey",9500851,29,48,67,95,162,285,380,475
"NM","35","New Mexico",2130256,6,11,15,21,36,64,85,107
"NY","36","New York",19867248,60,99,139,199,338,596,795,993
"NC","37","North Carolina",11046024,33,55,77,110,188,331,442,552
"ND","38","North Dakota",796568,2,4,6,8,14,24,32,40
"OH","39","Ohio",11883304,36,59,83,119,202,356,475,594
"OK","40","Oklahoma",4095393,12,20,29,41,70,123,164,205
"OR","41","Oregon",4272371,13,21,30,43,73,128,171,214
"PA","42","Pennsylvania",13078751,39,65,92,131,222,392,523,654
"RI","44","Rhode Island",1112308,3,6,8,11,19,33,44,56
"SC","45","South Carolina",5478831,16,27,38,55,93,164,219,274
"SD","46","South Dakota",924669,3,5,6,9,16,28,37,46
"TN","47","Tennessee",7227750,22,36,51,72,123,217,289,361
"TX","48","Texas",31290831,94,156,219,313,532,939,1252,1565
"UT","49","Utah",3503613,11,18,25,35,60,105,140,175
"VT","50","Vermont",648493,2,3,5,6,11,19,26,32
"VA","51","Virginia",8811195,26,44,62,88,150,264,352,441
"WA","53","Washington",7958180,24,40,56,80,135,239,318,398
"WV","54","West Virginia",1769979,5,9,12,18,30,53,71,88
"WI","55","Wisconsin",5960975,18,30,42,60,101,179,238,298
"WY","56","Wyoming",587618,2,3,4,6,10,18,24,29
"PR","72","Puerto Rico",3203295,10,16,22,32,54,96,128,160
