model_id,reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.01,345.3300138870297
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.025,412.7868406487551
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.05,465.88646717389526
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.1,519.1503897922197
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.15,556.5651819172666
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.2,584.6852718629323
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.25,608.5577710913574
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.3,629.9220237863605
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.35,649.5995690909882
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.4,667.8689235944282
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.45,685.4834510507277
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.5,703.2855641294104
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.55,720.9603954981533
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.6,740.4444786947031
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.65,760.3833357430652
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.7,782.3868568655898
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.75,806.9732950658814
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.8,836.6285074884288
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.85,872.0442159761031
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.9,920.784050944553
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.95,998.6436145889936
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.975,1075.4252631404624
FluSight-trained_mean,2025-01-04,01,0,wk inc flu hosp,2025-01-04,quantile,0.99,1164.0255352614465
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.01,331.34749857586326
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.025,427.708575577492
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.05,503.8686226667739
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.1,582.9976450556115
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.15,631.2150082277949
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.2,670.5757911215279
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.25,703.7537638884863
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.3,735.0638747643926
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.35,762.7114029841547
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.4,791.4363771180273
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.45,819.1417930899464
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.5,848.210375803381
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.55,876.054486396628
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.6,905.7679021745699
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.65,937.4500337927407
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.7,975.5810136727829
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.75,1018.3781511631603
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.8,1069.8874903120711
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.85,1130.8358943638966
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.9,1219.1143075312655
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.95,1367.9202315375044
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.975,1526.3506513832433
FluSight-trained_mean,2025-01-04,01,1,wk inc flu hosp,2025-01-11,quantile,0.99,1727.7477718791947
FluSight-trained_mean,2025-01-04,01,2,wk inc flu hosp,2025-01-18,quantile,0.01,442.66797115906047
FluSight-trained_mean,2025-01-04,01,2,wk inc flu hosp,2025-01-18,quantile,0.025,574.4559064694686
FluSight-trained_mean,2025-01-04,01,2,wk inc flu hosp,2025-01-18,quantile,0.05,650.715696846014
FluSight-trained_mean,2025-01-04,01,2,wk inc flu hosp,2025-01-18,quantile,0.1,732.3004221615761
FluSight-trained_mean,2025-01-04,01,2,wk inc flu hosp,2025-01-18,quantile,0.15,790.684643496081
