"as_of","target","target_end_date","location","location_name","observation","weekly_rate"
2025-01-11,"wk inc flu hosp",2024-11-02,"01","Alabama",13,0.254479425142724
2025-01-11,"wk inc flu hosp",2024-11-02,"02","Alaska",8,1.09080100244612
2025-01-11,"wk inc flu hosp",2024-11-02,"04","Arizona",129,1.73589057376432
2025-01-11,"wk inc flu hosp",2024-11-02,"05","Arkansas",6,0.195584229652395
2025-01-11,"wk inc flu hosp",2024-11-02,"06","California",110,0.282303234068416
2025-01-11,"wk inc flu hosp",2024-11-02,"08","Colorado",25,0.425342954023829
2025-01-11,"wk inc flu hosp",2024-11-02,"09","Connecticut",10,0.27645876230518
2025-01-11,"wk inc flu hosp",2024-11-02,"10","Delaware",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"11","District of Columbia",1,0.147281478470393
2025-01-11,"wk inc flu hosp",2024-11-02,"12","Florida",110,0.486494772436763
2025-01-11,"wk inc flu hosp",2024-11-02,"13","Georgia",14,0.126935459756155
2025-01-11,"wk inc flu hosp",2024-11-02,"15","Hawaii",3,0.209039130731679
2025-01-11,"wk inc flu hosp",2024-11-02,"16","Idaho",6,0.305386094549571
2025-01-11,"wk inc flu hosp",2024-11-02,"17","Illinois",27,0.215144773707141
2025-01-11,"wk inc flu hosp",2024-11-02,"18","Indiana",14,0.20401623444613
2025-01-11,"wk inc flu hosp",2024-11-02,"19","Iowa",5,0.155908754713122
2025-01-11,"wk inc flu hosp",2024-11-02,"20","Kansas",10,0.340072898026421
2025-01-11,"wk inc flu hosp",2024-11-02,"21","Kentucky",7,0.154656690868229
2025-01-11,"wk inc flu hosp",2024-11-02,"22","Louisiana",27,0.590325354539569
2025-01-11,"wk inc flu hosp",2024-11-02,"23","Maine",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"24","Maryland",4,0.0647222694604897
2025-01-11,"wk inc flu hosp",2024-11-02,"25","Massachusetts",3,0.042848579262516
2025-01-11,"wk inc flu hosp",2024-11-02,"26","Michigan",14,0.139480282519305
2025-01-11,"wk inc flu hosp",2024-11-02,"27","Minnesota",4,0.0697117332689662
2025-01-11,"wk inc flu hosp",2024-11-02,"28","Mississippi",15,0.510257884334743
2025-01-11,"wk inc flu hosp",2024-11-02,"29","Missouri",13,0.209807500004842
2025-01-11,"wk inc flu hosp",2024-11-02,"30","Montana",0,0
2025-01-11,"wk inc flu hosp",2024-11-02,"31","Nebraska",1,0.050546432205356
2025-01-11,"wk inc flu hosp",2024-11-02,"32","Nevada",11,0.344376765713599
2025-01-11,"wk inc flu hosp",2024-11-02,"33","New Hampshire",4,0.285295716142174
