"target","location","horizon","target_end_date","output_type_id","oracle_value","as_of"
"wk flu hosp rate change","01",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","01",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","01",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","02",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","04",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","04",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","04",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","04",0,2024-11-09,"large_increase",1,2025-04-05
"wk flu hosp rate change","04",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","05",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","06",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","06",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","08",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","08",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","09",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","09",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","10",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","10",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","11",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","11",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","12",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-09,"increase",1,2025-04-05
"wk flu hosp rate change","12",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","12",0,2024-11-09,"stable",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","13",0,2024-11-09,"stable",1,2025-04-05
"wk flu hosp rate change","15",0,2024-11-09,"decrease",0,2025-04-05
"wk flu hosp rate change","15",0,2024-11-09,"increase",0,2025-04-05
"wk flu hosp rate change","15",0,2024-11-09,"large_decrease",0,2025-04-05
"wk flu hosp rate change","15",0,2024-11-09,"large_increase",0,2025-04-05
"wk flu hosp rate change","15",0,2024-11-09,"stable",1,2025-04-05
