geo_value,forecast_date,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.01,3.884286410154864
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.025,4.518854443969826
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.05,5.142814938261735
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.1,5.828935384609447
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.15,6.10027222169323
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.2,6.4353371089641795
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.25,6.604490183855719
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.3,6.80326425322324
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.35,6.849641113592518
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.4,6.905562459888223
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.45,6.936691927424019
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.5,7.033962832513089
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.55,7.209450275391212
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.6,7.4187644512707145
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.65,7.874409020444206
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.7,8.313176938935193
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.75,8.991858937003366
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.8,10.489029171163134
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.85,12.344199588513103
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.9,16.888839746586946
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.95,27.414177243491142
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.975,41.10093396448719
ak,2024-11-27,2024-11-30,wk inc flu hosp,-1,2024-11-23,02,quantile,0.99,59.8493900355392
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.01,3.3250289798338817
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.025,3.6183514994839814
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.05,4.179872959555885
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.1,5.172839659577514
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.15,5.612797177017895
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.2,5.979481848246531
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.25,6.904956995239209
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.3,7.230350146362352
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.35,7.716772434802044
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.4,7.770967215423104
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.45,7.792258144249794
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.5,7.847277601911436
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.55,8.14349868282821
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.6,9.277199692534833
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.65,11.77065861779381
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.7,13.945947710381018
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.75,17.112539748446146
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.8,22.433457292056566
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.85,28.120749857970118
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.9,39.699277632769515
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.95,56.14413984150245
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.975,68.3182710246132
ak,2024-11-27,2024-11-30,wk inc flu hosp,0,2024-11-30,02,quantile,0.99,78.04294961163853
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.01,3.250451917141827
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.025,3.442952092280358
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.05,3.7183350754018707
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.1,4.36363338829943
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.15,5.315670914695376
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.2,5.744015015827481
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.25,6.2137654740259
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.3,7.423322782787913
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.35,7.9812363364175605
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.4,8.557192933441339
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.45,8.74588307801972
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.5,8.802134160705204
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.55,9.491646029635877
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.6,11.798298005849453
ak,2024-11-27,2024-11-30,wk inc flu hosp,1,2024-12-07,02,quantile,0.65,16.953867093822048
