reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,value_median
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.01,127.0,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.025,144.6,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.05,162.2,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.1,183.0,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.15,197.39999999999998,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.2,208.6,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.25,218.2,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.3,227.8,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.35,237.4,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.4,245.4,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.45,255.0,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.5,263.0,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.55,268.75,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.6,275.1,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.65,280.85,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.7,286.0,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.75,291.5,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.8,297.2,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.85,302.95,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.9,311.0,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.95,322.25,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.975,332.6,263.0
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.99,346.07,263.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.01,83.6,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.025,107.6,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.05,128.4,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.1,155.6,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.15,174.8,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.2,190.8,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.25,205.2,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.3,218.0,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.35,230.8,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.4,242.0,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.45,254.8,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.5,266.0,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.55,275.2,266.0
2025-03-22,wk inc flu hosp,1,2025-03-29,01,quantile,0.6,283.6,266.0
