"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","location_name","model_id"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.01",9,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.025",10,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.05",12,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.1",15,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.15",18,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.2",19,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.25",21,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.3",23,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.35",25,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.4",27,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.45",28,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.5",31,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.55",32,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.6",34,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.65",35,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.7",38,"Alabama","Ensemble"
2025-11-22,"01",0,"wk inc flu hosp",2025-11-22,"quantile","0.75",40,"Alabama","Ensemble"
