reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2025-09-27,wk inc flu hosp,-1,US,quantile,0.01,657.86,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.025,700.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.05,735.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.1,770.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.15,798.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.2,819.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.25,833.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.3,840.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.35,854.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.4,868.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.45,882.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.5,889.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.55,903.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.6,917.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.65,931.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.7,945.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.75,959.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.8,973.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.85,994.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.9,1022.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.95,1057.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.975,1085.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.99,1141.0,2025-09-20
2025-09-27,wk inc flu hosp,0,US,quantile,0.01,595.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.025,637.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.05,672.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.1,707.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.15,735.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.2,756.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.25,777.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.3,798.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.35,805.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.4,826.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.45,840.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.5,854.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.55,868.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.6,889.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.65,903.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.7,924.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.75,938.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.8,952.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.85,973.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.9,1008.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.95,1043.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.975,1078.3500000000000,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.99,1134.0,2025-09-27
2025-09-27,wk inc flu hosp,1,US,quantile,0.01,553.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.025,581.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.05,609.0,2025-10-04
