horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2025-04-12,wk inc flu hosp,2025-04-12,18.0
0,01,quantile,0.025,2025-04-12,wk inc flu hosp,2025-04-12,20.0
0,01,quantile,0.05,2025-04-12,wk inc flu hosp,2025-04-12,21.0
0,01,quantile,0.1,2025-04-12,wk inc flu hosp,2025-04-12,24.0
0,01,quantile,0.15,2025-04-12,wk inc flu hosp,2025-04-12,26.0
0,01,quantile,0.2,2025-04-12,wk inc flu hosp,2025-04-12,29.0
0,01,quantile,0.25,2025-04-12,wk inc flu hosp,2025-04-12,33.0
0,01,quantile,0.3,2025-04-12,wk inc flu hosp,2025-04-12,36.0
0,01,quantile,0.35,2025-04-12,wk inc flu hosp,2025-04-12,40.0
0,01,quantile,0.4,2025-04-12,wk inc flu hosp,2025-04-12,44.0
0,01,quantile,0.45,2025-04-12,wk inc flu hosp,2025-04-12,47.0
0,01,quantile,0.5,2025-04-12,wk inc flu hosp,2025-04-12,50.0
0,01,quantile,0.55,2025-04-12,wk inc flu hosp,2025-04-12,53.0
0,01,quantile,0.6,2025-04-12,wk inc flu hosp,2025-04-12,57.0
0,01,quantile,0.65,2025-04-12,wk inc flu hosp,2025-04-12,61.0
0,01,quantile,0.7,2025-04-12,wk inc flu hosp,2025-04-12,65.0
0,01,quantile,0.75,2025-04-12,wk inc flu hosp,2025-04-12,70.0
0,01,quantile,0.8,2025-04-12,wk inc flu hosp,2025-04-12,75.0
0,01,quantile,0.85,2025-04-12,wk inc flu hosp,2025-04-12,81.0
0,01,quantile,0.9,2025-04-12,wk inc flu hosp,2025-04-12,87.0
0,01,quantile,0.95,2025-04-12,wk inc flu hosp,2025-04-12,99.0
0,01,quantile,0.975,2025-04-12,wk inc flu hosp,2025-04-12,110.0
0,01,quantile,0.99,2025-04-12,wk inc flu hosp,2025-04-12,120.0
1,01,quantile,0.01,2025-04-12,wk inc flu hosp,2025-04-19,11.0
1,01,quantile,0.025,2025-04-12,wk inc flu hosp,2025-04-19,12.0
1,01,quantile,0.05,2025-04-12,wk inc flu hosp,2025-04-19,12.0
1,01,quantile,0.1,2025-04-12,wk inc flu hosp,2025-04-19,13.0
1,01,quantile,0.15,2025-04-12,wk inc flu hosp,2025-04-19,17.0
1,01,quantile,0.2,2025-04-12,wk inc flu hosp,2025-04-19,20.0
1,01,quantile,0.25,2025-04-12,wk inc flu hosp,2025-04-19,24.0
1,01,quantile,0.3,2025-04-12,wk inc flu hosp,2025-04-19,26.0
1,01,quantile,0.35,2025-04-12,wk inc flu hosp,2025-04-19,30.0
1,01,quantile,0.4,2025-04-12,wk inc flu hosp,2025-04-19,32.0
1,01,quantile,0.45,2025-04-12,wk inc flu hosp,2025-04-19,36.0
1,01,quantile,0.5,2025-04-12,wk inc flu hosp,2025-04-19,40.0
1,01,quantile,0.55,2025-04-12,wk inc flu hosp,2025-04-19,45.0
1,01,quantile,0.6,2025-04-12,wk inc flu hosp,2025-04-19,49.0
1,01,quantile,0.65,2025-04-12,wk inc flu hosp,2025-04-19,54.0
1,01,quantile,0.7,2025-04-12,wk inc flu hosp,2025-04-19,60.0
1,01,quantile,0.75,2025-04-12,wk inc flu hosp,2025-04-19,66.0
1,01,quantile,0.8,2025-04-12,wk inc flu hosp,2025-04-19,72.0
1,01,quantile,0.85,2025-04-12,wk inc flu hosp,2025-04-19,80.0
1,01,quantile,0.9,2025-04-12,wk inc flu hosp,2025-04-19,89.0
1,01,quantile,0.95,2025-04-12,wk inc flu hosp,2025-04-19,104.0
1,01,quantile,0.975,2025-04-12,wk inc flu hosp,2025-04-19,117.0
1,01,quantile,0.99,2025-04-12,wk inc flu hosp,2025-04-19,131.0
2,01,quantile,0.01,2025-04-12,wk inc flu hosp,2025-04-26,10.0
2,01,quantile,0.025,2025-04-12,wk inc flu hosp,2025-04-26,11.0
2,01,quantile,0.05,2025-04-12,wk inc flu hosp,2025-04-26,12.0
2,01,quantile,0.1,2025-04-12,wk inc flu hosp,2025-04-26,14.0
2,01,quantile,0.15,2025-04-12,wk inc flu hosp,2025-04-26,14.0
2,01,quantile,0.2,2025-04-12,wk inc flu hosp,2025-04-26,16.0
2,01,quantile,0.25,2025-04-12,wk inc flu hosp,2025-04-26,20.0
2,01,quantile,0.3,2025-04-12,wk inc flu hosp,2025-04-26,24.0
2,01,quantile,0.35,2025-04-12,wk inc flu hosp,2025-04-26,27.0
2,01,quantile,0.4,2025-04-12,wk inc flu hosp,2025-04-26,29.0
2,01,quantile,0.45,2025-04-12,wk inc flu hosp,2025-04-26,33.0
2,01,quantile,0.5,2025-04-12,wk inc flu hosp,2025-04-26,37.0
2,01,quantile,0.55,2025-04-12,wk inc flu hosp,2025-04-26,42.0
2,01,quantile,0.6,2025-04-12,wk inc flu hosp,2025-04-26,47.0
2,01,quantile,0.65,2025-04-12,wk inc flu hosp,2025-04-26,52.0
2,01,quantile,0.7,2025-04-12,wk inc flu hosp,2025-04-26,57.0
2,01,quantile,0.75,2025-04-12,wk inc flu hosp,2025-04-26,63.0
2,01,quantile,0.8,2025-04-12,wk inc flu hosp,2025-04-26,70.0
2,01,quantile,0.85,2025-04-12,wk inc flu hosp,2025-04-26,78.0
2,01,quantile,0.9,2025-04-12,wk inc flu hosp,2025-04-26,88.0
2,01,quantile,0.95,2025-04-12,wk inc flu hosp,2025-04-26,103.0
2,01,quantile,0.975,2025-04-12,wk inc flu hosp,2025-04-26,115.0
2,01,quantile,0.99,2025-04-12,wk inc flu hosp,2025-04-26,132.0
3,01,quantile,0.01,2025-04-12,wk inc flu hosp,2025-05-03,12.0
3,01,quantile,0.025,2025-04-12,wk inc flu hosp,2025-05-03,15.0
3,01,quantile,0.05,2025-04-12,wk inc flu hosp,2025-05-03,17.0
3,01,quantile,0.1,2025-04-12,wk inc flu hosp,2025-05-03,18.0
3,01,quantile,0.15,2025-04-12,wk inc flu hosp,2025-05-03,20.0
3,01,quantile,0.2,2025-04-12,wk inc flu hosp,2025-05-03,24.0
3,01,quantile,0.25,2025-04-12,wk inc flu hosp,2025-05-03,26.0
3,01,quantile,0.3,2025-04-12,wk inc flu hosp,2025-05-03,30.0
3,01,quantile,0.35,2025-04-12,wk inc flu hosp,2025-05-03,32.0
3,01,quantile,0.4,2025-04-12,wk inc flu hosp,2025-05-03,35.0
3,01,quantile,0.45,2025-04-12,wk inc flu hosp,2025-05-03,38.0
3,01,quantile,0.5,2025-04-12,wk inc flu hosp,2025-05-03,42.0
3,01,quantile,0.55,2025-04-12,wk inc flu hosp,2025-05-03,47.0
3,01,quantile,0.6,2025-04-12,wk inc flu hosp,2025-05-03,52.0
3,01,quantile,0.65,2025-04-12,wk inc flu hosp,2025-05-03,57.0
3,01,quantile,0.7,2025-04-12,wk inc flu hosp,2025-05-03,63.0
