horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2025-05-24,wk inc flu hosp,2025-05-24,8.0
0,01,quantile,0.025,2025-05-24,wk inc flu hosp,2025-05-24,10.0
0,01,quantile,0.05,2025-05-24,wk inc flu hosp,2025-05-24,12.0
0,01,quantile,0.1,2025-05-24,wk inc flu hosp,2025-05-24,15.0
0,01,quantile,0.15,2025-05-24,wk inc flu hosp,2025-05-24,19.0
0,01,quantile,0.2,2025-05-24,wk inc flu hosp,2025-05-24,21.0
0,01,quantile,0.25,2025-05-24,wk inc flu hosp,2025-05-24,25.0
0,01,quantile,0.3,2025-05-24,wk inc flu hosp,2025-05-24,27.0
0,01,quantile,0.35,2025-05-24,wk inc flu hosp,2025-05-24,29.0
0,01,quantile,0.4,2025-05-24,wk inc flu hosp,2025-05-24,32.0
0,01,quantile,0.45,2025-05-24,wk inc flu hosp,2025-05-24,35.0
0,01,quantile,0.5,2025-05-24,wk inc flu hosp,2025-05-24,37.0
0,01,quantile,0.55,2025-05-24,wk inc flu hosp,2025-05-24,39.0
0,01,quantile,0.6,2025-05-24,wk inc flu hosp,2025-05-24,42.0
0,01,quantile,0.65,2025-05-24,wk inc flu hosp,2025-05-24,44.0
0,01,quantile,0.7,2025-05-24,wk inc flu hosp,2025-05-24,47.0
0,01,quantile,0.75,2025-05-24,wk inc flu hosp,2025-05-24,50.0
0,01,quantile,0.8,2025-05-24,wk inc flu hosp,2025-05-24,53.0
0,01,quantile,0.85,2025-05-24,wk inc flu hosp,2025-05-24,56.0
0,01,quantile,0.9,2025-05-24,wk inc flu hosp,2025-05-24,61.0
0,01,quantile,0.95,2025-05-24,wk inc flu hosp,2025-05-24,68.0
0,01,quantile,0.975,2025-05-24,wk inc flu hosp,2025-05-24,75.0
0,01,quantile,0.99,2025-05-24,wk inc flu hosp,2025-05-24,81.0
1,01,quantile,0.01,2025-05-24,wk inc flu hosp,2025-05-31,7.0
1,01,quantile,0.025,2025-05-24,wk inc flu hosp,2025-05-31,8.0
1,01,quantile,0.05,2025-05-24,wk inc flu hosp,2025-05-31,12.0
1,01,quantile,0.1,2025-05-24,wk inc flu hosp,2025-05-31,15.0
1,01,quantile,0.15,2025-05-24,wk inc flu hosp,2025-05-31,18.0
1,01,quantile,0.2,2025-05-24,wk inc flu hosp,2025-05-31,20.0
1,01,quantile,0.25,2025-05-24,wk inc flu hosp,2025-05-31,22.0
1,01,quantile,0.3,2025-05-24,wk inc flu hosp,2025-05-31,25.0
1,01,quantile,0.35,2025-05-24,wk inc flu hosp,2025-05-31,29.0
1,01,quantile,0.4,2025-05-24,wk inc flu hosp,2025-05-31,33.0
1,01,quantile,0.45,2025-05-24,wk inc flu hosp,2025-05-31,36.0
1,01,quantile,0.5,2025-05-24,wk inc flu hosp,2025-05-31,39.0
