horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2025-05-03,wk inc flu hosp,2025-05-03,6.0
0,01,quantile,0.025,2025-05-03,wk inc flu hosp,2025-05-03,7.0
0,01,quantile,0.05,2025-05-03,wk inc flu hosp,2025-05-03,8.0
0,01,quantile,0.1,2025-05-03,wk inc flu hosp,2025-05-03,9.0
0,01,quantile,0.15,2025-05-03,wk inc flu hosp,2025-05-03,9.0
0,01,quantile,0.2,2025-05-03,wk inc flu hosp,2025-05-03,10.0
0,01,quantile,0.25,2025-05-03,wk inc flu hosp,2025-05-03,10.0
0,01,quantile,0.3,2025-05-03,wk inc flu hosp,2025-05-03,11.0
0,01,quantile,0.35,2025-05-03,wk inc flu hosp,2025-05-03,11.0
0,01,quantile,0.4,2025-05-03,wk inc flu hosp,2025-05-03,12.0
0,01,quantile,0.45,2025-05-03,wk inc flu hosp,2025-05-03,12.0
0,01,quantile,0.5,2025-05-03,wk inc flu hosp,2025-05-03,13.0
0,01,quantile,0.55,2025-05-03,wk inc flu hosp,2025-05-03,14.0
0,01,quantile,0.6,2025-05-03,wk inc flu hosp,2025-05-03,16.0
0,01,quantile,0.65,2025-05-03,wk inc flu hosp,2025-05-03,18.0
0,01,quantile,0.7,2025-05-03,wk inc flu hosp,2025-05-03,20.0
0,01,quantile,0.75,2025-05-03,wk inc flu hosp,2025-05-03,23.0
0,01,quantile,0.8,2025-05-03,wk inc flu hosp,2025-05-03,26.0
0,01,quantile,0.85,2025-05-03,wk inc flu hosp,2025-05-03,30.0
0,01,quantile,0.9,2025-05-03,wk inc flu hosp,2025-05-03,35.0
0,01,quantile,0.95,2025-05-03,wk inc flu hosp,2025-05-03,42.0
0,01,quantile,0.975,2025-05-03,wk inc flu hosp,2025-05-03,48.0
0,01,quantile,0.99,2025-05-03,wk inc flu hosp,2025-05-03,55.0
1,01,quantile,0.01,2025-05-03,wk inc flu hosp,2025-05-10,3.0
1,01,quantile,0.025,2025-05-03,wk inc flu hosp,2025-05-10,4.0
1,01,quantile,0.05,2025-05-03,wk inc flu hosp,2025-05-10,5.0
1,01,quantile,0.1,2025-05-03,wk inc flu hosp,2025-05-10,7.0
1,01,quantile,0.15,2025-05-03,wk inc flu hosp,2025-05-10,8.0
1,01,quantile,0.2,2025-05-03,wk inc flu hosp,2025-05-10,8.0
1,01,quantile,0.25,2025-05-03,wk inc flu hosp,2025-05-10,9.0
1,01,quantile,0.3,2025-05-03,wk inc flu hosp,2025-05-10,9.0
1,01,quantile,0.35,2025-05-03,wk inc flu hosp,2025-05-10,10.0
1,01,quantile,0.4,2025-05-03,wk inc flu hosp,2025-05-10,10.0
1,01,quantile,0.45,2025-05-03,wk inc flu hosp,2025-05-10,11.0
1,01,quantile,0.5,2025-05-03,wk inc flu hosp,2025-05-10,13.0
1,01,quantile,0.55,2025-05-03,wk inc flu hosp,2025-05-10,14.0
1,01,quantile,0.6,2025-05-03,wk inc flu hosp,2025-05-10,16.0
1,01,quantile,0.65,2025-05-03,wk inc flu hosp,2025-05-10,17.0
1,01,quantile,0.7,2025-05-03,wk inc flu hosp,2025-05-10,19.0
1,01,quantile,0.75,2025-05-03,wk inc flu hosp,2025-05-10,22.0
1,01,quantile,0.8,2025-05-03,wk inc flu hosp,2025-05-10,26.0
1,01,quantile,0.85,2025-05-03,wk inc flu hosp,2025-05-10,30.0
1,01,quantile,0.9,2025-05-03,wk inc flu hosp,2025-05-10,36.0
1,01,quantile,0.95,2025-05-03,wk inc flu hosp,2025-05-10,45.0
1,01,quantile,0.975,2025-05-03,wk inc flu hosp,2025-05-10,53.0
1,01,quantile,0.99,2025-05-03,wk inc flu hosp,2025-05-10,63.0
2,01,quantile,0.01,2025-05-03,wk inc flu hosp,2025-05-17,2.0
2,01,quantile,0.025,2025-05-03,wk inc flu hosp,2025-05-17,4.0
2,01,quantile,0.05,2025-05-03,wk inc flu hosp,2025-05-17,5.0
2,01,quantile,0.1,2025-05-03,wk inc flu hosp,2025-05-17,6.0
2,01,quantile,0.15,2025-05-03,wk inc flu hosp,2025-05-17,7.0
2,01,quantile,0.2,2025-05-03,wk inc flu hosp,2025-05-17,8.0
2,01,quantile,0.25,2025-05-03,wk inc flu hosp,2025-05-17,8.0
2,01,quantile,0.3,2025-05-03,wk inc flu hosp,2025-05-17,9.0
2,01,quantile,0.35,2025-05-03,wk inc flu hosp,2025-05-17,9.0
2,01,quantile,0.4,2025-05-03,wk inc flu hosp,2025-05-17,10.0
2,01,quantile,0.45,2025-05-03,wk inc flu hosp,2025-05-17,10.0
2,01,quantile,0.5,2025-05-03,wk inc flu hosp,2025-05-17,11.0
2,01,quantile,0.55,2025-05-03,wk inc flu hosp,2025-05-17,12.0
2,01,quantile,0.6,2025-05-03,wk inc flu hosp,2025-05-17,13.0
2,01,quantile,0.65,2025-05-03,wk inc flu hosp,2025-05-17,15.0
2,01,quantile,0.7,2025-05-03,wk inc flu hosp,2025-05-17,16.0
2,01,quantile,0.75,2025-05-03,wk inc flu hosp,2025-05-17,18.0
2,01,quantile,0.8,2025-05-03,wk inc flu hosp,2025-05-17,20.0
2,01,quantile,0.85,2025-05-03,wk inc flu hosp,2025-05-17,22.0
2,01,quantile,0.9,2025-05-03,wk inc flu hosp,2025-05-17,24.0
2,01,quantile,0.95,2025-05-03,wk inc flu hosp,2025-05-17,28.0
2,01,quantile,0.975,2025-05-03,wk inc flu hosp,2025-05-17,31.0
2,01,quantile,0.99,2025-05-03,wk inc flu hosp,2025-05-17,36.0
3,01,quantile,0.01,2025-05-03,wk inc flu hosp,2025-05-24,0.0
3,01,quantile,0.025,2025-05-03,wk inc flu hosp,2025-05-24,2.0
3,01,quantile,0.05,2025-05-03,wk inc flu hosp,2025-05-24,2.0
3,01,quantile,0.1,2025-05-03,wk inc flu hosp,2025-05-24,4.0
3,01,quantile,0.15,2025-05-03,wk inc flu hosp,2025-05-24,4.0
3,01,quantile,0.2,2025-05-03,wk inc flu hosp,2025-05-24,5.0
3,01,quantile,0.25,2025-05-03,wk inc flu hosp,2025-05-24,6.0
3,01,quantile,0.3,2025-05-03,wk inc flu hosp,2025-05-24,6.0
3,01,quantile,0.35,2025-05-03,wk inc flu hosp,2025-05-24,7.0
3,01,quantile,0.4,2025-05-03,wk inc flu hosp,2025-05-24,7.0
3,01,quantile,0.45,2025-05-03,wk inc flu hosp,2025-05-24,8.0
3,01,quantile,0.5,2025-05-03,wk inc flu hosp,2025-05-24,8.0
3,01,quantile,0.55,2025-05-03,wk inc flu hosp,2025-05-24,9.0
3,01,quantile,0.6,2025-05-03,wk inc flu hosp,2025-05-24,10.0
3,01,quantile,0.65,2025-05-03,wk inc flu hosp,2025-05-24,11.0
3,01,quantile,0.7,2025-05-03,wk inc flu hosp,2025-05-24,12.0
3,01,quantile,0.75,2025-05-03,wk inc flu hosp,2025-05-24,13.0
3,01,quantile,0.8,2025-05-03,wk inc flu hosp,2025-05-24,14.0
3,01,quantile,0.85,2025-05-03,wk inc flu hosp,2025-05-24,15.0
3,01,quantile,0.9,2025-05-03,wk inc flu hosp,2025-05-24,17.0
3,01,quantile,0.95,2025-05-03,wk inc flu hosp,2025-05-24,19.0
3,01,quantile,0.975,2025-05-03,wk inc flu hosp,2025-05-24,21.0
3,01,quantile,0.99,2025-05-03,wk inc flu hosp,2025-05-24,23.0
0,02,quantile,0.01,2025-05-03,wk inc flu hosp,2025-05-03,0.0
0,02,quantile,0.025,2025-05-03,wk inc flu hosp,2025-05-03,0.0
0,02,quantile,0.05,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.1,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.15,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.2,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.25,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.3,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.35,2025-05-03,wk inc flu hosp,2025-05-03,1.0
0,02,quantile,0.4,2025-05-03,wk inc flu hosp,2025-05-03,2.0
0,02,quantile,0.45,2025-05-03,wk inc flu hosp,2025-05-03,2.0
0,02,quantile,0.5,2025-05-03,wk inc flu hosp,2025-05-03,2.0
0,02,quantile,0.55,2025-05-03,wk inc flu hosp,2025-05-03,3.0
0,02,quantile,0.6,2025-05-03,wk inc flu hosp,2025-05-03,4.0
0,02,quantile,0.65,2025-05-03,wk inc flu hosp,2025-05-03,5.0
0,02,quantile,0.7,2025-05-03,wk inc flu hosp,2025-05-03,6.0
0,02,quantile,0.75,2025-05-03,wk inc flu hosp,2025-05-03,7.0
0,02,quantile,0.8,2025-05-03,wk inc flu hosp,2025-05-03,8.0
0,02,quantile,0.85,2025-05-03,wk inc flu hosp,2025-05-03,10.0
0,02,quantile,0.9,2025-05-03,wk inc flu hosp,2025-05-03,12.0
0,02,quantile,0.95,2025-05-03,wk inc flu hosp,2025-05-03,15.0
0,02,quantile,0.975,2025-05-03,wk inc flu hosp,2025-05-03,18.0
0,02,quantile,0.99,2025-05-03,wk inc flu hosp,2025-05-03,22.0
1,02,quantile,0.01,2025-05-03,wk inc flu hosp,2025-05-10,0.0
1,02,quantile,0.025,2025-05-03,wk inc flu hosp,2025-05-10,0.0
1,02,quantile,0.05,2025-05-03,wk inc flu hosp,2025-05-10,0.0
1,02,quantile,0.1,2025-05-03,wk inc flu hosp,2025-05-10,1.0
