reference_date,target,horizon,target_end_date,output_type,output_type_id,value,location
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.01,178.4659716191478,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.025,178.82706853608624,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.05,199.20885045093684,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.1,232.95162025806292,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.15,275.0961909963138,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.2,289.1423834133352,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.25,304.1490000225957,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.3,318.0879869271564,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.35,368.15279130821045,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.4,386.06225984025207,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.45,416.3542859969438,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.5,435.6752683973642,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.55,446.4725612012696,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.6,461.90185843131144,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.65,483.73957886242255,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.7,509.3485051856467,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.75,568.3462548870991,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.8,584.7334338326671,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.85,644.693957394625,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.9,740.131221401953,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.95,816.922304580042,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.975,1001.321827983447,06
2024-02-10,wk inc flu hosp,0,2024-02-10,quantile,0.99,1347.9658745962608,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.01,127.53605194411188,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.025,141.0744987296049,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.05,151.08501866242207,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.1,174.2729391233701,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.15,196.3370751806866,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.2,220.6297546683575,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.25,244.5567991109471,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.3,267.0236902429409,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.35,292.3965223991563,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.4,318.59503281303284,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.45,348.96489026006327,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.5,373.9212590588504,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.55,407.4133008832042,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.6,436.3773644525294,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.65,470.19480212803455,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.7,514.1663622819856,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.75,562.3576438944141,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.8,632.2990902971604,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.85,740.4760680835495,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.9,855.3069156656168,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.95,1040.7521380300504,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.975,1306.9329431805927,06
2024-02-10,wk inc flu hosp,1,2024-02-17,quantile,0.99,1427.3291002178034,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.01,109.55728435325295,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.025,119.290017440482,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.05,128.66944331612996,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.1,148.11033505829766,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.15,169.3678673181146,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.2,186.23165874867937,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.25,202.69481540123235,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.3,221.9592153974981,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.35,245.6311569200408,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.4,275.43483966428147,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.45,299.4599786709192,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.5,327.47923306979635,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.55,364.6930848491033,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.6,413.7024041309387,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.65,469.5567991713895,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.7,522.8024870334684,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.75,583.5276020174875,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.8,671.2414205740655,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.85,764.0006206642379,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.9,947.1519789957284,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.95,1172.78226927386,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.975,1341.8244171980286,06
2024-02-10,wk inc flu hosp,2,2024-02-24,quantile,0.99,1480.4238337867655,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.01,107.65940999933382,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.025,111.91872182017188,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.05,119.0062263405677,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.1,136.71208772944013,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.15,152.7661938436534,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.2,169.24227318253884,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.25,185.74830387234223,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.3,204.01191142010612,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.35,230.29965219081308,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.4,258.6493727467826,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.45,292.39271820812075,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.5,325.3075498248004,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.55,366.8647549907022,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.6,408.80731572045903,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.65,460.2030324578866,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.7,535.1404032477178,06
2024-02-10,wk inc flu hosp,3,2024-03-02,quantile,0.75,629.7560591461033,06
