reference_date,target,horizon,target_end_date,output_type,output_type_id,value,location
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.01,24.723423046117627,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.025,71.11988980417708,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.05,95.6622549297145,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.1,121.65133412195225,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.15,143.42464577497694,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.2,154.26646884784824,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.25,162.71794152200695,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.3,170.3842112344357,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.35,174.399719283247,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.4,176.66453920498256,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.45,178.22070325344376,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.5,180.92132193585104,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.55,188.0199055130183,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.6,202.36931530148257,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.65,214.91848673677777,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.7,232.27876769957967,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.75,251.0003396803303,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.8,270.5071127772643,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.85,304.7726670207274,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.9,347.75847798831956,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.95,552.6491753822302,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.975,1333.4195602049138,06
2023-11-18,wk inc flu hosp,0,2023-11-18,quantile,0.99,2459.3824138602854,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.01,16.193870918692266,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.025,59.55936961354463,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.05,91.22269826303621,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.1,115.00655076914906,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.15,140.19495588515144,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.2,161.73359970317006,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.25,172.45445655045398,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.3,183.5059156180168,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.35,192.57557128563784,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.4,200.6596449954402,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.45,212.4497877379206,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.5,227.87529113743193,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.55,243.89509125913872,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.6,256.1568865741095,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.65,276.588496495794,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.7,300.47214376200293,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.75,336.0621803892322,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.8,379.838847804212,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.85,456.0267919185461,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.9,579.5024722096142,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.95,1060.8165007025243,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.975,2030.83039282245,06
2023-11-18,wk inc flu hosp,1,2023-11-25,quantile,0.99,3172.9697174079615,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.01,15.012800298784999,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.025,31.54250630384955,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.05,64.50544872389084,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.1,99.35179961814765,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.15,122.84616947449264,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.2,142.43817039714395,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.25,164.07475200110943,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.3,178.41247791765954,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.35,195.08903542939248,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.4,210.0466777777541,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.45,224.4162175972636,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.5,240.78270676151124,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.55,263.8261737479531,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.6,284.5232134336369,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.65,312.46233938577996,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.7,339.31612373908166,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.75,373.4792982053566,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.8,432.46438927878387,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.85,521.8712965618616,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.9,766.5259973584589,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.95,1466.7953257393494,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.975,2199.2106555210835,06
2023-11-18,wk inc flu hosp,2,2023-12-02,quantile,0.99,3433.3987597408723,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.01,5.001484158414493,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.025,18.3306687898881,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.05,43.402065975397356,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.1,70.29463324535578,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.15,93.52821188829941,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.2,109.87746261698976,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.25,124.3004918684157,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.3,140.06141413401141,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.35,154.44461885155818,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.4,168.45270669205615,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.45,185.66563729666044,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.5,205.47865577897397,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.55,223.9146399861201,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.6,248.31550172478393,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.65,274.7585490770637,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.7,308.419188682198,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.75,356.5827394568079,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.8,438.92781189282715,06
2023-11-18,wk inc flu hosp,3,2023-12-09,quantile,0.85,567.6328634554968,06
