"location_name","horizon","quantile_0.025_per100k","quantile_0.5_per100k","quantile_0.975_per100k","quantile_0.025_count","quantile_0.5_count","quantile_0.975_count","quantile_0.025_per100k_rounded","quantile_0.5_per100k_rounded","quantile_0.975_per100k_rounded","quantile_0.025_count_rounded","quantile_0.5_count_rounded","quantile_0.975_count_rounded","target_end_date","reference_date","target_end_date_formatted","reference_date_formatted","forecast_due_date","forecast_due_date_formatted","model"
"US",0,0.224534653796153,0.436827391627357,0.758401623194454,752,1463,2540,0.22,0.44,0.76,752,1463,2540,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"US",1,0.205723904874401,0.377110728383699,0.74675687386194,689,1263,2501,0.21,0.38,0.75,689,1263,2501,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"US",2,0.114058826795386,0.328143064523899,0.812445203429964,382,1099,2721,0.11,0.33,0.81,382,1099,2721,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Alabama",0,0.156602723164753,0.450232829098665,1.03749304096649,8,23,53,0.16,0.45,1.04,8,23,53,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Alabama",1,0.0978767019779707,0.391506807911883,1.19409576413124,5,20,61,0.1,0.39,1.19,5,20,61,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Alabama",2,0.0391506807911883,0.352356127120695,1.13536974294446,2,18,58,0.04,0.35,1.14,2,18,58,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Alaska",0,0.136350125305765,0.818100751834591,2.04525187958648,1,6,15,0.14,0.82,2.05,1,6,15,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Alaska",1,0,0.818100751834591,2.31795213019801,0,6,17,0,0.82,2.32,0,6,17,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Alaska",2,0,0.818100751834591,2.18160200489224,0,6,16,0,0.82,2.18,0,6,16,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Arizona",0,0.148021676832616,0.470978062649233,1.21108644681231,11,35,90,0.15,0.47,1.21,11,35,90,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Arizona",1,0.121108644681231,0.45752154657354,1.27836902719077,9,34,95,0.12,0.46,1.28,9,34,95,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Arizona",2,0.0403695482270771,0.363325934043694,1.27836902719077,3,27,95,0.04,0.36,1.28,3,27,95,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Arkansas",0,0,0.162986858043662,0.586752688957184,0,5,18,0,0.16,0.59,0,5,18,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Arkansas",1,0,0.13038948643493,0.717142175392114,0,4,22,0,0.13,0.72,0,4,22,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Arkansas",2,0,0.0977921148261973,0.684544803783381,0,3,21,0,0.1,0.68,0,3,21,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"California",0,0.207877835995834,0.410622885917696,0.713457264281997,81,160,278,0.21,0.41,0.71,81,160,278,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"California",1,0.136018830960237,0.40805649288071,0.800714627539507,53,159,312,0.14,0.41,0.8,53,159,312,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"California",2,0.0615934328876544,0.361861418214969,0.877706418649075,24,141,342,0.06,0.36,0.88,24,141,342,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Colorado",0,0.0340274363219064,0.221178336092391,0.612493853794314,2,13,36,0.03,0.22,0.61,2,13,36,2025-10-18,2025-10-18,"October 18, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Colorado",1,0.0340274363219064,0.204164617931438,0.595480135633361,2,12,35,0.03,0.2,0.6,2,12,35,2025-10-25,2025-10-18,"October 25, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
"Colorado",2,0,0.170137181609532,0.595480135633361,0,10,35,0,0.17,0.6,0,10,35,2025-11-01,2025-10-18,"November 1, 2025","October 18, 2025",2025-10-15,"October 15, 2025","FluSight-ensemble"
