location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
US,0,0.01768426786149336,0.03382930110524279,0.04877653628845024,0.0177,0.0338,0.0488,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
US,1,0.01336247136115205,0.03188279485263622,0.06143895459885168,0.0134,0.0319,0.0614,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
US,2,0.01008529402335788,0.02797126990677926,0.05543449660050581,0.0101,0.028,0.0554,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Alabama,0,0.02666641338059152,0.04610756332539922,0.07919817582938599,0.0267,0.0461,0.0792,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Alabama,1,0.02173537306372405,0.04576138197686789,0.10158456761441852,0.0217,0.0458,0.1016,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Alabama,2,0.01594445796559134,0.04294738920619364,0.09563131700972048,0.0159,0.0429,0.0956,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Alaska,0,0.02086253030233165,0.03668271403497871,0.06344603905518664,0.0209,0.0367,0.0634,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Alaska,1,0.01054857249597314,0.03251541779551572,0.07131775919647605,0.0105,0.0325,0.0713,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Alaska,2,0.0082400306350124,0.0297344524190305,0.08906823204867122,0.0082,0.0297,0.0891,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Arizona,0,0.01345870225889037,0.02235894077919546,0.03699232584328598,0.0135,0.0224,0.037,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Arizona,1,0.01079087909595485,0.02234193706627193,0.04768854925895166,0.0108,0.0223,0.0477,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Arizona,2,0.00727552959429583,0.02176274211273501,0.05523510363823977,0.0073,0.0218,0.0552,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Arkansas,0,0.03087669453621088,0.0502424855499205,0.0822411796235915,0.0309,0.0502,0.0822,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Arkansas,1,0.02446090835855809,0.04836589958631062,0.10396168075416508,0.0245,0.0484,0.104,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Arkansas,2,0.01936078436188975,0.04717238376904796,0.1194831697821894,0.0194,0.0472,0.1195,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
California,0,0.02333471448543359,0.03385519342447119,0.05385541593262981,0.0233,0.0339,0.053900000000000003,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
California,1,0.01774678878569539,0.03431954289904,0.07028157301466936,0.0177,0.0343,0.0703,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
California,2,0.01226344793428421,0.0322627207454307,0.06899195458381331,0.0123,0.0323,0.069,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Colorado,0,0.01035819060855941,0.01740854806111774,0.03023094306637563,0.0104,0.0174,0.0302,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Colorado,1,0.00556276302846443,0.01529576469253132,0.03833009662647285,0.0056,0.0153,0.0383,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Colorado,2,0.0030606951434487,0.01352382960932365,0.04517979438059402,0.0031,0.0135,0.0452,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Connecticut,0,0.00520943939355458,0.01144914049116293,0.02389484026534278,0.0052,0.0114,0.0239,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Connecticut,1,0.00209856043481556,0.00811257469115956,0.03195168947918599,0.0021,0.0081,0.032,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Connecticut,2,0.00171919121923402,0.00598957800032186,0.03893932590502397,0.0017,0.006,0.0389,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Delaware,0,0.01979861911142991,0.03581498472357455,0.05883048379936341,0.0198,0.0358,0.0588,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Delaware,1,0.01045974781715882,0.03189432434506006,0.06876951502778585,0.0105,0.0319,0.0688,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Delaware,2,0.00784711287954873,0.0307556043514249,0.08048966962834446,0.0078,0.0308,0.0805,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
District of Columbia,0,0.00634189675773798,0.01354977401615238,0.02992724705075264,0.0063,0.0135,0.0299,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
District of Columbia,1,0.00272741315821963,0.0097152243235547,0.032168102928296,0.0027,0.0097,0.0322,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
District of Columbia,2,0.0022482780267739,0.00740189589873559,0.04310220710949622,0.0022,0.0074,0.0431,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Florida,0,0.02330931176316427,0.0404976742313986,0.05689782215134712,0.0233,0.0405,0.0569,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Florida,1,0.01923107017707177,0.03937528926028341,0.07025872158822077,0.0192,0.0394,0.0703,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Florida,2,0.01456102322319083,0.03592193755658599,0.0754704983507761,0.0146,0.0359,0.0755,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Georgia,0,0.01153078947661726,0.02060798459865288,0.03629186243535792,0.0115,0.0206,0.0363,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Georgia,1,0.00652615738604276,0.01987828300292413,0.05156872359703379,0.0065,0.0199,0.0516,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Georgia,2,0.0043950521741898,0.0169287614022195,0.0465859381106048,0.0044,0.0169,0.0466,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Hawaii,0,0.01305240783092642,0.0222259146749585,0.03807976622975981,0.0131,0.0222,0.0381,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Hawaii,1,0.0075595445286572,0.01944607779595802,0.04431246932617805,0.0076,0.0194,0.0443,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Hawaii,2,0.00396193190246715,0.01662222102771228,0.05522538922120235,0.004,0.0166,0.0552,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Idaho,0,0.01444391951894288,0.02430423593785093,0.04154969188294846,0.0144,0.0243,0.0415,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Idaho,1,0.00811942772126854,0.02186920370402252,0.0499711988616477,0.0081,0.0219,0.05,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Idaho,2,0.0049339842099404,0.01984878012118839,0.05461480778789272,0.0049,0.0198,0.0546,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Illinois,0,0.01930592643269641,0.03088727242794816,0.04875197714128796,0.0193,0.0309,0.0488,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Illinois,1,0.01054870737392815,0.02889993265142126,0.0556067681033103,0.0105,0.0289,0.0556,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Illinois,2,0.00746281346364638,0.02622526711910473,0.06556293936703896,0.0075,0.0262,0.0656,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Indiana,0,0.01831119391977088,0.03246536132621014,0.05065229170460054,0.0183,0.0325,0.0507,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Indiana,1,0.01183159111748684,0.03151156274614965,0.07011549744009651,0.0118,0.0315,0.0701,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Indiana,2,0.0072280452522639,0.02907823725283133,0.06857692403911682,0.0072,0.0291,0.0686,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Iowa,0,0.03296976657602511,0.05459944626484281,0.07823330879814495,0.033,0.0546,0.0782,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Iowa,1,0.02084163906035613,0.04810490274555477,0.08947017037321814,0.0208,0.0481,0.0895,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Iowa,2,0.01598655030538617,0.0464657676119399,0.1043819724202956,0.016,0.0465,0.1044,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Kansas,0,0.03144143679379669,0.05239589933280279,0.08434991603515601,0.0314,0.0524,0.0843,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Kansas,1,0.02415093851319112,0.05031666666666667,0.1038941430231104,0.0242,0.0503,0.1039,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Kansas,2,0.01554853009921749,0.0449707518786052,0.1047096117843164,0.0155,0.045,0.1047,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Kentucky,0,0.02551861146436726,0.04065224870171285,0.07022445474837805,0.0255,0.0407,0.0702,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Kentucky,1,0.02025494271476999,0.03963361282939322,0.0954118755576886,0.0203,0.0396,0.0954,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Kentucky,2,0.01210027236850744,0.03714053142698378,0.09330517339448438,0.0121,0.0371,0.0933,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Louisiana,0,0.03112966861857306,0.04935840373631609,0.08950249832211768,0.0311,0.0494,0.0895,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Louisiana,1,0.02490577948777149,0.0499047480638638,0.10929313118998832,0.0249,0.0499,0.1093,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Louisiana,2,0.01927646163069509,0.04721542635687857,0.11800929987311232,0.0193,0.0472,0.118,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Maine,0,0.01365461110322866,0.02735189141210576,0.04930169951111762,0.0137,0.0274,0.0493,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Maine,1,0.00602087096205389,0.02192897312919459,0.05446826772936963,0.006,0.0219,0.0545,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Maine,2,0.00314337782295437,0.0229413949985093,0.064273510892029,0.0031,0.0229,0.0643,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Maryland,0,0.01029772505145606,0.01675300711014158,0.02938803667635313,0.0103,0.0168,0.0294,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Maryland,1,0.00532221590523266,0.0131880256577621,0.04019760868003869,0.0053,0.0132,0.0402,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Maryland,2,0.00316707976868369,0.01014720073669677,0.04639714428010337,0.0032,0.0101,0.0464,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Massachusetts,0,0.00988355039689781,0.01501294531403215,0.035598453966822,0.0099,0.015,0.0356,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Massachusetts,1,0.00441021545850779,0.01048855218118115,0.03802293705819438,0.0044,0.0105,0.038,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Massachusetts,2,0.00234428093354609,0.00786900103648561,0.04994305554787692,0.0023,0.0079,0.0499,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Michigan,0,0.01493643296183006,0.02623121696497465,0.04345975285803413,0.0149,0.0262,0.0435,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Michigan,1,0.0081860136935605,0.02363867942973609,0.05251551957941935,0.0082,0.0236,0.0525,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Michigan,2,0.00462674452993855,0.0219407740076208,0.06007237288533137,0.0046,0.0219,0.0601,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Minnesota,0,0.01703218070559906,0.02809787927276843,0.049016991063955,0.017,0.0281,0.049,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Minnesota,1,0.0093646114630084,0.0246149334141547,0.06075573508807376,0.0094,0.0246,0.0608,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Minnesota,2,0.0048813691608041,0.0219546267263305,0.0710365374527909,0.0049,0.022,0.071,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Mississippi,0,0.0215538155819504,0.03358968270114435,0.06025736693355846,0.0216,0.0336,0.0603,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Mississippi,1,0.01658779594611975,0.03305970891805715,0.07226059743563801,0.0166,0.0331,0.0723,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Mississippi,2,0.01204909376791695,0.0320363873268539,0.07388190936199221,0.012,0.032,0.0739,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Missouri,0,0.03498288192406999,0.05242973835313075,0.07778631702877131,0.035,0.0524,0.0778,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Missouri,1,0.02107285308554644,0.05270102782799157,0.111219330442223,0.0211,0.0527,0.1112,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Montana,0,0.01818816185949232,0.03128948197940692,0.04790193320578234,0.0182,0.0313,0.0479,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Montana,1,0.01373484512153872,0.02970534936600805,0.05979572512980974,0.0137,0.0297,0.0598,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Montana,2,0.0081873774143691,0.02609511859004922,0.05628363922594125,0.0082,0.0261,0.0563,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Nebraska,0,0.01657997820993732,0.02897649997792246,0.04657494121292879,0.0166,0.029,0.0466,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Nebraska,1,0.01242812280109323,0.02705220455148548,0.0574701533524215,0.0124,0.0271,0.0575,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Nebraska,2,0.00849906001789505,0.02432014808335924,0.0596481111915386,0.0085,0.0243,0.0596,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Nevada,0,0.01316094402437817,0.02270220159052914,0.03461923185999734,0.0132,0.0227,0.0346,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Nevada,1,0.00919975804856438,0.02177029114198487,0.04301495740221749,0.0092,0.0218,0.043,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Nevada,2,0.00742700287903879,0.02127158333351548,0.04738767666897474,0.0074,0.0213,0.0474,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Hampshire,0,0.01678635852061909,0.03674543294644369,0.05813395944715333,0.0168,0.0367,0.0581,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Hampshire,1,0.00831109165518834,0.0311943473027887,0.0666422432971816,0.0083,0.0312,0.0666,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Hampshire,2,0.00631932404974291,0.0288283293875741,0.08000950503623569,0.0063,0.0288,0.08,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Jersey,0,0.0095531750850386,0.01459755519383809,0.02778272802266483,0.0096,0.0146,0.0278,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Jersey,1,0.00476554579793865,0.01077173134007756,0.03888877018672247,0.0048,0.0108,0.0389,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Jersey,2,0.0030310095862753,0.00940943524022223,0.04678846659391354,0.003,0.0094,0.0468,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Mexico,0,0.01600547616080942,0.03162638439901349,0.04915993990214239,0.016,0.0316,0.0492,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Mexico,1,0.00934874704123966,0.02903413045026584,0.06763121566113436,0.0093,0.029,0.0676,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New Mexico,2,0.0039437883209228,0.02522286655296707,0.06829915372239871,0.0039,0.0252,0.0683,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New York,0,0.00413994960665153,0.00792440116280614,0.01661284866328088,0.0041,0.0079,0.0166,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New York,1,0.00204951685698469,0.00635296635688252,0.02220353139675849,0.002,0.0064,0.0222,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
New York,2,0.0011755610347876,0.00580073541047596,0.02783289418397393,0.0012,0.0058,0.0278,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
North Carolina,0,0.02373303701528042,0.0365040222925545,0.05564696590456801,0.0237,0.0365,0.0556,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
North Carolina,1,0.0141180338655513,0.03431167774180095,0.08071944417190366,0.0141,0.0343,0.0807,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
North Carolina,2,0.0083047855659472,0.02835066481065809,0.08728210070066421,0.0083,0.0284,0.0873,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
North Dakota,0,0.01663856698148781,0.03434810520579155,0.05239062886468303,0.0166,0.0343,0.0524,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
North Dakota,1,0.01008048401350224,0.03096379617869946,0.06815705553105106,0.0101,0.031,0.0682,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
North Dakota,2,0.00619301336768227,0.02783663811642705,0.06792596699340298,0.0062,0.0278,0.0679,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Ohio,0,0.01858764121332854,0.0354347639741506,0.05465164602574049,0.0186,0.0354,0.0547,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Ohio,1,0.01171716490471672,0.0328710950800702,0.06825135633678858,0.0117,0.0329,0.0683,2026-02-07,2026-01-31,"February 07, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Ohio,2,0.00680712354762407,0.02916199737612358,0.07074632942813912,0.0068,0.0292,0.0707,2026-02-14,2026-01-31,"February 14, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
Oklahoma,0,0.03041684230435405,0.04233939939740017,0.08127123040012135,0.0304,0.0423,0.0813,2026-01-31,2026-01-31,"January 31, 2026","January 31, 2026",2026-01-28,"January 28, 2026",FluSight-ensemble
