"","reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"1",2023-12-16,"01",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"2",2023-12-16,"01",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"3",2023-12-16,"01",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"4",2023-12-16,"01",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"5",2023-12-16,"01",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"6",2023-12-16,"02",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"7",2023-12-16,"02",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"8",2023-12-16,"02",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"9",2023-12-16,"02",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"10",2023-12-16,"02",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"11",2023-12-16,"04",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"12",2023-12-16,"04",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"13",2023-12-16,"04",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"14",2023-12-16,"04",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"15",2023-12-16,"04",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"16",2023-12-16,"05",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"17",2023-12-16,"05",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"18",2023-12-16,"05",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"19",2023-12-16,"05",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"20",2023-12-16,"05",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"21",2023-12-16,"06",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"22",2023-12-16,"06",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"23",2023-12-16,"06",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"24",2023-12-16,"06",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"25",2023-12-16,"06",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"26",2023-12-16,"08",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"27",2023-12-16,"08",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"28",2023-12-16,"08",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"29",2023-12-16,"08",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"30",2023-12-16,"08",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"31",2023-12-16,"09",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"32",2023-12-16,"09",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"33",2023-12-16,"09",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"34",2023-12-16,"09",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"35",2023-12-16,"09",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"36",2023-12-16,"10",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"37",2023-12-16,"10",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"38",2023-12-16,"10",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"39",2023-12-16,"10",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"40",2023-12-16,"10",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"41",2023-12-16,"11",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"42",2023-12-16,"11",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"43",2023-12-16,"11",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"44",2023-12-16,"11",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"45",2023-12-16,"11",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"46",2023-12-16,"12",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"47",2023-12-16,"12",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"48",2023-12-16,"12",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"49",2023-12-16,"12",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"50",2023-12-16,"12",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"51",2023-12-16,"13",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"52",2023-12-16,"13",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"53",2023-12-16,"13",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"54",2023-12-16,"13",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"55",2023-12-16,"13",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"56",2023-12-16,"15",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"57",2023-12-16,"15",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"58",2023-12-16,"15",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"59",2023-12-16,"15",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"60",2023-12-16,"15",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"61",2023-12-16,"16",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"62",2023-12-16,"16",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"63",2023-12-16,"16",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"64",2023-12-16,"16",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"65",2023-12-16,"16",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"66",2023-12-16,"17",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"67",2023-12-16,"17",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"68",2023-12-16,"17",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"69",2023-12-16,"17",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"70",2023-12-16,"17",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"71",2023-12-16,"18",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"72",2023-12-16,"18",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"73",2023-12-16,"18",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"74",2023-12-16,"18",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"75",2023-12-16,"18",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"76",2023-12-16,"19",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"77",2023-12-16,"19",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"78",2023-12-16,"19",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"79",2023-12-16,"19",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"80",2023-12-16,"19",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"81",2023-12-16,"20",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"82",2023-12-16,"20",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"83",2023-12-16,"20",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"84",2023-12-16,"20",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"85",2023-12-16,"20",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"86",2023-12-16,"21",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"87",2023-12-16,"21",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"88",2023-12-16,"21",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"89",2023-12-16,"21",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"90",2023-12-16,"21",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"91",2023-12-16,"22",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"92",2023-12-16,"22",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"93",2023-12-16,"22",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"94",2023-12-16,"22",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"95",2023-12-16,"22",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"96",2023-12-16,"23",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"97",2023-12-16,"23",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"98",2023-12-16,"23",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"99",2023-12-16,"23",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"100",2023-12-16,"23",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"101",2023-12-16,"24",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"102",2023-12-16,"24",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"103",2023-12-16,"24",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"104",2023-12-16,"24",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"105",2023-12-16,"24",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"106",2023-12-16,"25",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"107",2023-12-16,"25",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"108",2023-12-16,"25",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"109",2023-12-16,"25",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"110",2023-12-16,"25",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"111",2023-12-16,"26",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"112",2023-12-16,"26",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"113",2023-12-16,"26",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"114",2023-12-16,"26",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"115",2023-12-16,"26",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"116",2023-12-16,"27",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"117",2023-12-16,"27",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"118",2023-12-16,"27",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"119",2023-12-16,"27",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"120",2023-12-16,"27",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"121",2023-12-16,"28",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"122",2023-12-16,"28",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"123",2023-12-16,"28",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"124",2023-12-16,"28",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"125",2023-12-16,"28",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"126",2023-12-16,"29",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"127",2023-12-16,"29",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"128",2023-12-16,"29",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"129",2023-12-16,"29",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"130",2023-12-16,"29",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"131",2023-12-16,"30",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"132",2023-12-16,"30",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"133",2023-12-16,"30",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"134",2023-12-16,"30",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"135",2023-12-16,"30",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"136",2023-12-16,"31",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"137",2023-12-16,"31",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"138",2023-12-16,"31",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"139",2023-12-16,"31",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"140",2023-12-16,"31",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"141",2023-12-16,"32",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"142",2023-12-16,"32",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"143",2023-12-16,"32",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"144",2023-12-16,"32",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"145",2023-12-16,"32",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"146",2023-12-16,"33",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"147",2023-12-16,"33",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"148",2023-12-16,"33",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"149",2023-12-16,"33",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"150",2023-12-16,"33",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"151",2023-12-16,"34",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"152",2023-12-16,"34",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"153",2023-12-16,"34",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"154",2023-12-16,"34",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"155",2023-12-16,"34",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"156",2023-12-16,"35",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"157",2023-12-16,"35",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"158",2023-12-16,"35",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"159",2023-12-16,"35",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"160",2023-12-16,"35",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"161",2023-12-16,"36",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"162",2023-12-16,"36",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"163",2023-12-16,"36",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"164",2023-12-16,"36",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"165",2023-12-16,"36",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"166",2023-12-16,"37",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"167",2023-12-16,"37",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"168",2023-12-16,"37",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"169",2023-12-16,"37",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"170",2023-12-16,"37",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"171",2023-12-16,"38",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"172",2023-12-16,"38",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"173",2023-12-16,"38",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"174",2023-12-16,"38",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"175",2023-12-16,"38",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"176",2023-12-16,"39",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"177",2023-12-16,"39",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"178",2023-12-16,"39",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"179",2023-12-16,"39",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
"180",2023-12-16,"39",0,"wk flu hosp rate change",2023-12-16,"pmf","stable",0.2
"181",2023-12-16,"40",0,"wk flu hosp rate change",2023-12-16,"pmf","decrease",0.2
"182",2023-12-16,"40",0,"wk flu hosp rate change",2023-12-16,"pmf","increase",0.2
"183",2023-12-16,"40",0,"wk flu hosp rate change",2023-12-16,"pmf","large_decrease",0.2
"184",2023-12-16,"40",0,"wk flu hosp rate change",2023-12-16,"pmf","large_increase",0.2
