"as_of","target","target_end_date","location","horizon","output_type_id","oracle_value"
2025-04-12,"wk flu hosp rate change",2024-11-09,"01",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"01",0,"increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"01",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"01",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"01",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"02",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"02",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"02",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"02",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"02",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"04",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"04",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"04",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"04",0,"large_increase",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"04",0,"stable",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"05",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"05",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"05",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"05",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"05",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"06",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"06",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"06",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"06",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"06",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"08",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"08",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"08",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"08",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"08",0,"stable",1
2025-04-12,"wk flu hosp rate change",2024-11-09,"09",0,"decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"09",0,"increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"09",0,"large_decrease",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"09",0,"large_increase",0
2025-04-12,"wk flu hosp rate change",2024-11-09,"09",0,"stable",1
