reference_date,horizon,location,target,target_end_date,output_type,output_type_id,value
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.01,210.48076212900403
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.025,222.4428782842281
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.05,232.9953875296834
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.1,245.46524638808071
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.15,254.06223960412484
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.2,261.0003894526789
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.25,267.0271918634338
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.3,272.4980734703109
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.35,277.6171830278785
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.4,282.51876538675765
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.45,287.3019284912371
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.5,292.048457840968
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.55,296.83387543427864
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.6,301.73621932706
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.65,306.8453771686028
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.7,312.276079906942
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.75,318.1901045123751
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.8,324.84093505662213
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.85,332.6801147574558
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.9,342.6763764074933
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.95,357.7645221407691
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.975,371.1144720437212
2026-02-07,0,01,wk inc flu hosp,2026-02-07,quantile,0.99,386.94413023207846
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.01,77.92857367581865
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.025,95.71061633133388
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.05,112.4645843390204
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.1,133.45700475791807
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.15,148.63471808248485
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.2,161.28033231966285
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.25,172.5405347275656
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.3,182.9763372128396
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.35,192.92017330128985
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.4,202.5991761422744
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.45,212.189200278224
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.5,221.843686042578
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.55,231.71294960531492
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.6,241.9612031948141
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.65,252.78663490634725
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.7,264.45138434023977
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.75,277.334643147459
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.8,292.04132131005827
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.85,309.66327775597875
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.9,332.5690797246951
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.95,368.02216585526617
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.975,400.2262568362736
2026-02-07,1,01,wk inc flu hosp,2026-02-14,quantile,0.99,439.368538128581
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.01,53.71696726203541
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.025,72.61319428847713
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.05,91.13859746995416
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.1,115.10666835733262
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.15,132.85676571804743
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.2,147.87136247941126
2026-02-07,2,01,wk inc flu hosp,2026-02-21,quantile,0.25,161.39300579928562
